id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
137744,鹏湖湾(别墅),大连,甘井子,甘区政府,2004,低层,红旗西路,121.5033896,38.9334485,,70.0,16000.0,46,别墅,民用,7.9,12,0.0,33160.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137748,长鹭晶品逸林,大连,甘井子,甘区政府,2016,多层,红旗西路,121.5004818,38.93358815,1.0,35.0,,334,公寓住宅,民用,7.6,12,0.0,20514.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137747,惠泽北园,大连,甘井子,甘区政府,2006,多层,张前路,121.5103949,38.93571606,1.0,40.0,,186,公寓住宅,民用,7.7,12,0.0,16161.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137734,第五郡佳林园,大连,甘井子,甘区政府,2009,多层|小高层,虹韵路,121.5161604,38.94996603,1.0,40.0,,1786,公寓住宅,民用,8.2,12,-0.01,26409.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137745,晶品森岚,大连,甘井子,甘区政府,2010,多层,恩泽街23号,121.4966174,38.93310542,1.0,45.0,,355,公寓住宅,民用,7.6,12,0.0,19500.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137749,金塘裕墅(住宅),大连,甘井子,甘区政府,2013,小高层,红旗西路,121.497789,38.93186437,,38.0,,32,公寓住宅,民用,7.5,12,0.0,35910.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137743,国民院子(别墅),大连,甘井子,甘区政府,2013,低层,张前路,121.5167887,38.95537213,,35.0,,36,别墅,民用,7.8,12,-0.17,29447.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137736,三鼎春天苏州园,大连,甘井子,甘区政府,2018,多层|小高层,"虹宇路,近逸林街",121.5188581,38.94584804,1.0,40.0,,1088,公寓住宅,民用,8.2,12,-2.31,33166.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137739,长鹭悦湖,大连,甘井子,甘区政府,2013,多层,红旗西路,121.5004573,38.93318633,1.0,40.0,85979.0,351,公寓住宅,民用,7.5,12,-1.76,18166.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137738,西山湖语,大连,甘井子,甘区政府,2014,多层|小高层,红旗西路58号,121.5028815,38.9348497,1.0,42.0,53851.0,372,公寓住宅,民用,7.6,12,0.0,24534.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
137737,金马圣隆,大连,甘井子,甘区政府,2006,多层,辛吉街61-105号,121.5098125,38.953605,1.0,40.0,,800,公寓住宅,民用,7.6,12,-0.98,16569.0,Liaoning,Dalian,Ganjingzi,Liaoning-Dalian
