id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
413645,北尚华庭,辽阳,白塔,新运大街,2014,多层|小高层,"新华路,近碉堡街",123.183989,41.27637374,,35.0,,0,公寓住宅,民用,8.4,12,-0.7,5033.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413665,安泰园,辽阳,白塔,新运大街,2010,多层,南文化路35-2号,123.1605918,41.25583788,,30.0,,0,公寓住宅,民用,8.2,12,0.0,4008.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413658,巴黎经典花园,辽阳,白塔,新运大街,2014,小高层|高层,新华路549号,123.174655,41.24150708,,40.0,,0,公寓住宅,民用,8.1,12,-0.32,5224.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413656,碧景家园,辽阳,白塔,新运大街,2010,小高层,解放路200号,123.1506484,41.26437079,,40.0,,0,公寓住宅,民用,8.2,12,-0.31,4635.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413650,新梅小区,辽阳,白塔,新运大街,2004,多层,新运大街10-1号,123.1611415,41.27124545,,30.0,,0,公寓住宅,民用,8.3,12,-4.63,3457.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413648,华城新视界,辽阳,白塔,新运大街,2012,多层|小高层|高层,硝堡街266号,123.1942097,41.274155,,33.0,,0,公寓住宅,民用,8.0,12,0.0,5344.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
414003,英伦华府,辽阳,太子河,河东广场,2013,低层|多层,花园街17号,123.1834254,41.24398063,,30.0,,0,公寓住宅,民用,7.7,12,0.0,6353.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413633,环宇金域蓝山,辽阳,白塔,新运大街,2014,多层,劳动街,123.1591265,41.27325061,,36.0,,0,公寓住宅,民用,8.5,12,-2.56,4738.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413638,托斯卡纳,辽阳,白塔,新运大街,2014,多层|小高层|高层,东兴路148号,123.18381,41.24214594,,35.0,,0,公寓住宅,民用,7.9,12,-1.55,5638.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413735,东红星小区,辽阳,白塔,新运大街,2012,多层|小高层,"新华路,近北新街",123.1848887,41.27970596,,30.0,,0,公寓住宅,民用,8.1,12,4.32,4374.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413734,滨河城市经典,辽阳,白塔,新运大街,2013,多层,"六一街,近民主路",123.1695265,41.27119649,,30.5,,0,公寓住宅,民用,8.8,12,0.12,5288.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413739,福禄园,辽阳,白塔,新运大街,2008,多层,解放路54号,123.1628641,41.27018547,,30.0,,0,公寓住宅,民用,8.1,12,0.0,4924.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413747,南文化A区,辽阳,白塔,新运大街,2003,多层,南文化路25-2号,123.160881,41.25760654,,30.0,,0,公寓住宅,民用,8.1,12,-0.15,4603.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413684,芙蓉缘,辽阳,白塔,新运大街,2009,多层,轻工街9号,123.1534587,41.26723305,,30.0,,0,公寓住宅,民用,7.9,12,-1.4,5140.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413679,爱民园,辽阳,白塔,新运大街,2015,多层,南文化路14号,123.1589883,41.25717958,,30.0,,0,公寓住宅,民用,8.3,12,0.0,4629.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413676,世纪鑫源,辽阳,白塔,新运大街,2013,高层,新华路355号,123.1797076,41.2631488,,25.0,,0,公寓住宅,民用,8.8,12,-0.13,5099.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413674,华御世家,辽阳,白塔,新运大街,,多层|高层,"八一街,近南国路",123.176678,41.24554602,,30.0,,0,公寓住宅,民用,7.7,12,-2.94,6635.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
413690,有机小区,辽阳,白塔,新运大街,1998,多层,解放路94-1号,123.155146,41.26629224,,30.0,,0,公寓住宅,民用,7.7,12,-2.86,3746.0,Liaoning,Liaoyang,Baita,Liaoning-Liaoyang
