id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
691796,金月蓝湾,铁岭,铁岭县,铁岭城区,,小高层,"泰山路,近澜沧江路",123.729099,42.22210176,,40.0,500000.0,0,公寓住宅,民用,7.4,12,0.17,3850.0,Liaoning,Tieling,Tieling,Liaoning-Tieling
691777,天水嘉苑,铁岭,铁岭县,铁岭城区,,小高层,"泰山路,近嘉陵江街",123.7265993,42.23360679,,35.0,64000.0,0,公寓住宅,民用,7.7,12,0.29,4932.0,Liaoning,Tieling,Tieling,Liaoning-Tieling
691769,红石郡,铁岭,铁岭县,铁岭城区,2016,小高层,嘉陵江路58号,123.7360402,42.23701479,,35.0,110000.0,1865,公寓住宅,民用,7.8,12,-0.03,5805.0,Liaoning,Tieling,Tieling,Liaoning-Tieling
691575,春园小区,铁岭,银州,银州城区,2007,多层,人民路11号,123.8347848,42.29392996,1.0,31.0,,0,公寓住宅,民用,8.5,12,0.0,3351.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691567,万隆之家,铁岭,银州,银州城区,2009,小高层,"岭东街,近建设路",123.8321181,42.26837178,1.0,31.0,,0,公寓住宅,民用,8.1,12,0.0,3797.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691566,兴旺园,铁岭,银州,银州城区,2010,小高层,文化街,123.8489044,42.30138856,1.0,30.0,,0,公寓住宅,民用,8.6,12,-1.16,3694.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691565,洲纪之星,铁岭,银州,银州城区,2017,小高层,南马路12号,123.8316929,42.28007498,,30.0,50000.0,0,公寓住宅,民用,8.0,12,7.47,6626.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691563,红叶欣园,铁岭,银州,银州城区,2012,小高层,柴河街南段,123.8254476,42.26409147,1.0,32.0,,0,公寓住宅,民用,8.0,12,0.0,3580.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691561,金湾尚城二期,铁岭,银州,银州城区,,多层|小高层|高层,滨河路,123.8668546,42.31049728,1.0,40.0,280000.0,0,公寓住宅,民用,7.6,12,0.0,4180.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691547,驻跸园铁路小区,铁岭,银州,银州城区,2006,小高层,柴河街南段,123.8397651,42.27758186,1.0,28.0,,0,公寓住宅,民用,7.8,12,-4.84,2901.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691550,菁华名邸,铁岭,银州,银州城区,,小高层,建设路26号,123.832859,42.26543868,,43.0,35000.0,1300,公寓住宅,民用,7.6,12,-0.78,4131.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691556,长青园小区,铁岭,银州,银州城区,2005,小高层,长青路103号,123.8278606,42.27321363,1.0,30.0,,0,公寓住宅,民用,7.9,12,-1.38,3389.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691559,鑫海花园,铁岭,银州,银州城区,2010,小高层,"北市路,近柴河街",123.8546177,42.30298994,1.0,30.0,,0,公寓住宅,民用,8.4,12,0.0,3831.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691554,山境欣园,铁岭,银州,银州城区,,小高层,"岭东街,近富州路",123.8304735,42.25522718,,30.0,,0,公寓住宅,民用,7.0,12,0.0,2591.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691610,惠源西区,铁岭,银州,银州城区,2009,多层|小高层|高层,北市路,123.8522519,42.30079271,1.0,32.0,,0,公寓住宅,民用,8.3,12,18.12,4182.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691546,为民小区,铁岭,银州,银州城区,2007,小高层,繁荣路,123.8334255,42.30266098,1.0,30.0,,0,公寓住宅,民用,8.1,12,-0.57,3150.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691585,华夏俪园,铁岭,银州,银州城区,2010,多层,光荣街南段,123.82317,42.27135945,1.0,34.0,,0,公寓住宅,民用,7.7,12,-0.68,3643.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691586,绿州新沅,铁岭,银州,银州城区,2013,小高层,"北一路,近兴工街",123.8172842,42.29308605,,21.0,197453.0,0,公寓住宅,民用,7.8,12,-0.3,3709.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691587,枫岭怡然,铁岭,银州,银州城区,,小高层,文化街南段22号,123.8421594,42.26935072,,30.0,70000.0,650,公寓住宅,民用,7.6,12,2.12,4044.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691591,南柳新村,铁岭,银州,银州城区,2009,小高层,南柳路,123.8284739,42.26517338,1.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,4076.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691592,卧龙馨园,铁岭,银州,银州城区,2007,小高层,"繁荣路,近龙园街",123.8566183,42.29508711,1.0,30.0,,0,公寓住宅,民用,7.8,12,-0.54,3448.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691497,恒通家园,铁岭,银州,银州城区,,小高层,兴工街,123.8154995,42.28996317,,35.0,65000.0,0,公寓住宅,民用,7.6,12,-1.13,2941.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691502,美瑞幸福人家,铁岭,银州,银州城区,2009,小高层,铁西路,123.8277902,42.29430011,,30.0,,0,公寓住宅,民用,8.3,12,0.05,2757.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691476,铭世首府,铁岭,银州,银州城区,,小高层,兴工街,123.8143588,42.28690656,,42.0,200000.0,4000,公寓住宅,民用,7.6,12,-1.64,3703.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691478,明珠园,铁岭,银州,银州城区,2009,小高层,文化街,123.8510529,42.30497786,1.0,32.0,,0,公寓住宅,民用,8.3,12,-0.58,4181.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691489,金城佳丰北郡,铁岭,银州,银州城区,2013,小高层,广裕街,123.8477737,42.31395285,,40.0,315182.0,0,公寓住宅,民用,8.1,12,0.0,4008.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691483,中兴小区,铁岭,银州,银州城区,2006,小高层,市府路,123.8415969,42.2838224,1.0,30.0,,0,公寓住宅,民用,8.4,12,-1.57,3804.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691485,南环小区,铁岭,银州,银州城区,2006,小高层,南环路123号,123.8297381,42.27969123,1.0,28.0,,0,公寓住宅,民用,8.1,12,0.18,3979.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691487,劳动馨园,铁岭,银州,银州城区,2008,小高层,建设路,123.8311601,42.26553342,1.0,28.0,,0,公寓住宅,民用,7.9,12,0.0,3694.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691481,嘉隆欣苑,铁岭,银州,银州城区,,小高层,光荣街南段58号,123.8221228,42.2752336,,35.0,73000.0,0,公寓住宅,民用,7.9,12,-0.94,4287.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691615,雍景天成,铁岭,银州,银州城区,,多层,柴河街南段96号,123.8225139,42.26346891,,45.0,200000.0,0,公寓住宅,民用,7.8,12,0.0,4433.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691528,御点江山,铁岭,银州,银州城区,2013,小高层,岭东街,123.8516701,42.26779197,,35.0,350000.0,0,公寓住宅,民用,7.7,12,-0.83,2508.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691530,皇鑫玉苑,铁岭,银州,银州城区,,小高层,新华街17号,123.835545,42.28371351,,30.0,,0,公寓住宅,民用,7.9,12,-0.16,4819.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
691531,金穗花苑,铁岭,银州,银州城区,2008,小高层,长青路,123.8300813,42.27107776,1.0,30.0,,0,公寓住宅,民用,8.0,12,0.06,3555.0,Liaoning,Tieling,Yinzhou,Liaoning-Tieling
