id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
56006,道南铁路小区,巴彦淖尔市,临河,临河城区,,多层,红铁西街,107.4231674,40.73823755,,25.0,,0,公寓住宅,民用,7.3,12,0.0,4814.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55843,美丽园(临河),巴彦淖尔市,临河,临河城区,2007,多层|高层,"庆丰街,近团结路",107.4006437,40.7615092,,20.0,,0,公寓住宅,民用,8.6,12,1.27,6312.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55844,滨河丽景,巴彦淖尔市,临河,临河城区,2013,多层,北环路,107.3670061,40.76892724,,43.0,,0,公寓住宅,民用,7.7,12,-0.34,5127.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55845,领秀小区,巴彦淖尔市,临河,临河城区,2007,多层,开源路,107.3643497,40.75715256,,20.0,,0,公寓住宅,民用,8.0,12,-0.48,4508.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55847,今日尊府,巴彦淖尔市,临河,临河城区,2009,多层|小高层|高层,"开源路,近五一街",107.3833655,40.73306328,,25.0,,0,公寓住宅,民用,7.9,12,0.99,7250.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55848,新城康都,巴彦淖尔市,临河,临河城区,2018,多层,"开源路,近帅丰街",107.3711786,40.75585005,,43.0,,0,公寓住宅,民用,8.3,12,2.28,6100.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55987,光辉花苑,巴彦淖尔市,临河,临河城区,2011,多层,团结路,107.4091663,40.74404583,,20.0,,0,公寓住宅,民用,7.9,12,0.0,5591.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55835,河套书苑,巴彦淖尔市,临河,临河城区,2011,多层,"沃野街,近乌兰布和路",107.3828267,40.7287883,,25.0,,0,公寓住宅,民用,7.5,12,-2.61,5767.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55995,兴荣园,巴彦淖尔市,临河,临河城区,2000,多层,光辉路,107.4244783,40.75020751,,20.0,,0,公寓住宅,民用,8.0,12,0.0,5254.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55838,健康新家园,巴彦淖尔市,临河,临河城区,2000,多层,"河套大街,近黄河路",107.4043872,40.759556,,20.0,,0,公寓住宅,民用,8.6,12,0.13,7227.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55833,阳光新都,巴彦淖尔市,临河,临河城区,2000,高层,人民路66号,107.3975635,40.76427178,,30.0,,0,公寓住宅,民用,8.4,12,-0.14,5284.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55965,华盛园,巴彦淖尔市,临河,临河城区,2013,多层|小高层|高层,"汇丰街,近金川大道",107.3728439,40.76280956,,31.0,,0,公寓住宅,民用,7.8,12,-0.04,5320.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55789,纳帕溪谷,巴彦淖尔市,临河,临河城区,2013,多层|小高层,"民主街,近金川大道",107.3777175,40.74700426,,45.0,,0,公寓住宅,民用,8.0,12,0.0,7724.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55794,金帝世纪城,巴彦淖尔市,临河,临河城区,2014,高层,"长春西街,近前进路",107.3959303,40.75285716,,32.0,,0,公寓住宅,民用,8.3,12,-1.39,7944.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55796,今日尚品,巴彦淖尔市,临河,临河城区,2013,多层,五一街,107.4010179,40.74430176,,31.0,,0,公寓住宅,民用,8.4,12,0.35,6233.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55958,时代家园,巴彦淖尔市,临河,临河城区,2016,多层,"万丰街,近光辉路",107.4252482,40.7472388,,30.0,,0,公寓住宅,民用,8.4,12,-0.73,5357.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55957,润丰园,巴彦淖尔市,临河,临河城区,2006,多层,"团结路,近曙光街",107.411924,40.74123537,,20.0,,0,公寓住宅,民用,7.8,12,0.0,4794.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55961,税华小区,巴彦淖尔市,临河,临河城区,2000,多层,庆丰街7号,107.4016847,40.76373895,,20.0,,0,公寓住宅,民用,8.6,12,0.0,5000.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55973,明珠城南区,巴彦淖尔市,临河,临河城区,2009,多层,"沃野街,近明珠路",107.3961632,40.73536941,,25.0,,0,公寓住宅,民用,7.9,12,-0.4,5555.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55830,海贝尔花园,巴彦淖尔市,临河,临河城区,2013,多层|小高层|高层,"西苑路,近汇丰街",107.3475292,40.74301782,,36.0,,0,公寓住宅,民用,7.1,12,-0.12,6207.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55979,光明花园,巴彦淖尔市,临河,临河城区,2004,多层,"新华西街,近团结路",107.4088204,40.75009408,,20.0,,0,公寓住宅,民用,8.3,12,0.0,4830.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55782,兴盛国际花园,巴彦淖尔市,临河,临河城区,2014,多层|小高层|高层,河套大街,107.3936366,40.75457503,,35.0,,0,公寓住宅,民用,8.6,12,1.24,7608.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55784,山河墅,巴彦淖尔市,临河,临河城区,2009,多层|小高层|高层,"开源路,近汇丰街",107.3728908,40.75071124,,38.0,,0,公寓住宅,民用,7.9,12,0.02,6170.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55788,四季花城五区,巴彦淖尔市,临河,临河城区,2010,多层|高层,"利民西街,水源路",107.3858652,40.74942704,,20.0,,0,公寓住宅,民用,8.0,12,0.08,6076.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
55850,四季花城四区,巴彦淖尔市,临河,临河城区,2010,小高层|高层,"金川大道,近利民西街",107.3847012,40.74570824,,20.0,,0,公寓住宅,民用,8.0,12,1.22,5799.0,Neimenggu,Bayannaoer,Linhe,Neimenggu-Bayannaoer
