id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
167615,金磐状元里,鄂尔多斯,东胜,铁西一期,,多层|高层,包茂高速,109.9154725,39.80964057,,,,0,公寓住宅,民用,6.4,12,0.0,5299.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167616,金顺园小区,鄂尔多斯,东胜,铁西一期,,多层,"广场街,近万正路",109.9470441,39.81513783,,,,0,公寓住宅,民用,7.4,12,-0.08,9746.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167617,阳光名邸,鄂尔多斯,东胜,铁西一期,,多层,"团结路,近乌审西街",109.9600646,39.80387873,,,,0,公寓住宅,民用,7.8,12,0.0,7292.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167618,微家公寓(市民中心店),鄂尔多斯,东胜,铁西一期,,高层,西贸路,109.9406295,39.82535626,,,,0,商业,商用,,12,,,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167619,万达商贸大厦公寓楼,鄂尔多斯,东胜,铁西一期,,多层,文化街,109.9648948,39.80490456,,,,0,商住楼,商用,7.3,12,0.0,5000.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167620,天佐新城国际,鄂尔多斯,东胜,铁西一期,,高层,"科技街,近沙日乌素路",109.9640474,39.81360001,,,,0,公寓住宅,民用,7.7,12,0.0,5284.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167621,瀚悦华府,鄂尔多斯,东胜,铁西一期,,多层|高层,"腾飞街,近团结路",109.9511803,39.82663537,,,,0,公寓住宅,民用,7.4,12,0.0,8300.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167622,富祥新农花园,鄂尔多斯,东胜,铁西一期,,多层,沙日乌素路,109.9670863,39.80442755,,,,0,公寓住宅,民用,7.1,12,0.0,7792.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167623,方园小区,鄂尔多斯,东胜,铁西一期,,多层,"腾飞街,近松山路",109.9544032,39.82665246,,,,0,公寓住宅,民用,7.3,12,0.0,9250.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167624,锦绣苑,鄂尔多斯,东胜,凤凰城双满,,多层,鄂托克西街8号,109.9872361,39.82312093,,,,0,公寓住宅,民用,8.3,12,-0.43,7514.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167625,天骄佳苑,鄂尔多斯,东胜,凤凰城双满,,多层,天骄北路,109.9712195,39.82550441,,,,0,公寓住宅,民用,8.1,12,-1.72,8492.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167626,天骄小区,鄂尔多斯,东胜,凤凰城双满,,多层,伊煤南路7号,109.9759906,39.83027062,,,,0,公寓住宅,民用,7.9,12,0.05,7667.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167627,百胜佳园,鄂尔多斯,东胜,凤凰城双满,,多层,达拉特北路15号,109.9953643,39.82340034,,,,0,公寓住宅,民用,8.1,12,0.13,6924.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167628,安厦家园,鄂尔多斯,东胜,凤凰城双满,,多层,天骄北路29号,109.9755636,39.82753248,,40.0,,0,公寓住宅,民用,8.1,12,2.58,8577.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167629,大兴东方花园,鄂尔多斯,东胜,凤凰城双满,,多层,吉劳庆北路13号,109.9791981,39.82213415,,,,0,公寓住宅,民用,8.2,12,-2.74,7558.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167630,神华佳苑,鄂尔多斯,东胜,凤凰城双满,,多层,天骄北路21号,109.9750168,39.82476854,,,,0,公寓住宅,民用,8.0,12,6.4,8282.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167631,神东花园,鄂尔多斯,东胜,凤凰城双满,,多层,吉劳庆北路,109.9795606,39.82784752,,,,0,公寓住宅,民用,8.1,12,-0.71,5900.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167632,磐恒五号小区,鄂尔多斯,东胜,凤凰城双满,,多层,"伊煤路,近杭锦北路",109.9916181,39.82487997,,,,0,公寓住宅,民用,8.2,12,-0.03,7408.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167633,颐景苑,鄂尔多斯,东胜,凤凰城双满,2011,多层,"平安街,近吉劳庆北路",109.9786334,39.82472141,,40.0,,0,公寓住宅,民用,8.3,12,-0.14,8536.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167634,瑞丰金城,鄂尔多斯,东胜,凤凰城双满,,多层,杭锦北路42号,109.9919354,39.82824944,,,,0,公寓住宅,民用,8.1,12,0.33,7947.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167635,瑞明新城,鄂尔多斯,东胜,凤凰城双满,,多层,准格尔北路46号,109.9979239,39.82816314,,,,0,公寓住宅,民用,7.9,12,0.48,9378.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
167636,胜达小区(天骄北路),鄂尔多斯,东胜,凤凰城双满,,多层,"天骄北路,近平安街",109.9723529,39.82385321,,,,0,公寓住宅,民用,8.0,12,-5.27,7184.0,Neimenggu,Eerduosi,Dongsheng,Neimenggu-Eerduosi
