id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
286339,依山北岸,呼和浩特,回民,海拉尔西路,2015,多层,京藏高速,111.5998013,40.85670777,1.0,36.0,,3124,公寓住宅,民用,6.9,12,0.0,4814.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286064,嘉豪广场,呼和浩特,玉泉,南茶坊,2018,高层,石羊桥路,111.6557972,40.80358865,,21.0,96574.0,1,商住楼,商用,8.2,12,0.0,8473.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284422,战备路铁路小区,呼和浩特,新城,鼓楼,2000,多层,文化宫路,111.6557431,40.82338619,1.0,30.0,,290,公寓住宅,民用,8.7,12,0.0,11491.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286028,纪监委家属院,呼和浩特,玉泉,南茶坊,2000,多层,大南街街道,111.6549902,40.80318432,1.0,15.0,,210,公寓住宅,民用,8.7,12,0.0,11666.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284737,文化宫街26号院,呼和浩特,新城,鼓楼,2000,多层,营坊道,111.6561536,40.81498253,1.0,20.0,,45,公寓住宅,民用,8.4,12,0.0,10350.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284736,文化宫25号院,呼和浩特,新城,鼓楼,2000,多层,文化宫路,111.656148,40.8158117,1.0,30.0,,36,公寓住宅,民用,8.4,12,0.0,10638.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284714,光蒙住宅楼,呼和浩特,新城,鼓楼,2000,多层,文化宫路,111.6573319,40.81260388,1.0,30.0,,56,公寓住宅,民用,8.6,12,0.0,10389.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285726,世纪御园,呼和浩特,玉泉,石羊桥东路,2002,多层|高层,吕祖庙街,111.653633,40.80432106,1.0,30.0,,1099,公寓住宅,民用,8.6,12,0.0,10000.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285687,文明小区,呼和浩特,玉泉,大召,2000,多层,梁山街34号,111.655115,40.80316089,1.0,30.0,,0,公寓住宅,民用,8.4,12,0.0,10202.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285649,动力宿舍,呼和浩特,回民,大庆路,1990,多层|高层,车站西街,111.6447275,40.82824841,1.0,20.0,,93,公寓住宅,民用,7.3,12,0.0,9120.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285648,城市之星,呼和浩特,回民,大庆路,2000,多层|高层,车站西街,111.6436591,40.82956072,,30.0,,0,公寓住宅,民用,7.5,12,0.0,10604.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285347,呼运小区,呼和浩特,新城,八一,1993,多层,通道北路,111.6408414,40.84727027,1.0,20.0,,168,公寓住宅,民用,7.6,12,0.0,7701.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285647,呼铁菁华园,呼和浩特,回民,大庆路,2009,多层|高层,果园西路,111.6332277,40.82593999,1.0,50.0,,954,公寓住宅,民用,7.7,12,0.0,10256.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285646,鑫潮花园,呼和浩特,回民,大庆路,2014,多层|高层,光明大街,111.6383582,40.82487219,1.0,30.0,,834,公寓住宅,民用,7.7,12,0.0,10526.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285348,航天小区(回民区),呼和浩特,新城,八一,2004,多层,通道北路,111.6455575,40.83929895,1.0,30.0,,81,公寓住宅,民用,7.7,12,0.0,8774.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285645,曦华源,呼和浩特,回民,大庆路,2012,多层,车站西街,111.6436605,40.8272606,1.0,30.0,,294,公寓住宅,民用,7.8,12,0.0,8955.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285644,探矿厂家属楼,呼和浩特,回民,大庆路,2000,多层,车站西街,111.6402402,40.82634885,1.0,30.0,,126,公寓住宅,民用,7.6,12,0.0,10468.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285643,铸锻小区,呼和浩特,回民,大庆路,1995,多层,车站西街,111.6385293,40.82741885,1.0,20.0,,172,公寓住宅,民用,7.4,12,0.0,9516.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285642,和元楼,呼和浩特,回民,大庆路,2000,多层,通道南路,111.6479751,40.81218975,1.0,30.0,,72,公寓住宅,民用,8.4,12,0.0,9776.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285641,金马学校家属楼,呼和浩特,回民,大庆路,2003,多层,西村前街,111.6326536,40.81451879,1.0,30.0,,98,公寓住宅,民用,8.2,12,0.0,10263.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285640,文化宫街12号院,呼和浩特,回民,大庆路,2000,多层,文化宫路12号,111.6576287,40.8174571,1.0,30.0,,192,公寓住宅,民用,8.6,12,0.0,11126.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285639,昌盛泰公寓,呼和浩特,回民,大庆路,2000,多层,海拉尔西街,111.6374872,40.83317395,1.0,36.0,,100,公寓住宅,民用,7.5,12,0.0,8435.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285638,金谷银行宿舍楼,呼和浩特,回民,大庆路,2003,多层,阿吉拉沁南路,111.6363991,40.80517286,1.0,30.0,,152,公寓住宅,民用,8.1,12,0.0,11041.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285637,恒大翡翠华庭(商住楼),呼和浩特,回民,大庆路,2023,小高层,工农兵路,111.6300077,40.84610054,1.0,35.0,,750,商住楼,商用,7.8,12,0.0,9183.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285636,16中宿舍,呼和浩特,回民,大庆路,2000,多层,果园西路,111.6380247,40.81852944,1.0,30.0,,96,公寓住宅,民用,8.1,12,0.0,10147.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285635,电声器材厂宿舍,呼和浩特,回民,大庆路,2004,多层,沿河东路,111.6354151,40.82092736,1.0,30.0,,126,公寓住宅,民用,7.9,12,0.0,9189.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285634,新民委家属楼,呼和浩特,回民,大庆路,2000,多层,通道北街,111.6469242,40.82338813,,30.0,,0,公寓住宅,民用,8.0,12,0.0,9689.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285633,书店小区,呼和浩特,回民,大庆路,2000,多层,果园西路,111.6361755,40.82288497,,30.0,,54,公寓住宅,民用,7.6,12,0.0,10245.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285632,回民区政府小区,呼和浩特,回民,大庆路,2000,多层,果园西路,111.6386759,40.82068037,,30.0,,54,公寓住宅,民用,7.5,12,0.0,10000.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285631,铁路楼,呼和浩特,回民,大庆路,2000,多层,沿河西路,111.6337976,40.82040374,,30.0,,0,公寓住宅,民用,7.5,12,0.0,8032.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286079,兴华住宅区,呼和浩特,玉泉,南茶坊,2001,多层,梁山街,111.6540601,40.80322922,1.0,30.0,,210,公寓住宅,民用,8.2,12,0.0,8437.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
285630,卫校宿舍,呼和浩特,回民,大庆路,2000,多层,沿河东路,111.6352978,40.82107574,,30.0,,0,公寓住宅,民用,7.4,12,0.0,10245.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286216,文明小区,呼和浩特,玉泉,七彩城,2000,多层,梁山街34号,111.655115,40.80316089,1.0,30.0,,0,公寓住宅,民用,8.4,12,0.0,10202.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286238,兴华住宅区,呼和浩特,玉泉,七彩城,2001,多层,梁山街,111.6540601,40.80322922,1.0,30.0,,210,公寓住宅,民用,8.2,12,0.0,8437.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286463,铁骑新华名都,呼和浩特,回民,海拉尔西路,2020,高层,新华西街,111.5915305,40.7970459,1.0,35.0,96610.0,1326,公寓住宅,民用,7.6,12,0.0,8474.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286464,青云景苑,呼和浩特,回民,海拉尔西路,2014,高层,成吉思汗西街,111.6042195,40.83047543,,35.0,,0,公寓住宅,民用,7.5,12,0.0,8448.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286465,清和家园,呼和浩特,回民,海拉尔西路,2000,多层,小府路,111.6391058,40.84005976,1.0,10.0,,1106,公寓住宅,民用,7.2,12,0.0,8050.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286466,盛泰雅园,呼和浩特,回民,海拉尔西路,2012,多层,工农兵路26号,111.6356796,40.83904449,1.0,45.0,,386,公寓住宅,民用,7.8,12,0.0,9622.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286467,十三中家属楼,呼和浩特,回民,海拉尔西路,2000,多层,海拉尔西街,111.6450432,40.8362832,1.0,35.0,,147,公寓住宅,民用,7.6,12,0.0,7219.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286468,阙里人家,呼和浩特,回民,海拉尔西路,2008,多层|高层,新华西街,111.6089011,40.80123744,1.0,40.0,,948,公寓住宅,民用,7.8,12,0.0,6262.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286469,煤气小区,呼和浩特,回民,海拉尔西路,1987,多层,海拉尔大街10号,111.6315161,40.83663062,1.0,35.0,,702,公寓住宅,民用,7.3,12,0.0,7543.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286470,嘉德国际,呼和浩特,回民,海拉尔西路,2011,小高层,新华西街,111.6004149,40.80099356,1.0,30.0,,216,公寓住宅,民用,7.4,12,0.0,8529.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286471,海溪家园,呼和浩特,回民,海拉尔西路,2005,多层,海拉尔西街,111.6382381,40.8346512,1.0,20.0,,251,公寓住宅,民用,7.3,12,0.0,9423.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286472,南麓雅筑,呼和浩特,回民,海拉尔西路,2013,多层|高层,北二环路,111.5991138,40.84428544,1.0,30.0,,900,公寓住宅,民用,7.1,12,0.0,6875.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286473,景凯花园,呼和浩特,回民,海拉尔西路,2012,多层|高层,海西路,111.6173963,40.82922573,1.0,35.0,,327,公寓住宅,民用,7.5,12,0.0,8128.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286474,百居名苑,呼和浩特,回民,海拉尔西路,2013,多层,金海大道,111.5461279,40.80150512,1.0,30.0,,102,公寓住宅,民用,7.3,12,0.0,4736.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286475,金海国际五金机电城,呼和浩特,回民,海拉尔西路,2016,小高层|高层,海拉尔西街,111.5841124,40.81267796,1.0,23.0,96671.0,1795,商住楼,商用,7.2,12,0.0,6250.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284322,银都大厦,呼和浩特,赛罕,大学路小学(呼伦南路校区),2003,高层,大学西街,111.6676443,40.80614898,,30.0,,130,商住楼,商用,8.4,12,0.0,8300.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
284201,银都大厦,呼和浩特,赛罕,锡小,2003,高层,大学西街,111.6676443,40.80614898,,30.0,,130,商住楼,商用,8.4,12,0.0,8300.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286476,飞鹰齿轮厂家属楼,呼和浩特,回民,海拉尔西路,2002,多层,海西路,111.6249396,40.82970942,1.0,16.0,,630,公寓住宅,民用,7.4,12,0.0,9159.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286477,供电局宿舍,呼和浩特,回民,海拉尔西路,2000,多层,战备路,111.6566849,40.82065026,1.0,35.0,,126,公寓住宅,民用,8.5,12,0.0,9307.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286478,恒盛警园,呼和浩特,回民,海拉尔西路,2011,多层,西二环快速路,111.5842395,40.80384076,1.0,30.0,,544,公寓住宅,民用,7.2,12,0.0,5370.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286479,呼运东小区,呼和浩特,回民,海拉尔西路,1993,多层|高层,文化宫路,111.6578126,40.82238622,1.0,20.0,,164,公寓住宅,民用,8.1,12,0.0,11730.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286480,府都花园,呼和浩特,回民,海拉尔西路,2010,多层,海西路,111.6367883,40.84306549,1.0,30.0,,564,公寓住宅,民用,7.3,12,0.0,6444.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286481,城市之星,呼和浩特,回民,海拉尔西路,2000,多层|高层,车站西街,111.6436591,40.82956072,,30.0,,0,公寓住宅,民用,7.5,12,0.0,10604.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286482,MINI公馆,呼和浩特,回民,海拉尔西路,2014,多层|高层,海拉尔西街,111.6201498,40.82721455,1.0,30.0,,300,公寓住宅,民用,7.4,12,0.0,6382.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286483,都市新村,呼和浩特,回民,海拉尔西路,2012,多层|高层,赛马场北路,111.6378781,40.84564348,1.0,34.0,,1122,公寓住宅,民用,7.5,12,0.0,7200.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286484,恒大雅苑,呼和浩特,回民,西万达,2015,多层|高层,成吉思汗西街,111.6030118,40.83402668,1.0,40.0,,1033,公寓住宅,民用,7.8,12,0.0,9523.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
286288,城市之光,呼和浩特,玉泉,大南街,2012,多层,南顺城街,111.6526463,40.80453668,1.0,30.0,,138,公寓住宅,民用,8.8,12,0.0,9245.0,Neimenggu,Huhehaote,Huimin,Neimenggu-Huhehaote
