id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
790004,禧瑞国际,西宁,城北,朝阳,2004,高层,朝阳东路49号,101.7653778,36.65738697,1.0,30.0,,435,公寓住宅,民用,7.6,12,0.0,7371.0,Qinghai,Xining,Chengbei,Qinghai-Xining
787932,汇鑫公寓,西宁,城东,互助路,1994,高层,互助中路92号,101.6521204,36.66474026,,20.0,,0,公寓住宅,民用,6.5,12,0.0,6000.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789976,西部矿业家属院,西宁,城北,朝阳,2013,多层,秀水北路,101.7783277,36.63534733,1.0,30.0,,362,公寓住宅,民用,8.3,12,0.0,7402.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789975,小桥医院家属院,西宁,城北,朝阳,2021,多层,柴达木巷,101.7598235,36.64274386,1.0,30.0,,180,公寓住宅,民用,8.0,12,0.0,8642.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789974,玉树干休所,西宁,城北,朝阳,2014,小高层,南川西路105号,101.7774479,36.63629282,1.0,30.0,,354,公寓住宅,民用,8.1,12,0.0,9254.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789973,建设局家属院,西宁,城北,朝阳,2002,多层,小桥大街,101.7565474,36.64611442,1.0,30.0,,304,公寓住宅,民用,8.2,12,0.0,10471.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789971,物产上朝阳花园小区,西宁,城北,朝阳,1997,高层,门源路2号,101.7727287,36.65065551,,20.0,,288,公寓住宅,民用,7.0,12,0.0,9516.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789970,工业学校家属院(城北区),西宁,城北,朝阳,1993,多层,朝阳西路45号,101.7616941,36.65725859,2.0,20.0,,66,公寓住宅,民用,7.0,12,0.0,6744.0,Qinghai,Xining,Chengbei,Qinghai-Xining
789969,城北法院家属院,西宁,城北,朝阳,1994,多层,祁连路870号,101.7628738,36.64544952,1.0,20.0,,72,公寓住宅,民用,7.7,12,0.0,8535.0,Qinghai,Xining,Chengbei,Qinghai-Xining
790008,和煦家园,西宁,城北,朝阳,2012,高层,昆仑中路,101.6390168,36.66302263,,30.0,,1156,公寓住宅,民用,7.1,12,0.0,7619.0,Qinghai,Xining,Chengbei,Qinghai-Xining
