id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
156247,东方银座花园,东营,东营区,西城,1991,多层|小高层,济南路7号,118.5219055,37.463765,1.0,20.0,,740,公寓住宅,民用,8.3,12,-1.65,8162.0,Shandong,Dongying,Dongying,Shandong-Dongying
156241,百大二区,东营,东营区,西城,2000,多层,清河路9号,118.4974874,37.46570813,1.0,30.0,,272,公寓住宅,民用,8.9,12,-0.2,13367.0,Shandong,Dongying,Dongying,Shandong-Dongying
156246,星凯海纳城二期,东营,东营区,西城,2011,高层,峨眉山路22号,118.5251406,37.44018367,1.0,30.0,,629,公寓住宅,民用,8.2,12,-0.38,8614.0,Shandong,Dongying,Dongying,Shandong-Dongying
156245,玉景花园(东区),东营,东营区,西城,2005,多层,黄河路684号,118.4911205,37.44687146,1.0,30.0,,1574,公寓住宅,民用,8.3,12,-0.01,7078.0,Shandong,Dongying,Dongying,Shandong-Dongying
156244,祥河小区,东营,东营区,西城,2002,多层,鱼台路58号,118.5168886,37.44347421,,30.0,,1170,公寓住宅,民用,8.1,12,-1.09,7309.0,Shandong,Dongying,Dongying,Shandong-Dongying
156243,秀苑小区,东营,东营区,西城,2000,多层|小高层,"胜泰路149号,近胜阳路",118.4824083,37.465462,1.0,30.0,,1356,公寓住宅,民用,8.7,12,0.97,7770.0,Shandong,Dongying,Dongying,Shandong-Dongying
156248,兴河北区,东营,东营区,西城,2000,高层,"济宁路11号,近燕山路491号",118.5044304,37.44055189,1.0,30.0,,1458,公寓住宅,民用,8.2,12,-1.44,5940.0,Shandong,Dongying,Dongying,Shandong-Dongying
156242,海信天鹅湖,东营,东营区,西城,2010,多层,菏泽路8号,118.5364933,37.4398098,1.0,58.3,,620,公寓住宅,民用,8.0,12,-0.28,6905.0,Shandong,Dongying,Dongying,Shandong-Dongying
156240,胜东小区(东营),东营,东营区,西城,2012,多层|小高层,济南路17号,118.516734,37.46313107,1.0,35.4,,672,公寓住宅,民用,8.7,12,0.31,9123.0,Shandong,Dongying,Dongying,Shandong-Dongying
156235,兴河东区二区,东营,东营区,西城,2008,多层,燕山路480号,118.5095674,37.43646258,1.0,37.0,,2504,公寓住宅,民用,8.1,12,-2.06,7503.0,Shandong,Dongying,Dongying,Shandong-Dongying
