id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
719321,巨龙小区,潍坊,奎文,鸢飞路,2010,多层,鸢飞路439号,115.4453187,35.22746317,1.0,23.0,,1042,公寓住宅,民用,8.0,12,0.0,7178.0,Shandong,Heze,Mudan,Shandong-Heze
304261,瑞海国府大院,菏泽,牡丹,万达广场,,多层|小高层|高层,"八一路,近人民路",115.4959728,35.24717772,,35.0,,2327,公寓住宅,民用,7.8,12,2.13,7253.0,Shandong,Heze,Mudan,Shandong-Heze
304264,菏建华泰嘉园,菏泽,牡丹,万达广场,,高层|超高层,人民南路2183号,115.4888998,35.22339552,,31.0,,2491,公寓住宅,民用,7.8,12,-0.14,6927.0,Shandong,Heze,Mudan,Shandong-Heze
304269,舜馨苑(西区),菏泽,牡丹,万达广场,2016,多层|小高层,259省道,115.4837824,35.17158804,1.0,36.5,,926,公寓住宅,民用,7.6,12,0.0,5000.0,Shandong,Heze,Mudan,Shandong-Heze
304270,信友天润府,菏泽,牡丹,万达广场,2021,小高层|高层|超高层,259省道,115.4906142,35.21193906,1.0,36.0,,4539,公寓住宅,民用,7.9,12,0.0,5512.0,Shandong,Heze,Mudan,Shandong-Heze
304272,华地翡翠公园,菏泽,牡丹,万达广场,,多层|高层,"丹阳路,近广州路",115.5059848,35.24310792,,30.0,,0,公寓住宅,民用,7.0,12,0.6,7750.0,Shandong,Heze,Mudan,Shandong-Heze
304273,建邦中央公园,菏泽,牡丹,万达广场,,超高层,"人民路,近长江路",115.4850853,35.22021042,1.0,30.0,,2032,公寓住宅,民用,7.7,12,-0.54,6906.0,Shandong,Heze,Mudan,Shandong-Heze
304254,国贸中心(B区),菏泽,牡丹,万达广场,,小高层|高层,和平路1088号,115.4782613,35.23007261,1.0,30.0,,963,公寓住宅,民用,8.3,12,-1.59,7135.0,Shandong,Heze,Mudan,Shandong-Heze
304253,万象广场,菏泽,牡丹,万达广场,,高层,中华路32号,115.4969943,35.23136482,1.0,25.0,,1094,公寓住宅,民用,8.2,12,0.0,6528.0,Shandong,Heze,Mudan,Shandong-Heze
304235,星月绿城,菏泽,牡丹,万达广场,2018,小高层|高层,"长江东路,近长沙路",115.507094,35.22368424,1.0,35.0,,1659,公寓住宅,民用,7.7,12,1.42,6699.0,Shandong,Heze,Mudan,Shandong-Heze
304241,交通未来城,菏泽,牡丹,万达广场,,高层,人民路111号,115.4908003,35.22526144,1.0,30.0,,1544,公寓住宅,民用,8.2,12,0.28,6835.0,Shandong,Heze,Mudan,Shandong-Heze
304252,悦海京九星港,菏泽,牡丹,万达广场,,小高层|高层,人民南路,115.4939027,35.21651024,1.0,31.44,1257844.0,4416,公寓住宅,民用,7.7,12,0.04,8191.0,Shandong,Heze,Mudan,Shandong-Heze
304244,菏泽中心,菏泽,牡丹,万达广场,2019,多层,"中华路,近和平路",115.4752179,35.23314597,1.0,25.0,,4579,公寓住宅,民用,8.9,12,1.32,9288.0,Shandong,Heze,Mudan,Shandong-Heze
304308,锦绣中华,菏泽,牡丹,万达广场,2010,多层|高层,华英路1号,115.4853213,35.23172952,1.0,40.0,,556,公寓住宅,民用,8.9,12,0.0,6876.0,Shandong,Heze,Mudan,Shandong-Heze
304312,学林嘉苑,菏泽,牡丹,万达广场,,高层,长江路,115.4483106,35.22639169,1.0,35.0,,1843,公寓住宅,民用,7.8,12,0.16,6831.0,Shandong,Heze,Mudan,Shandong-Heze
304279,青禾源(别墅),菏泽,牡丹,万达广场,,低层,259省道,115.4897441,35.17314402,,36.0,,0,别墅,民用,7.3,12,0.0,7894.0,Shandong,Heze,Mudan,Shandong-Heze
304288,富力城,菏泽,牡丹,万达广场,,高层,人民南路768号,115.492773,35.19775035,1.0,30.0,,1859,公寓住宅,民用,7.4,12,0.0,5429.0,Shandong,Heze,Mudan,Shandong-Heze
304289,碧桂园天汇,菏泽,牡丹,万达广场,,小高层|高层,"桂陵路,近中华路",115.4982823,35.23392249,,30.0,,996,公寓住宅,民用,7.9,12,1.62,7166.0,Shandong,Heze,Mudan,Shandong-Heze
304290,中达绿城江南里,菏泽,牡丹,万达广场,2018,小高层|高层,巢湖路866号,115.5086993,35.22657987,1.0,35.0,,874,公寓住宅,民用,7.6,12,-0.22,5632.0,Shandong,Heze,Mudan,Shandong-Heze
304292,中达尚城一品,菏泽,牡丹,万达广场,,多层|小高层|高层,丹阳路,115.5179147,35.24206998,,30.0,412387.0,860,公寓住宅,民用,7.0,12,0.0,5517.0,Shandong,Heze,Mudan,Shandong-Heze
304294,融邦中山苑(公寓住宅),菏泽,牡丹,万达广场,2019,小高层|高层,"长江路,近府南街",115.4733544,35.22577117,1.0,31.0,,2053,公寓住宅,民用,8.4,12,0.0,8605.0,Shandong,Heze,Mudan,Shandong-Heze
304233,翰林华庭,菏泽,牡丹,万达广场,,高层,人民路,115.4885084,35.20149735,1.0,25.0,,2760,公寓住宅,民用,7.1,12,-0.41,5902.0,Shandong,Heze,Mudan,Shandong-Heze
304540,豪润书苑(公寓住宅),菏泽,牡丹,东方红大街,2017,多层,解放大街,115.4466547,35.24221912,1.0,30.0,,240,公寓住宅,民用,8.9,12,0.0,5000.0,Shandong,Heze,Mudan,Shandong-Heze
304538,曹州毛胡同,菏泽,牡丹,东方红大街,,多层|小高层,"青年路,近长城路",115.4904217,35.27350857,,32.0,,1004,公寓住宅,民用,7.2,12,0.04,8384.0,Shandong,Heze,Mudan,Shandong-Heze
304542,金域澜湾(别墅),菏泽,牡丹,东方红大街,2018,低层,桂陵路4567号,115.5105321,35.27964983,,38.0,,0,别墅,民用,7.4,12,0.0,11935.0,Shandong,Heze,Mudan,Shandong-Heze
304557,公园印象,菏泽,牡丹,东方红大街,,高层,牡丹北路,115.468005,35.26372979,1.0,30.0,,944,公寓住宅,民用,7.8,12,0.0,5833.0,Shandong,Heze,Mudan,Shandong-Heze
304551,凯兴天下(别墅),菏泽,牡丹,东方红大街,,低层,"广福大街,近康庄路",115.4431344,35.25547788,,30.0,,11,别墅,民用,8.0,12,0.0,10945.0,Shandong,Heze,Mudan,Shandong-Heze
304497,花都国际,菏泽,牡丹,东方红大街,2019,多层|小高层|高层,"解放大路,近中华路",115.4457244,35.23254826,1.0,25.0,,3722,公寓住宅,民用,8.1,12,-0.08,6762.0,Shandong,Heze,Mudan,Shandong-Heze
304495,凯兴天下,菏泽,牡丹,东方红大街,,多层|小高层|高层,"广福大街,近康庄路",115.4430446,35.25484365,,30.0,,4798,公寓住宅,民用,7.9,12,0.05,5998.0,Shandong,Heze,Mudan,Shandong-Heze
304219,龙翔中央檀府,菏泽,牡丹,万达广场,,高层,人民路,115.4920661,35.24238196,1.0,25.0,600000.0,1696,公寓住宅,民用,7.8,12,-0.43,8390.0,Shandong,Heze,Mudan,Shandong-Heze
304222,永泰龙泽园,菏泽,牡丹,万达广场,,小高层|高层,长江路,115.4623988,35.22568502,1.0,36.0,260000.0,1238,公寓住宅,民用,8.1,12,-1.99,6416.0,Shandong,Heze,Mudan,Shandong-Heze
304518,亿联世贸中心,菏泽,牡丹,东方红大街,,高层,牡丹路1399号,115.4628678,35.25196518,,25.0,,3396,公寓住宅,民用,8.5,12,0.23,7432.0,Shandong,Heze,Mudan,Shandong-Heze
304514,绿地理想城,菏泽,牡丹,东方红大街,,多层|小高层|高层,"广州路,近长城路",115.5212457,35.26714346,1.0,35.0,,1581,公寓住宅,民用,7.0,12,0.0,4942.0,Shandong,Heze,Mudan,Shandong-Heze
304500,菏泽当代城,菏泽,牡丹,东方红大街,2019,小高层|高层,太原路1332号,115.4745383,35.24978401,,30.0,,0,公寓住宅,民用,8.1,12,0.67,7350.0,Shandong,Heze,Mudan,Shandong-Heze
304507,碧桂园铂悦城,菏泽,牡丹,东方红大街,,小高层|高层,"牡丹路,近北环路",115.4680211,35.28616039,1.0,35.0,,838,公寓住宅,民用,7.3,12,0.58,4387.0,Shandong,Heze,Mudan,Shandong-Heze
304506,天宏小区,菏泽,牡丹,东方红大街,,小高层|高层,"黄河东路,近人民北路",115.4967568,35.25635212,1.0,38.0,,538,公寓住宅,民用,7.8,12,0.0,5960.0,Shandong,Heze,Mudan,Shandong-Heze
304505,中丞玖璋台,菏泽,牡丹,东方红大街,,多层|小高层|高层,"长城路,近牡丹路",115.4581243,35.27841666,1.0,30.5,1151614.0,1888,公寓住宅,民用,7.2,12,-1.04,5398.0,Shandong,Heze,Mudan,Shandong-Heze
304504,名门世都,菏泽,牡丹,东方红大街,,高层,青年路,115.4600665,35.25707021,1.0,35.0,,5231,公寓住宅,民用,8.3,12,-0.48,5799.0,Shandong,Heze,Mudan,Shandong-Heze
304510,国璟府,菏泽,牡丹,东方红大街,,多层|高层,"松花江路,近广州路",115.5159703,35.26365762,,35.0,,1155,公寓住宅,民用,6.7,12,-0.02,6375.0,Shandong,Heze,Mudan,Shandong-Heze
304418,中达紫荆花园,菏泽,牡丹,万达广场,2018,多层|小高层|高层,"广州路,近永昌东路",115.5181639,35.24211738,,35.0,,0,公寓住宅,民用,7.6,12,0.0,4380.0,Shandong,Heze,Mudan,Shandong-Heze
304423,颐和佳园,菏泽,牡丹,万达广场,2013,小高层,长江路966号,115.4756476,35.22683647,1.0,54.3,,240,公寓住宅,民用,8.5,12,0.0,5090.0,Shandong,Heze,Mudan,Shandong-Heze
304399,中山国际(商住楼),菏泽,牡丹,万达广场,2016,高层,"中山路,近华英路",115.4857103,35.22724111,,35.0,200000.0,0,商住楼,商用,8.2,12,0.0,6298.0,Shandong,Heze,Mudan,Shandong-Heze
304401,水发江南印象(公寓住宅),菏泽,牡丹,万达广场,,多层,人民路,115.4799379,35.17249598,,35.0,100000.0,398,公寓住宅,民用,6.8,12,0.0,3916.0,Shandong,Heze,Mudan,Shandong-Heze
304402,水发江南印象(别墅),菏泽,牡丹,万达广场,,低层,人民路,115.4803613,35.17210485,,35.0,100000.0,410,别墅,民用,7.1,12,0.0,10178.0,Shandong,Heze,Mudan,Shandong-Heze
