id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
342666,裕隆小区,济宁,曲阜,曲阜城区,2006,多层,天华路2号,116.9710922,35.58918165,1.0,50.0,,120,公寓住宅,民用,8.0,12,0.0,7329.0,Shandong,Jining,Qufu,Shandong-Jining
342647,北关小区(曲阜),济宁,曲阜,曲阜城区,2000,多层,北关大街,116.9880019,35.60569395,1.0,30.0,,100,公寓住宅,民用,8.0,12,0.0,6909.0,Shandong,Jining,Qufu,Shandong-Jining
342648,仓巷小区,济宁,曲阜,曲阜城区,2000,多层,仓庚路,116.9791938,35.5851994,,30.0,,30,公寓住宅,民用,7.8,12,0.0,4769.0,Shandong,Jining,Qufu,Shandong-Jining
342649,红星小区(曲阜),济宁,曲阜,曲阜城区,2000,多层,光源路30号,116.9635144,35.60473404,1.0,30.0,,130,公寓住宅,民用,7.2,12,0.0,8518.0,Shandong,Jining,Qufu,Shandong-Jining
342651,西关民族花园小区,济宁,曲阜,曲阜城区,2000,多层,西关大街,116.9698376,35.59662455,1.0,30.0,,398,公寓住宅,民用,8.0,12,0.0,5128.0,Shandong,Jining,Qufu,Shandong-Jining
342652,建设居,济宁,曲阜,曲阜城区,2000,多层,永乐街,116.9880189,35.57534154,1.0,30.0,,92,公寓住宅,民用,8.3,12,0.0,7063.0,Shandong,Jining,Qufu,Shandong-Jining
342653,墨香名筑,济宁,曲阜,曲阜城区,2019,高层,裕隆路,116.9474085,35.58936009,1.0,30.0,,216,公寓住宅,民用,8.3,12,0.0,9541.0,Shandong,Jining,Qufu,Shandong-Jining
342654,静轩雅苑,济宁,曲阜,曲阜城区,2000,多层,仓庚路,116.9792507,35.58747581,1.0,30.0,,144,公寓住宅,民用,7.7,12,0.0,7985.0,Shandong,Jining,Qufu,Shandong-Jining
342655,后作街小区,济宁,曲阜,曲阜城区,2000,多层,后作街,116.9844963,35.59988201,1.0,30.0,,105,公寓住宅,民用,8.2,12,0.0,5769.0,Shandong,Jining,Qufu,Shandong-Jining
342656,舞雩坛家属院,济宁,曲阜,曲阜城区,1998,多层,浴沂路,116.9876511,35.57455718,1.0,20.0,,70,公寓住宅,民用,7.6,12,0.0,5392.0,Shandong,Jining,Qufu,Shandong-Jining
342665,圣地家园小区,济宁,曲阜,曲阜城区,2001,多层,圣华路,116.9836329,35.60526934,1.0,30.0,,128,公寓住宅,民用,8.0,12,0.0,8775.0,Shandong,Jining,Qufu,Shandong-Jining
342657,曲阜市交通局家属院,济宁,曲阜,曲阜城区,1990,多层,弘道路38号,116.9924818,35.57608304,1.0,20.0,,36,公寓住宅,民用,8.0,12,0.0,6551.0,Shandong,Jining,Qufu,Shandong-Jining
342659,职业中专家属院,济宁,曲阜,曲阜城区,1998,多层,仓庚路,116.961373,35.58846988,1.0,20.0,,120,公寓住宅,民用,7.5,12,0.0,5375.0,Shandong,Jining,Qufu,Shandong-Jining
342660,献泉路7号小区,济宁,曲阜,曲阜城区,2002,多层,献泉路7号,116.9989015,35.59248643,,30.0,,10,公寓住宅,民用,7.6,12,0.0,5466.0,Shandong,Jining,Qufu,Shandong-Jining
342661,华能苑,济宁,曲阜,曲阜城区,2005,多层,天华路3号,116.9695894,35.58813745,1.0,30.0,,295,公寓住宅,民用,7.9,12,0.0,4635.0,Shandong,Jining,Qufu,Shandong-Jining
342662,紫御华府,济宁,曲阜,曲阜城区,2017,多层|小高层,"两观台路,近春秋东路",117.0066626,35.57792258,1.0,30.0,,1158,公寓住宅,民用,7.6,12,0.0,9516.0,Shandong,Jining,Qufu,Shandong-Jining
342663,市政家属院,济宁,曲阜,曲阜城区,2001,多层,天华路26号,116.9699194,35.58281824,1.0,30.0,,80,公寓住宅,民用,8.1,12,0.0,4833.0,Shandong,Jining,Qufu,Shandong-Jining
342664,奎文嘉苑,济宁,曲阜,曲阜城区,2015,多层,"校场路,近文明街",116.971702,35.60133805,1.0,30.0,,120,公寓住宅,民用,7.5,12,0.0,7401.0,Shandong,Jining,Qufu,Shandong-Jining
342670,曲阜市农村信用社家属院信合里,济宁,曲阜,曲阜城区,1998,多层,圣阳路100号,117.0131905,35.58697541,1.0,20.0,,170,公寓住宅,民用,7.6,12,0.0,7268.0,Shandong,Jining,Qufu,Shandong-Jining
342669,电机厂宿舍楼,济宁,曲阜,曲阜城区,1998,多层,弘道路2号,116.9935728,35.58907382,1.0,20.0,,66,公寓住宅,民用,7.6,12,0.0,6428.0,Shandong,Jining,Qufu,Shandong-Jining
342668,山东三孔集团员工宿舍,济宁,曲阜,曲阜城区,1998,多层,校场路,116.9631933,35.60232514,1.0,20.0,,630,公寓住宅,民用,7.2,12,0.0,6545.0,Shandong,Jining,Qufu,Shandong-Jining
342667,吉祥花园,济宁,曲阜,曲阜城区,2011,多层,弘道路,116.9902095,35.56242874,1.0,30.0,,2663,公寓住宅,民用,7.4,12,0.0,7096.0,Shandong,Jining,Qufu,Shandong-Jining
342658,裕盛苑,济宁,曲阜,曲阜城区,2015,多层,校场路,116.96182,35.60282335,1.0,30.0,,160,公寓住宅,民用,7.8,12,0.0,5000.0,Shandong,Jining,Qufu,Shandong-Jining
