id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
33411,华丰小区家属楼,北京,北京周边,烟台,1994,多层,福海路,121.2536934,37.4998801,,20.0,,24,公寓住宅,民用,8.1,12,0.0,7600.0,Shandong,Yantai,Fushan,Shandong-Yantai
33416,新长白山路12号小区,北京,北京周边,烟台,2015,多层,长白山路,121.2682486,37.57021816,,30.0,,9,商住楼,商用,7.3,12,0.0,9200.0,Shandong,Yantai,Fushan,Shandong-Yantai
33415,明珠大厦,北京,北京周边,烟台,2007,高层,永达街580号,121.2784106,37.52499753,2.0,30.0,,780,商住楼,商用,7.7,12,0.0,6500.0,Shandong,Yantai,Fushan,Shandong-Yantai
33414,福海路101号小区,北京,北京周边,烟台,1998,多层,福海路101号,121.2547201,37.49815125,,20.0,,40,公寓住宅,民用,8.1,12,0.0,6300.0,Shandong,Yantai,Fushan,Shandong-Yantai
33413,福兴花苑,北京,北京周边,烟台,1998,多层,县府街498号,121.2478659,37.49514164,1.0,20.0,,84,公寓住宅,民用,8.1,12,0.0,7000.0,Shandong,Yantai,Fushan,Shandong-Yantai
33412,南山路111号小区,北京,北京周边,烟台,2004,多层,南山路111号,121.2577602,37.48820115,1.0,30.0,,238,公寓住宅,民用,8.1,12,0.0,7300.0,Shandong,Yantai,Fushan,Shandong-Yantai
33417,五指山路17号小区,北京,北京周边,烟台,2007,高层,五指山路17号,121.2707841,37.53899795,,30.0,,54,商住楼,商用,7.3,12,0.0,6200.0,Shandong,Yantai,Fushan,Shandong-Yantai
33421,南山路27号小区,北京,北京周边,烟台,2018,高层,南山路27号,121.2514327,37.48862897,,30.0,,72,公寓住宅,民用,8.0,12,0.0,5500.0,Shandong,Yantai,Fushan,Shandong-Yantai
33401,南苑街93号物资商住楼,北京,北京周边,烟台,2007,多层,南苑街93号,121.2507525,37.49216372,,30.0,,48,公寓住宅,民用,7.9,12,0.0,6100.0,Shandong,Yantai,Fushan,Shandong-Yantai
33408,黄河路62号别墅,北京,北京周边,烟台,2016,低层,黄河路62号,121.2472565,37.56694934,,50.0,,0,别墅,民用,8.1,12,0.0,10800.0,Shandong,Yantai,Fushan,Shandong-Yantai
33407,汇福街23号小区,北京,北京周边,烟台,2004,多层,汇福街23号,121.2612377,37.51318696,,30.0,,66,公寓住宅,民用,8.3,12,0.0,7000.0,Shandong,Yantai,Fushan,Shandong-Yantai
