id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
538263,中食新村,上海,宝山,大场,1981,多层,中食新村1-12号,121.3989314,31.3035455,2.0,33.0,,192,公寓住宅,民用,7.2,12,,32940.0,Shanghai,,Baoshan,Shanghai-Baoshan
538264,宝宸怡景园,上海,宝山,共康,2011,小高层,三泉路1859弄1-132号,121.4309139,31.33288532,2.0,46.0,312000.0,3023,公寓住宅,民用,8.1,12,,73899.0,Shanghai,,Baoshan,Shanghai-Baoshan
538265,和欣国际花园,上海,宝山,共康,2013,高层,场北路39弄,121.4309293,31.33725683,2.0,49.0,260000.0,2623,公寓住宅,民用,8.1,12,,71941.0,Shanghai,,Baoshan,Shanghai-Baoshan
538248,中裕豪庭(别墅),上海,宝山,大场,2011,低层,祁连山路2233弄,121.3776665,31.30927634,,50.0,,60,别墅,民用,7.7,12,,56105.0,Shanghai,,Baoshan,Shanghai-Baoshan
538253,汇秀雅苑,上海,宝山,大场,2016,高层,环镇南路1506弄,121.3789726,31.29663056,,30.0,,0,公寓住宅,民用,,12,,,Shanghai,,Baoshan,Shanghai-Baoshan
538293,共康雅苑(二期),上海,宝山,共康,2014,多层|高层,大康路891弄,121.4169504,31.33202241,2.0,35.0,,3193,公寓住宅,民用,7.7,12,,54951.0,Shanghai,,Baoshan,Shanghai-Baoshan
538294,绿地新都会(宝山),上海,宝山,共康,2015,高层,共和新路5000弄,121.4399171,31.32476464,2.0,30.0,,1281,商住楼,商用,8.1,12,,31423.0,Shanghai,,Baoshan,Shanghai-Baoshan
538266,共和新苑,上海,宝山,共康,2007,高层,共和新路5308弄68支弄,121.4363823,31.33030664,2.0,42.0,76510.0,602,公寓住宅,民用,8.2,12,,59792.0,Shanghai,,Baoshan,Shanghai-Baoshan
538247,金鑫花园(别墅),上海,宝山,大场,1999,低层,华灵路1900弄,121.3990017,31.28019468,,50.0,,284,别墅,民用,8.0,12,,50000.0,Shanghai,,Baoshan,Shanghai-Baoshan
538246,梧桐城邦(三期别墅),上海,宝山,大场,2013,低层,真华路1988弄,121.407069,31.29466775,,41.0,,77,别墅,民用,7.7,12,,68750.0,Shanghai,,Baoshan,Shanghai-Baoshan
538245,祁秀雅苑,上海,宝山,大场,2002,高层,鄂尔多斯路67弄,121.3858531,31.29727481,,30.0,,0,公寓住宅,民用,7.4,12,,47034.0,Shanghai,,Baoshan,Shanghai-Baoshan
538244,复地中环天地,上海,宝山,大场,2012,低层,环镇南路858弄,121.3929826,31.29705756,,41.0,320000.0,18,商住楼,商用,7.6,12,,36272.0,Shanghai,,Baoshan,Shanghai-Baoshan
538243,上大阳光乾宁园,上海,宝山,大场,2006,多层,上大路218弄1-67号,121.3981739,31.3130263,2.0,41.0,15000.0,648,公寓住宅,民用,8.0,12,,61486.0,Shanghai,,Baoshan,Shanghai-Baoshan
