id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
553841,浦江大厦,上海,长宁,新华路,1997,高层,安顺路89弄7号,121.4179223,31.20262427,2.0,30.0,,670,公寓住宅,民用,8.5,12,,77804.0,Shanghai,,Changning,Shanghai-Changning
553844,世界花园别墅,上海,长宁,新华路,2004,低层,兴国路338弄,121.4319536,31.20816278,,45.0,,7,别墅,民用,9.0,12,,142500.0,Shanghai,,Changning,Shanghai-Changning
553843,兴国鸣园,上海,长宁,新华路,2001,多层,"兴国路244弄59号,兴国路244弄75号",121.4312555,31.20933255,2.0,35.0,3000.0,29,公寓住宅,民用,8.7,12,,112299.0,Shanghai,,Changning,Shanghai-Changning
553842,镇宁小区,上海,长宁,新华路,2003,多层,"镇宁路545弄10号,46-108号",121.4299723,31.22630987,2.0,30.0,,216,公寓住宅,民用,8.3,12,,101123.0,Shanghai,,Changning,Shanghai-Changning
553845,颐德名苑,上海,长宁,新华路,2000,小高层|高层,延安西路1390弄1-6号,121.4202137,31.21076252,2.0,30.0,30000.0,219,公寓住宅,民用,8.5,12,,97281.0,Shanghai,,Changning,Shanghai-Changning
553840,平武大楼,上海,长宁,新华路,1991,高层,平武路115号,121.427075,31.21020478,2.0,20.0,12500.0,133,公寓住宅,民用,8.4,12,,104754.0,Shanghai,,Changning,Shanghai-Changning
553833,兰庭,上海,长宁,新华路,2005,多层|小高层,湖南路565弄,121.4300204,31.20875605,2.0,35.0,9735.0,101,公寓住宅,民用,8.7,12,,242175.0,Shanghai,,Changning,Shanghai-Changning
553838,中东小区,上海,长宁,新华路,2008,多层|高层,中山西路945弄1-16号,121.4088751,31.20235553,2.0,20.0,28000.0,340,公寓住宅,民用,8.3,12,,70860.0,Shanghai,,Changning,Shanghai-Changning
553837,法华镇路101弄小区,上海,长宁,新华路,1986,多层,法华镇路101弄,121.4277844,31.20464832,2.0,21.0,,290,公寓住宅,民用,8.6,12,,95140.0,Shanghai,,Changning,Shanghai-Changning
553836,兴国大厦,上海,长宁,新华路,1996,高层,淮海中路1950弄2号,121.4328651,31.20612691,2.0,25.0,,164,公寓住宅,民用,8.5,12,,113660.0,Shanghai,,Changning,Shanghai-Changning
553835,鸿丰香缇花园,上海,长宁,新华路,2005,小高层,湖南路555弄,121.4299572,31.20978355,2.0,50.0,10515.0,60,公寓住宅,民用,8.8,12,,142500.0,Shanghai,,Changning,Shanghai-Changning
553834,中山元一新苑,上海,长宁,新华路,2002,多层,中山西路1039弄1-8号,121.4111359,31.20090127,2.0,40.0,15000.0,102,公寓住宅,民用,8.4,12,,99297.0,Shanghai,,Changning,Shanghai-Changning
553832,虹桥府邸,上海,长宁,新华路,2008,小高层,安顺路255弄1-4号,121.4104296,31.20136537,2.0,30.1,30000.0,252,公寓住宅,民用,8.3,12,,107661.0,Shanghai,,Changning,Shanghai-Changning
553846,中银淮海苑,上海,长宁,新华路,1999,多层,淮海西路346弄5号,121.4222584,31.20193401,2.0,46.0,,240,公寓住宅,民用,8.9,12,,98510.0,Shanghai,,Changning,Shanghai-Changning
553839,新华别墅,上海,长宁,新华路,1980,低层,"新华路211弄1-22号,新华路329弄",121.4226793,31.20372009,,38.0,,49,公寓住宅,民用,8.3,12,,,Shanghai,,Changning,Shanghai-Changning
553847,法华镇路500弄小区,上海,长宁,新华路,2001,多层,法华镇路500弄,121.4211166,31.20625381,2.0,35.0,9876.0,125,公寓住宅,民用,8.5,12,,88200.0,Shanghai,,Changning,Shanghai-Changning
553860,中华新村(长宁),上海,长宁,新华路,1996,多层,中华新村1-93号,121.4124368,31.20093176,2.0,20.0,,1138,公寓住宅,民用,8.1,12,,69312.0,Shanghai,,Changning,Shanghai-Changning
553849,仁达公寓,上海,长宁,新华路,1999,多层|高层,平武路36号,121.4251179,31.21095026,2.0,17.0,30000.0,125,公寓住宅,民用,8.5,12,,79515.0,Shanghai,,Changning,Shanghai-Changning
553863,兴国路318弄小区,上海,长宁,新华路,1937,低层,兴国路318弄,121.4315359,31.20874227,2.0,20.0,,34,公寓住宅,民用,8.1,12,,142500.0,Shanghai,,Changning,Shanghai-Changning
553862,泰安路109弄小区,上海,长宁,新华路,1985,多层,泰安路109弄,121.4310373,31.20890048,2.0,36.0,,75,公寓住宅,民用,8.0,12,,107261.0,Shanghai,,Changning,Shanghai-Changning
