id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
546180,曲沃路223号小区,上海,静安,场中路,1993,多层,曲沃路223号,121.4402129,31.31105505,2.0,20.0,,48,公寓住宅,民用,7.4,12,,29750.0,Shanghai,,Jingan,Shanghai-Jingan
546179,白玉兰馨园(一期),上海,静安,场中路,2003,多层|小高层|高层,少年村路479弄1-61号,121.4264046,31.3022327,2.0,45.0,80000.0,1186,公寓住宅,民用,7.8,12,,61238.0,Shanghai,,Jingan,Shanghai-Jingan
545815,吉兴大厦,上海,静安,新客站,1999,多层,中山北路831弄,121.4526047,31.2621969,1.0,25.0,,333,公寓住宅,民用,8.6,12,,70011.0,Shanghai,,Jingan,Shanghai-Jingan
546181,场中路2260号小区,上海,静安,场中路,1996,多层,场中路2260号,121.4416707,31.30716088,2.0,20.0,,108,公寓住宅,民用,7.6,12,,49951.0,Shanghai,,Jingan,Shanghai-Jingan
546168,芷江西路230号楼,上海,静安,芷江西路,2006,多层,芷江西路230号,121.4575971,31.25935456,,30.0,,40,商住楼,商用,7.8,12,,67500.0,Shanghai,,Jingan,Shanghai-Jingan
546177,"中华新路497,499号小区",上海,静安,芷江西路,1984,多层,"中华新路497,499号",121.46047,31.2558771,2.0,35.0,,45,公寓住宅,民用,8.3,12,,57150.0,Shanghai,,Jingan,Shanghai-Jingan
545983,普铁新村(南区),上海,静安,新客站,1958,多层,普铁新村12-34号(双),121.4487635,31.25832683,2.0,38.0,10000.0,306,公寓住宅,民用,8.1,12,,58950.0,Shanghai,,Jingan,Shanghai-Jingan
545984,老沪太路228-270号小区,上海,静安,新客站,1985,多层,老沪太路228-270号,121.4468443,31.26929972,2.0,25.0,,49,公寓住宅,民用,7.9,12,,96808.0,Shanghai,,Jingan,Shanghai-Jingan
545985,康乐路100弄小区,上海,静安,新客站,2005,多层,康乐路100弄,121.4734664,31.249312,,35.0,,0,公寓住宅,民用,8.1,12,,62842.0,Shanghai,,Jingan,Shanghai-Jingan
545986,华山路399号小区,上海,静安,新客站,1936,多层,华山路399号,121.4415994,31.21902617,2.0,30.0,47000.0,28,公寓住宅,民用,8.1,12,,125641.0,Shanghai,,Jingan,Shanghai-Jingan
545987,东宝兴路648弄小区,上海,静安,新客站,1988,多层,东宝兴路648弄,121.471683,31.26356332,2.0,20.0,,48,公寓住宅,民用,8.3,12,,44460.0,Shanghai,,Jingan,Shanghai-Jingan
545988,德康里一弄,上海,静安,新客站,2001,低层,罗浮路76弄,121.4761431,31.2535986,2.0,30.0,,50,公寓住宅,民用,7.7,12,,57600.0,Shanghai,,Jingan,Shanghai-Jingan
545989,华侨城苏河湾(公寓住宅),上海,静安,老北站,2016,超高层,山西北路88弄1-2号,121.4765142,31.24382317,2.0,27.0,23270.0,187,公寓住宅,民用,8.6,12,,220314.0,Shanghai,,Jingan,Shanghai-Jingan
545990,北苑大厦,上海,静安,老北站,2010,高层,天目中路538弄1号,121.4608517,31.24584955,2.0,30.0,,135,公寓住宅,民用,8.4,12,,59497.0,Shanghai,,Jingan,Shanghai-Jingan
545991,七浦公寓,上海,静安,老北站,2000,高层,七浦路535号,121.4704694,31.2463596,2.0,25.0,,108,公寓住宅,民用,8.6,12,,80072.0,Shanghai,,Jingan,Shanghai-Jingan
545992,农房熙藏,上海,静安,老北站,2016,高层,西藏北路219弄1-4号,121.4657495,31.24517414,2.0,25.0,,216,公寓住宅,民用,9.0,12,,124528.0,Shanghai,,Jingan,Shanghai-Jingan
545993,三阳小区,上海,静安,老北站,1987,多层,"黄山路280弄,黄山路260,290,300号",121.4641572,31.26773561,2.0,20.0,,519,公寓住宅,民用,8.1,12,,73529.0,Shanghai,,Jingan,Shanghai-Jingan
544803,明珠公寓(场中路),上海,静安,彭浦,1996,多层,场中路2600弄1-2号,121.4588666,31.27367735,,20.0,,180,公寓住宅,民用,8.1,12,,31904.0,Shanghai,,Jingan,Shanghai-Jingan
545994,西藏北路301号小区,上海,静安,老北站,2011,多层,西藏北路301号,121.4660952,31.24742102,2.0,30.0,,30,公寓住宅,民用,8.4,12,,43560.0,Shanghai,,Jingan,Shanghai-Jingan
545996,宝格丽公寓,上海,静安,老北站,2016,超高层,山西北路108弄10号(河南北路33号),121.4776551,31.24496893,,30.0,,243,商住楼,商用,8.8,12,,145131.0,Shanghai,,Jingan,Shanghai-Jingan
542317,长乐路1129号小区,上海,徐汇,衡山路,2005,多层,长乐路1129号,121.4389103,31.21710371,,30.0,,0,公寓住宅,民用,8.0,12,,131353.0,Shanghai,,Jingan,Shanghai-Jingan
545997,圣和圣广场(丽晶馆),上海,静安,老北站,2008,高层,海宁路717号,121.4759674,31.24853446,,35.0,,525,商住楼,商用,8.6,12,,44646.0,Shanghai,,Jingan,Shanghai-Jingan
545998,苏河湾中心润府,上海,静安,老北站,2021,超高层,福建北路228弄,121.4744999,31.24381724,,24.0,111950.0,224,公寓住宅,民用,8.9,12,,155216.0,Shanghai,,Jingan,Shanghai-Jingan
545999,金赢108创意广场,上海,静安,老北站,2010,小高层,"俞泾港路11号,平型关路138号,平型关路108弄",121.4617426,31.26883147,,30.0,,676,商住楼,商用,8.2,12,,36487.0,Shanghai,,Jingan,Shanghai-Jingan
546000,凯旋门大厦,上海,静安,老北站,1997,超高层,天目中路428号,121.4625337,31.24585933,,20.0,,250,商住楼,商用,8.3,12,,35672.0,Shanghai,,Jingan,Shanghai-Jingan
546001,金城大厦,上海,静安,老北站,2005,高层,海宁路1399号,121.4637555,31.24599362,2.0,35.0,,0,商住楼,商用,8.5,12,,40869.0,Shanghai,,Jingan,Shanghai-Jingan
546004,"新马路187,193号小区",上海,静安,老北站,2000,多层,"新马路187,193号",121.4636458,31.25050606,,30.0,,30,公寓住宅,民用,8.0,12,,66283.0,Shanghai,,Jingan,Shanghai-Jingan
545995,华侨城苏河湾(别墅),上海,静安,老北站,2015,低层,山西北路28弄,121.4710254,31.24429894,,30.0,,17,别墅,民用,8.7,12,,370895.0,Shanghai,,Jingan,Shanghai-Jingan
545982,万航渡路249弄小区,上海,静安,新客站,1990,低层,万航渡路249弄,121.4348876,31.22797579,2.0,10.0,,126,公寓住宅,民用,8.1,12,,142500.0,Shanghai,,Jingan,Shanghai-Jingan
544802,曲沃路223号小区,上海,静安,彭浦,1993,多层,曲沃路223号,121.4402129,31.31105505,2.0,20.0,,48,公寓住宅,民用,7.4,12,,29750.0,Shanghai,,Jingan,Shanghai-Jingan
544801,景凤路380弄小区,上海,静安,彭浦,1993,多层,景凤路380弄1-19号,121.4559777,31.32262576,2.0,35.0,,420,公寓住宅,民用,7.9,12,,59245.0,Shanghai,,Jingan,Shanghai-Jingan
546174,通阁路181号小区,上海,静安,芷江西路,1987,多层,通阁路181号,121.4659795,31.26180633,,20.0,,0,公寓住宅,民用,7.8,12,,54900.0,Shanghai,,Jingan,Shanghai-Jingan
546173,西藏北路867-875号小区,上海,静安,芷江西路,1996,多层,"西藏北路867,871,875号",121.4622196,31.25889156,2.0,20.0,,54,公寓住宅,民用,7.8,12,,126315.0,Shanghai,,Jingan,Shanghai-Jingan
546172,止园路446号小区,上海,静安,芷江西路,1985,多层,止园路446号,121.4629149,31.26376954,2.0,20.0,,42,公寓住宅,民用,7.8,12,,78913.0,Shanghai,,Jingan,Shanghai-Jingan
546171,中山北路510号小区,上海,静安,芷江西路,1986,多层,中山北路510号,121.4612392,31.26413769,2.0,20.0,,24,公寓住宅,民用,7.7,12,,58950.0,Shanghai,,Jingan,Shanghai-Jingan
546170,柳营路610号小区,上海,静安,芷江西路,2010,多层,柳营路610号,121.4556694,31.2672875,,15.0,,1,公寓住宅,民用,7.6,12,,50400.0,Shanghai,,Jingan,Shanghai-Jingan
546169,共和新路730弄小区,上海,静安,芷江西路,2015,多层,共和新路730弄,121.4572814,31.25701475,,30.0,,55,公寓住宅,民用,7.9,12,,57894.0,Shanghai,,Jingan,Shanghai-Jingan
544540,怡乐花园,上海,静安,曹家渡,2005,高层,武宁南路418弄,121.4282445,31.23442927,2.0,35.0,45000.0,305,公寓住宅,民用,8.8,12,,105134.0,Shanghai,,Jingan,Shanghai-Jingan
545816,西宝兴路922弄小区,上海,静安,新客站,1990,小高层,西宝兴路922弄,121.4633998,31.27150546,2.0,20.0,,523,公寓住宅,民用,7.9,12,,62082.0,Shanghai,,Jingan,Shanghai-Jingan
544539,江苏路35弄小区,上海,静安,曹家渡,1990,多层,江苏路35弄2-4号,121.4236312,31.22584336,2.0,20.0,2000.0,79,公寓住宅,民用,8.7,12,,79515.0,Shanghai,,Jingan,Shanghai-Jingan
546165,西藏北路1071弄小区,上海,静安,芷江西路,2004,多层,西藏北路1071弄,121.4619162,31.26218645,,30.0,,90,公寓住宅,民用,7.8,12,,68000.0,Shanghai,,Jingan,Shanghai-Jingan
544538,康定汽车公寓,上海,静安,曹家渡,2000,高层,康定路1201弄,121.4291144,31.23148103,2.0,35.0,25000.0,185,公寓住宅,民用,9.2,12,,63805.0,Shanghai,,Jingan,Shanghai-Jingan
542655,长乐路1129号小区,上海,徐汇,复兴中路,2005,多层,长乐路1129号,121.4389103,31.21710371,,30.0,,0,公寓住宅,民用,8.0,12,,131353.0,Shanghai,,Jingan,Shanghai-Jingan
