id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
533791,锦绣一方名苑,上海,浦东,杨东,2002,小高层,锦安东路567弄,121.5358951,31.20063487,2.0,40.0,120000.0,518,公寓住宅,民用,8.2,12,,88503.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533737,陈桥村自建房(浦东),上海,浦东,川沙,,低层,"六陈路,近南六公路",121.6869025,31.14644581,,,,0,,暂无,6.0,12,,20000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533739,西泥路87弄小区,上海,浦东,川沙,2014,多层,西泥路87弄,121.6989865,31.19831797,2.0,30.0,,12,公寓住宅,民用,7.4,12,,30420.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533740,凯佳尊品公馆,上海,浦东,川沙,2015,高层,妙川路300号,121.6909114,31.17772179,,30.0,,481,公寓住宅,民用,7.2,12,,57150.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533741,粮管所公寓自建房,上海,浦东,川沙,,多层,南塘街193号,121.7500484,31.11660652,,,,0,,暂无,6.5,12,,26800.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533742,南祝路358号楼,上海,浦东,川沙,,多层,南祝路358号,121.7522395,31.12100455,,,,0,商业,商用,6.5,12,,18000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533743,南市街45弄小区,上海,浦东,川沙,1989,多层|高层,南市街45弄,121.700694,31.19650799,2.0,20.0,,75,公寓住宅,民用,7.2,12,,31500.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533744,东方现代商业广场,上海,浦东,川沙,2013,小高层|高层,晨阳路225弄,121.7495513,31.1784401,,30.0,,239,商住楼,商用,7.1,12,,17500.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533745,南市街42弄小区,上海,浦东,川沙,1989,多层|高层,南市街42弄,121.7001499,31.19595914,2.0,20.0,,42,公寓住宅,民用,7.3,12,,35460.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533746,上海川新浙商五金机电市场,上海,浦东,川沙,,多层,川沙路4298号,121.6903972,31.20668868,,,,0,商业,商用,6.6,12,,25000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533747,川六公路918号楼,上海,浦东,川沙,,多层,川六公路918号,121.7105123,31.16364165,,,,0,办公,商用,6.2,12,,25000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533748,川六公路1340号楼,上海,浦东,川沙,,低层,川六公路1340号,121.7137716,31.15586264,,,,0,厂房,工业,6.4,12,,20000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533749,创业路222号园区,上海,浦东,川沙,,多层,创业路222号,121.6802786,31.21411623,,,,0,办公,商用,6.7,12,,20000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533750,华夏东路3179号大楼,上海,浦东,川沙,,多层,华夏东路3179号,121.7115312,31.20605887,,,,0,办公,商用,6.5,12,,15000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533751,维也纳国际酒店,上海,浦东,川沙,,多层,施湾六路566号,121.7586007,31.14582628,,,,0,酒店,商用,6.4,12,,38235.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
533736,孙家宅自建房,上海,浦东,川沙,,低层,界龙大道,121.6819078,31.17220836,,,,0,,暂无,6.4,12,,36000.0,Shanghai,,Pudongxin,Shanghai-Pudongxin
