id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
542316,轻保小区,上海,徐汇,衡山路,1998,多层,"南丹路185号甲乙,南丹路181弄11-13号",121.4280693,31.1914895,2.0,20.0,,48,公寓住宅,民用,8.6,12,,94444.0,Shanghai,,Xuhui,Shanghai-Xuhui
542335,警安苑,上海,徐汇,衡山路,2008,多层,宋园路138弄,121.4098168,31.19125398,2.0,30.0,,136,公寓住宅,民用,8.0,12,,49950.0,Shanghai,,Xuhui,Shanghai-Xuhui
542336,御席花园,上海,徐汇,衡山路,2006,低层,建国西路568号,121.4453768,31.20499055,2.0,30.0,,9,公寓住宅,民用,8.6,12,,128000.0,Shanghai,,Xuhui,Shanghai-Xuhui
542337,吴兴路30弄小区,上海,徐汇,衡山路,1990,多层,吴兴路30弄,121.4371119,31.20708007,2.0,20.0,,60,公寓住宅,民用,8.6,12,,134848.0,Shanghai,,Xuhui,Shanghai-Xuhui
542338,兴国路89弄小区,上海,徐汇,衡山路,2000,多层|高层,兴国路89弄,121.4318292,31.21119984,2.0,36.0,1680.0,31,公寓住宅,民用,8.2,12,,138725.0,Shanghai,,Xuhui,Shanghai-Xuhui
542339,紫谷公寓,上海,徐汇,衡山路,1996,多层,建国西路617弄,121.4436309,31.20280153,1.0,30.0,4800.0,44,公寓住宅,民用,9.0,12,,142500.0,Shanghai,,Xuhui,Shanghai-Xuhui
542341,高安路6弄小区,上海,徐汇,衡山路,1938,低层,高安路6弄,121.4381735,31.20808047,2.0,20.0,,73,公寓住宅,民用,8.2,12,,134235.0,Shanghai,,Xuhui,Shanghai-Xuhui
542334,麦琪公寓,上海,徐汇,衡山路,2004,小高层,复兴西路24号,121.4422652,31.21251096,2.0,30.0,1600.0,32,公寓住宅,民用,8.5,12,,120253.0,Shanghai,,Xuhui,Shanghai-Xuhui
542343,永福第四小区,上海,徐汇,衡山路,2007,多层,永福路131弄1-5号,121.4390521,31.21169918,,37.0,,98,公寓住宅,民用,8.4,12,,83738.0,Shanghai,,Xuhui,Shanghai-Xuhui
542344,金司林公寓,上海,徐汇,衡山路,1935,多层,安亭路43号,121.4432582,31.20516618,2.0,35.0,,64,公寓住宅,民用,8.7,12,,160000.0,Shanghai,,Xuhui,Shanghai-Xuhui
542345,安亭路41弄小区,上海,徐汇,衡山路,1930,多层,安亭路41弄,121.443884,31.20467667,2.0,20.0,,30,公寓住宅,民用,7.7,12,,142500.0,Shanghai,,Xuhui,Shanghai-Xuhui
542346,"淮海中路1483,1493号小区",上海,徐汇,衡山路,1937,多层,"淮海中路1483,1493号",121.4415553,31.21086229,2.0,20.0,,8,公寓住宅,民用,8.1,12,,159549.0,Shanghai,,Xuhui,Shanghai-Xuhui
542347,良友别墅,上海,徐汇,衡山路,1950,低层,淮海西路345弄,121.4198342,31.199276,,48.0,,3,别墅,民用,8.6,12,,142500.0,Shanghai,,Xuhui,Shanghai-Xuhui
542340,淮海中路1200弄小区,上海,徐汇,衡山路,1925,多层,淮海中路1200弄,121.4487311,31.21726043,2.0,20.0,,159,公寓住宅,民用,8.1,12,,138510.0,Shanghai,,Xuhui,Shanghai-Xuhui
542333,沪江别墅,上海,徐汇,衡山路,1930,多层,长乐路613弄1-25号,121.4468511,31.21828224,2.0,30.0,,774,公寓住宅,民用,8.6,12,,141075.0,Shanghai,,Xuhui,Shanghai-Xuhui
542330,长乐公寓,上海,徐汇,衡山路,1998,多层|高层,长乐路1225号,121.4374128,31.21617774,2.0,40.0,,95,公寓住宅,民用,8.7,12,,145060.0,Shanghai,,Xuhui,Shanghai-Xuhui
542331,欧江大厦,上海,徐汇,衡山路,1995,超高层,肇嘉浜路768号,121.441612,31.20090501,2.0,30.0,,124,公寓住宅,民用,9.0,12,,68720.0,Shanghai,,Xuhui,Shanghai-Xuhui
542329,乌鲁木齐中路310弄小区,上海,徐汇,衡山路,1940,低层,乌鲁木齐中路310弄,121.4413569,31.21325009,,49.0,,3,别墅,民用,8.3,12,,142500.0,Shanghai,,Xuhui,Shanghai-Xuhui
542328,建国西路218弄小区,上海,徐汇,衡山路,2017,多层,建国西路218弄,121.4566056,31.20855929,,30.0,,0,公寓住宅,民用,7.9,12,,140425.0,Shanghai,,Xuhui,Shanghai-Xuhui
542327,乌鲁木齐中路349号小区,上海,徐汇,衡山路,2002,多层,乌鲁木齐中路349号,121.4420666,31.21304292,,30.0,,0,公寓住宅,民用,7.9,12,,114822.0,Shanghai,,Xuhui,Shanghai-Xuhui
542326,乌鲁木齐南路372弄小区,上海,徐汇,衡山路,1998,多层,乌鲁木齐南路372弄,121.4455355,31.20259014,,20.0,,0,公寓住宅,民用,7.9,12,,107692.0,Shanghai,,Xuhui,Shanghai-Xuhui
