id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
6240,波尔多智博园,安康,汉滨,兴安公园,,高层,居尚路,108.9889384,32.70939916,,35.0,120000.0,0,公寓住宅,民用,7.2,12,-1.62,6147.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6232,江华城,安康,汉滨,兴安公园,2019,高层,兴安中路88号,109.0189668,32.69407769,,30.0,59965.0,176,公寓住宅,民用,8.4,12,0.0,6532.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6262,深汇仕府大院,安康,汉滨,兴安公园,,小高层|高层|超高层,"安康大道,近董家沟路",108.9866688,32.69638157,,36.22,400000.0,1776,公寓住宅,民用,7.4,12,0.0,6776.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6260,中梁御墅花园,安康,汉滨,兴安公园,,多层|小高层|高层,"汉江路,近316国道",108.9607269,32.70708196,,35.0,109252.0,673,公寓住宅,民用,6.7,12,0.0,5555.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6259,桃园小区,安康,汉滨,兴安公园,2003,多层,"南环路,近文昌路",109.0343734,32.68934104,,25.0,,0,公寓住宅,民用,7.9,12,0.0,4246.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6248,江南一品紫郡,安康,汉滨,兴安公园,2017,多层,南环东路,109.050239,32.68940397,,35.5,20000.0,1000,公寓住宅,民用,7.5,12,0.0,5950.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6367,佳境新城,安康,汉滨,兴安公园,,高层,世纪大道,108.9789116,32.71897109,,36.21,150000.0,724,公寓住宅,民用,7.0,12,0.0,5813.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6368,安康旅游商业广场,安康,汉滨,兴安公园,2018,小高层|高层,"大桥路,近西大街",109.0169935,32.69574616,,10.0,80000.0,500,公寓住宅,民用,7.8,12,0.0,7333.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6267,安建金域澜庭,安康,汉滨,兴安公园,,多层,汉江路,108.9765627,32.70613769,,36.0,150000.0,0,公寓住宅,民用,7.6,12,0.0,5993.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6320,锦绣星城,安康,汉滨,兴安公园,2003,高层,进站西路,109.0100795,32.71249778,,20.0,88280.0,644,公寓住宅,民用,8.0,12,0.0,5405.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6322,天香华府,安康,汉滨,兴安公园,,高层,316国道,108.9934196,32.71482884,,35.0,55305.0,253,公寓住宅,民用,7.2,12,0.0,5100.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6325,天一城市广场,安康,汉滨,兴安公园,,小高层,花园大道北段1号,108.9824539,32.71686548,,36.0,91045.0,0,公寓住宅,民用,7.2,12,0.0,7734.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6312,府苑小区,安康,汉滨,兴安公园,2001,多层,东大街,109.0239111,32.7012181,,20.0,,0,公寓住宅,民用,8.0,12,-0.26,4700.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
6293,兴业大厦,安康,汉滨,兴安公园,1998,高层,育才西路,109.0098163,32.68019197,,30.0,,0,公寓住宅,民用,7.1,12,0.0,6660.0,Shanxi,Ankang,Hanbin,Shanxi-Ankang
