id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
298811,蓝城春风江南,汉中,汉台,莲湖路,,多层|小高层,西二环,106.9887324,33.11339979,,,,0,公寓住宅,民用,6.2,12,0.0,8166.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299066,卫生职业技术学院家属楼,汉中,汉台,莲湖路,,多层,西大街,107.0178051,33.07309895,,,,0,公寓住宅,民用,7.7,12,0.0,5250.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299063,粮油机械家属院,汉中,汉台,莲湖路,,多层,虎桥路,107.0184508,33.07879588,,,,0,公寓住宅,民用,7.9,12,0.0,3750.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
298843,虎桥小区,汉中,汉台,莲湖路,,多层,虎头桥路,107.0131293,33.08313057,,,,0,公寓住宅,民用,7.7,12,0.0,4142.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299183,天汉名都,汉中,汉台,莲湖路,,高层,荔枝路,107.0193898,33.05813369,,,,0,公寓住宅,民用,7.7,12,0.0,6876.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299062,汉中市生产资料公司家属院,汉中,汉台,莲湖路,,多层,供电大道,107.0355331,33.09157773,,,,0,公寓住宅,民用,7.5,12,0.0,3612.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299061,国瑞大厦,汉中,汉台,莲湖路,,高层,学会巷,107.0360442,33.06692461,,,,0,商住楼,商用,8.2,12,0.0,6153.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
298850,汉水名城,汉中,汉台,莲湖路,,多层,虎桥西街,107.0039647,33.08032594,,,,0,公寓住宅,民用,7.8,12,0.0,5434.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
298812,汉泉菁华里,汉中,汉台,莲湖路,,高层,益州路,107.0566507,33.04665137,,,,0,公寓住宅,民用,6.6,12,0.0,5714.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299236,聚兴青龙坊,汉中,汉台,莲湖路,,高层,天汉大道,107.0176791,33.09033362,,,,0,公寓住宅,民用,7.2,12,0.0,3966.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299227,水映兰亭,汉中,汉台,莲湖路,,高层,天汉大道,107.0083014,33.10924473,,,,0,公寓住宅,民用,6.6,12,0.0,4100.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
298851,首席壹号,汉中,汉台,莲湖路,,多层,南一环路,107.0377315,33.06791526,,,,0,公寓住宅,民用,7.6,12,0.0,9919.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299235,光辉社区B区,汉中,汉台,莲湖路,,高层,博望路,107.0644298,33.04750722,,,,0,公寓住宅,民用,6.7,12,0.0,4638.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
299234,华汉晶都,汉中,汉台,莲湖路,,高层,劳动东路107号,107.0314891,33.07988003,,,,0,公寓住宅,民用,7.8,12,0.0,6486.0,Shanxi,Hanzhong,Hantai,Shanxi-Hanzhong
