id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
54947,长林嘉苑,巴中,巴州,回风,,高层,迎宾大道中段,106.7253453,31.86477649,,,,0,公寓住宅,民用,7.3,12,0.0,6782.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54948,如意小区,巴中,巴州,回风,,多层,回风大道,106.7206376,31.85676036,,,,0,公寓住宅,民用,7.4,12,0.0,4809.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54949,云影香山,巴中,巴州,回风,,小高层|高层,长寿路,106.7299739,31.87051822,,,,0,公寓住宅,民用,7.4,12,-1.46,5700.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54952,龙舌坝还房,巴中,巴州,回风,,高层,巴州大道,106.7118072,31.85643342,,,,0,公寓住宅,民用,6.6,12,0.0,2500.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54951,长富苑小区,巴中,巴州,回风,,小高层,铁塔街,106.7280936,31.86355502,,,,0,公寓住宅,民用,7.2,12,0.0,6233.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54953,经贸委家属院,巴中,巴州,回风,,小高层,云台街33号,106.7438823,31.86337302,,,,0,公寓住宅,民用,7.9,12,0.0,5416.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54954,滨河北路中段92号院,巴中,巴州,回风,,多层,滨河北路中段92号,106.7481718,31.85859489,,,,0,公寓住宅,民用,8.2,12,0.0,3893.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54946,桂花苑,巴中,巴州,回风,,多层,桂花街382号,106.7391976,31.86233562,,,,0,公寓住宅,民用,7.8,12,0.0,4036.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54955,茂源鑫村,巴中,巴州,回风,,多层,回风大道220号,106.7286518,31.86462774,,,,0,公寓住宅,民用,7.3,12,0.0,3922.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54950,印象春天,巴中,巴州,回风,,高层,广福街77号,106.7316681,31.86454358,,,,0,公寓住宅,民用,7.7,12,0.0,6428.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54945,洪湖居,巴中,巴州,回风,,高层,广福街龙湖路13号,106.7328232,31.8642694,,,,0,公寓住宅,民用,7.9,12,0.0,6666.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54939,今日田园,巴中,巴州,回风,,高层,巴州大道615号,106.7176439,31.85921186,,,,0,公寓住宅,民用,7.6,12,0.0,4876.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54932,宇众傲城,巴中,巴州,回风,,高层,广福街,106.7328292,31.86534896,,,,0,公寓住宅,民用,7.5,12,0.0,6277.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54942,龙湖御景,巴中,巴州,回风,,高层,广福街,106.7317928,31.86354144,,,,0,公寓住宅,民用,7.6,12,-0.18,6371.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54941,江南水乡公寓,巴中,巴州,回风,,高层,"铁塔街,近巴州大道",106.7297904,31.86274952,,,,0,公寓住宅,民用,7.8,12,0.0,6250.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54938,丽阳广场,巴中,巴州,回风,,高层,回风路79号,106.7324896,31.86943925,,,,0,公寓住宅,民用,7.5,12,-3.02,5653.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54937,泽尧壹品,巴中,巴州,回风,,高层,"铁塔街,近巴州大道",106.7282417,31.86312567,,,,0,公寓住宅,民用,7.6,12,1.19,8778.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54936,容邦国际,巴中,巴州,回风,,高层,紫金阳光14号,106.7242213,31.85842689,,,,0,公寓住宅,民用,7.6,12,0.37,6938.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54935,金凤星城小区,巴中,巴州,回风,,多层,广福街58号,106.7311677,31.86490514,,,,0,公寓住宅,民用,7.4,12,-0.14,4291.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54934,通佛路临街小区,巴中,巴州,回风,,多层,通佛路3-135号,106.7481635,31.85246494,,,,0,公寓住宅,民用,8.2,12,0.0,3611.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54933,时代锋尚,巴中,巴州,回风,,高层,长寿路202号,106.7260186,31.8659643,,,,0,公寓住宅,民用,7.5,12,0.0,5932.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54956,小桥河街临街小区,巴中,巴州,回风,,多层,小桥河街3-108号,106.749137,31.84986166,,,,0,公寓住宅,民用,8.0,12,0.94,3629.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54944,御府花都,巴中,巴州,回风,,高层,长寿路,106.7249976,31.86675166,,,,0,公寓住宅,民用,7.0,12,0.0,5636.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54957,江北大道西段小区,巴中,巴州,回风,,高层,江北大道西段2-24号(双号),106.7442263,31.86502643,,,,0,公寓住宅,民用,7.8,12,0.0,5208.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
54973,郑家街57号院,巴中,巴州,回风,,多层,郑家街57号,106.7479519,31.860378,,,,0,公寓住宅,民用,8.0,12,0.0,2900.0,Sichuan,Bazhong,Bazhou,Sichuan-Bazhong
