id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
226470,鹭岛国际,广安,广安区,东南片区,2022,小高层|高层,冰河路四段99号,106.647497,30.456708,,30.0,,0,公寓住宅,民用,8.1,12,-0.69,6141.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226468,南城印象,广安,广安区,东南片区,2016,高层,河堰路313号,106.6535605,30.45757944,,36.9,,0,公寓住宅,民用,7.8,12,-0.24,6674.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226466,华冠城,广安,广安区,东南片区,,高层,金安大道三段299号,106.6522061,30.45099596,,30.0,,0,公寓住宅,民用,7.3,12,-1.11,5281.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226464,金安御景,广安,广安区,东南片区,2017,高层,凌云东路,106.6556599,30.45707496,,30.0,,0,公寓住宅,民用,7.8,12,-0.71,6612.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226462,锦绣山河悦城,广安,广安区,东南片区,,高层|超高层,朝阳大道二段,106.6544257,30.4641511,,35.0,,0,公寓住宅,民用,7.2,12,-0.39,4350.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226461,承平盛世四期,广安,广安区,东南片区,2020,高层,凌云东路,106.6588104,30.45427874,,31.0,160289.0,0,公寓住宅,民用,7.7,12,1.74,6118.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226455,环宇世纪城,广安,广安区,东南片区,2016,高层,凌云东路169号,106.6577924,30.4579293,,32.0,,0,公寓住宅,民用,7.5,12,0.39,6933.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226147,西溪云麓,广安,广安区,西溪新城,,小高层|高层,改革开放大道,106.6208024,30.47213981,,35.0,,0,公寓住宅,民用,8.1,12,0.0,4560.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226148,华珂山水城,广安,广安区,西溪新城,,小高层|高层,玉兔路160号,106.6145955,30.45835192,,35.0,,0,公寓住宅,民用,7.7,12,0.0,5636.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226151,紫云台(一期),广安,广安区,西溪新城,2018,小高层|高层,牌坊路9号,106.6174685,30.4765336,,35.0,,0,公寓住宅,民用,8.0,12,-1.43,5526.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226452,加德金融广场,广安,广安区,东南片区,2020,小高层|高层,凌云东路538号,106.6643692,30.44941898,,35.05,,0,公寓住宅,民用,7.3,12,-0.6,6406.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226471,中正天下豪庭,广安,广安区,东南片区,,高层,金安大道三段113号,106.6473062,30.45227772,,31.0,,0,公寓住宅,民用,7.5,12,0.23,6018.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226473,华冠德馨鸿儒,广安,广安区,东南片区,2018,高层,金安大道三段299号,106.657359,30.45029615,,30.0,,0,公寓住宅,民用,7.2,12,-0.26,5432.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226475,时代江语城,广安,广安区,东南片区,2018,小高层|高层,官盛大道,106.6719225,30.4518444,,30.0,,0,公寓住宅,民用,6.9,12,17.28,8008.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226501,紫金华府,广安,广安区,东南片区,,多层|小高层|高层,河堰路,106.6516797,30.45526426,,35.0,,0,公寓住宅,民用,7.4,12,0.0,6000.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226500,立新名城,广安,广安区,东南片区,,高层,河堰路171号,106.6504905,30.45475279,,30.5,,0,公寓住宅,民用,7.4,12,0.0,5232.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226495,融达城立方,广安,广安区,东南片区,2017,高层,官盛大道,106.6659295,30.44711707,,36.0,,0,公寓住宅,民用,7.2,12,0.0,5663.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226492,凌云城市阳光,广安,广安区,东南片区,,高层|超高层,凌云路,106.6529737,30.45973794,,30.7,,0,公寓住宅,民用,7.3,12,0.0,6303.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
226491,凌云华冠,广安,广安区,东南片区,,高层,304省道,106.6526793,30.45931925,,30.0,,0,公寓住宅,民用,7.5,12,-0.03,4738.0,Sichuan,Guangan,Guangan,Sichuan-Guangan
