id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
228872,东城丽景,广元,利州,利州广场,,多层,绵谷路241号,105.8511049,32.42782974,,,,0,公寓住宅,民用,7.7,12,0.0,7185.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228871,恒星城东区,广元,利州,利州广场,,多层,石器路197号,105.8561894,32.42837597,,,,0,公寓住宅,民用,7.2,12,0.0,9090.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228881,骏仕佳苑,广元,利州,利州广场,,多层,东安路13号,105.8633479,32.42884368,,,,0,公寓住宅,民用,7.5,12,0.0,8273.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228874,牡丹花园,广元,利州,利州广场,,小高层,莲花路108号,105.8519295,32.43348915,,,,0,公寓住宅,民用,7.4,12,0.0,6428.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228875,力源家园,广元,利州,利州广场,,多层,奔月路12号,105.8539813,32.44135323,,,,0,公寓住宅,民用,7.1,12,0.0,5274.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228876,绿茵新城,广元,利州,利州广场,,多层,苴国路713号,105.8610982,32.42885502,,,,0,公寓住宅,民用,7.1,12,0.0,7913.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228877,升泰苑,广元,利州,利州广场,,高层,"兴安路,近玉桂街",105.8614496,32.43613045,,,,0,公寓住宅,民用,7.3,12,0.0,8031.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228878,金柜世家,广元,利州,利州广场,,高层,兴安路551号,105.8619167,32.43986356,,,,0,公寓住宅,民用,6.9,12,0.0,5440.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228879,怡馨苑,广元,利州,利州广场,,多层,莲花路92号,105.8499702,32.42711425,,,,0,公寓住宅,民用,7.1,12,0.0,6983.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228880,太平洋大厦,广元,利州,利州广场,,高层,利州东路二段705号,105.8513418,32.43529807,,,,0,公寓住宅,民用,7.2,12,0.0,8840.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228873,双羽凤凰城,广元,利州,利州广场,,高层,元丰街42号,105.8540326,32.43421016,,,,0,公寓住宅,民用,7.4,12,0.0,9225.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228843,顺联居,广元,利州,利州城区,,小高层,丝绸路32号,105.8331072,32.43918408,,,,0,公寓住宅,民用,7.8,12,0.0,7179.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228883,景观公寓,广元,利州,利州广场,,小高层,丹桂巷21号,105.8519827,32.42985827,,,,0,公寓住宅,民用,7.2,12,0.0,6535.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228884,利源小区,广元,利州,利州广场,,多层,兴安路519号,105.8602427,32.43389662,,,,0,公寓住宅,民用,7.2,12,1.05,7257.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228885,兴和阳光,广元,利州,利州广场,,多层,"兴安路,近莲花路",105.8535206,32.43866944,,,,0,公寓住宅,民用,7.1,12,0.0,7857.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228886,尚景苑,广元,利州,利州广场,,多层,利州东路二段565号,105.8591484,32.43393593,,,,0,公寓住宅,民用,6.9,12,0.0,5121.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228887,宏福世家,广元,利州,利州广场,,多层,河阳路69号,105.853114,32.42663668,,,,0,公寓住宅,民用,7.1,12,0.0,10169.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228888,零八一电子集团广元建兴机电有限公司灾后重建安居房,广元,利州,利州广场,,多层,科技大道,105.8635522,32.44555671,,,,0,公寓住宅,民用,6.6,12,0.0,5263.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228889,兴和苑,广元,利州,利州广场,,多层,河阳路170号,105.8522971,32.42947067,,,,0,公寓住宅,民用,7.4,12,0.0,7586.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228890,金橄榄广场,广元,利州,利州广场,,高层,石器路229号,105.8564761,32.43020228,,,,0,公寓住宅,民用,7.6,12,0.0,10015.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228891,荷花园,广元,利州,利州广场,,多层,"育才路,近苴国路",105.8485295,32.43186026,,,,0,公寓住宅,民用,7.4,12,0.0,6250.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228870,水榭花都北区,广元,利州,利州广场,,多层,莲花路156号,105.8494086,32.42894604,,,,0,公寓住宅,民用,7.2,12,0.0,9375.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228892,鑫苑公寓,广元,利州,利州广场,,多层,苴国路291附4号,105.8485295,32.43111734,,,,0,公寓住宅,民用,7.4,12,0.0,4000.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228893,花园公寓,广元,利州,利州广场,,多层,金柜街63号,105.857454,32.43530562,,,,0,公寓住宅,民用,7.1,12,0.0,6000.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228882,铂悦府,广元,利州,利州广场,,小高层,科技大道,105.8640127,32.44417584,,,,0,公寓住宅,民用,6.7,12,0.0,7500.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228869,泰丰苑,广元,利州,利州广场,,多层,莲花路237号,105.8513847,32.43153496,,,,0,公寓住宅,民用,7.6,12,0.0,8367.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228855,宇华荣城,广元,利州,利州广场,,小高层,东安路,105.8646803,32.43280698,,,,0,公寓住宅,民用,7.0,12,0.0,5542.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228867,东晟华庭,广元,利州,利州广场,,多层,滨河北路113号,105.8503461,32.42566326,,,,0,公寓住宅,民用,7.5,12,0.0,7715.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228894,利嘉楼,广元,利州,利州广场,,多层,金柜街241号,105.8612999,32.43445193,,,,0,公寓住宅,民用,7.0,12,0.0,3500.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228844,零八一总厂宿舍,广元,利州,利州城区,,多层,奔月路153号,105.8480173,32.44023306,,,,0,公寓住宅,民用,7.0,12,0.0,5373.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228845,典居苑,广元,利州,利州城区,,多层,嘉陵路北段38号,105.8373753,32.43858673,,,,0,公寓住宅,民用,7.4,12,0.0,6875.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
228846,世纪景苑,广元,利州,利州城区,,多层,绵谷路98号,105.8464993,32.42812975,,,,0,公寓住宅,民用,7.2,12,0.0,6642.0,Sichuan,Guangyuan,Lizhou,Sichuan-Guangyuan
