id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
412662,滨河名城,乐山,峨眉山,峨眉山周边,2010,超高层,滨河路3号,103.4830746,29.6069379,,20.0,,0,公寓住宅,民用,8.2,12,-3.0,4706.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412663,峨眉印象,乐山,峨眉山,峨眉山周边,2010,高层,名山路东段179号,103.4972916,29.59873797,,25.0,,0,公寓住宅,民用,8.2,12,0.0,4080.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412668,阅彩彩世界,乐山,峨眉山,峨眉山周边,,多层|高层,龚海路176号,103.5157707,29.59803745,,45.0,,0,公寓住宅,民用,7.4,12,0.58,5861.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412655,浅水湾半岛,乐山,峨眉山,峨眉山周边,2015,高层,名山南路,103.4775117,29.59105045,,40.0,,0,公寓住宅,民用,7.6,12,-2.28,5608.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412671,御景湾(峨眉山),乐山,峨眉山,峨眉山周边,,高层,范河二街330号,103.5024852,29.59961134,,30.0,,0,公寓住宅,民用,7.8,12,3.09,6344.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412674,峨胜东城国际,乐山,峨眉山,峨眉山周边,2016,高层,光明大道,103.5132058,29.59102315,,30.1,,0,公寓住宅,民用,7.6,12,-3.92,6589.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412677,城市理想,乐山,峨眉山,峨眉山周边,,多层|高层,胜利大道南段86号,103.5115009,29.59270004,,20.0,,0,公寓住宅,民用,6.8,12,0.0,5200.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412666,万年华地财富广场,乐山,峨眉山,峨眉山周边,,高层,"佛光南路,近名山东路",103.4973827,29.59702546,,30.0,,0,公寓住宅,民用,8.1,12,0.0,6650.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412651,峨秀湖壹号,乐山,峨眉山,峨眉山周边,,多层,秀湖大道,103.4682164,29.57389047,,50.0,,0,公寓住宅,民用,7.2,12,-1.27,6803.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
412653,峨眉河畔,乐山,峨眉山,峨眉山周边,2014,高层,滨湖西路169号,103.5054163,29.60156091,,35.22,,0,公寓住宅,民用,8.1,12,-4.63,6742.0,Sichuan,Leshan,Emeishan,Sichuan-Leshan
