id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
397891,南阳花园,泸州,江阳,城西,2011,多层|高层,龙透关路29号,105.4166473,28.87409404,,23.0,,0,公寓住宅,民用,7.8,12,1.3,5298.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398161,西南医科大学附属医院家属楼,泸州,江阳,百子图,,多层,连江路一段84号,105.4378392,28.88916045,,,,0,公寓住宅,民用,7.0,12,0.0,5000.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398160,金银街小区,泸州,江阳,百子图,,多层,金银街24号,105.4281431,28.88072314,,,,0,公寓住宅,民用,7.6,12,0.0,4551.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398159,文明礼法家园,泸州,江阳,百子图,,多层,百子路11号,105.4358118,28.88869369,,,,0,公寓住宅,民用,7.9,12,0.0,6041.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398158,龙跃小区,泸州,江阳,百子图,,小高层,田园路68号,105.4284703,28.87918229,,,,0,公寓住宅,民用,7.7,12,0.0,3425.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398157,市公安局宿舍,泸州,江阳,百子图,,多层,康乐路213号,105.4308323,28.88358594,,,,0,公寓住宅,民用,7.7,12,0.0,3620.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398156,安居路22号院,泸州,江阳,百子图,,高层,安居路22号,105.4275493,28.88084085,,,,0,公寓住宅,民用,7.8,12,0.0,4200.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
397894,酒城花园,泸州,江阳,城西,2011,高层,"景观大道59号,酒城大道一段11号",105.4082846,28.87480592,,40.0,,0,公寓住宅,民用,8.1,12,-0.72,6777.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398155,佳裕苑,泸州,江阳,百子图,,多层,佳裕路40号,105.4350543,28.88537418,,,,0,公寓住宅,民用,7.9,12,0.0,4591.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
398154,康乐路13号小区,泸州,江阳,百子图,,多层,康乐路13号,105.435346,28.88347585,,,,0,公寓住宅,民用,8.0,12,0.0,3782.0,Sichuan,Luzhou,Jiangyang,Sichuan-Luzhou
