id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
890513,恒信花园,资阳,雁江,正兴街,,多层,仁德中路97号,104.6311812,30.12465104,,,,0,公寓住宅,民用,7.8,12,0.0,5504.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890514,朝阳花园,资阳,雁江,正兴街,,多层,资资路,104.6720827,30.08416775,,,,0,公寓住宅,民用,6.1,12,0.0,4042.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890515,吉好花苑,资阳,雁江,正兴街,,多层,车城大道388号,104.6304933,30.14785186,,,,0,公寓住宅,民用,7.0,12,0.0,5460.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890517,雁江财苑小区,资阳,雁江,正兴街,,多层,娇子大道138号,104.6298201,30.12960961,,,,0,公寓住宅,民用,8.0,12,0.0,3784.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890402,春天花园,资阳,雁江,正兴街,,高层,娇子大道北2巷4号,104.6238442,30.13365534,,,,0,公寓住宅,民用,7.8,12,0.0,4610.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890185,圣桦名城,资阳,雁江,正兴街,,高层,希望大道,104.6740651,30.10051054,,,,0,公寓住宅,民用,6.9,12,0.5,7383.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890512,亲和苑小区,资阳,雁江,正兴街,,多层,新城路272号,104.6264907,30.12550213,,,,0,公寓住宅,民用,7.4,12,0.0,4066.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890186,凯旋国际,资阳,雁江,正兴街,,高层,外环路158号,104.6006048,30.12361421,,,,0,公寓住宅,民用,6.6,12,0.78,7465.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890188,万达华府,资阳,雁江,正兴街,,高层,"幸福大道,近娇子大道",104.6170468,30.13199864,,,,0,公寓住宅,民用,7.5,12,-0.32,8298.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890189,江南半岛,资阳,雁江,正兴街,,高层,南骏大道,104.6419221,30.10878816,,,,0,公寓住宅,民用,7.6,12,-0.73,5996.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890190,四海国际社区,资阳,雁江,正兴街,,高层,凤园路166号,104.638979,30.14007061,,,,0,公寓住宅,民用,7.7,12,-1.4,6245.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890191,雁城大院,资阳,雁江,正兴街,,多层,"宝台大道,近支五路",104.6654766,30.11319061,,,,0,公寓住宅,民用,7.7,12,1.06,7955.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890192,万达御府,资阳,雁江,正兴街,,多层,"娇子大道,近槐树西路",104.6134696,30.12919936,,,,0,公寓住宅,民用,7.5,12,-0.73,7425.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
890193,东城1号,资阳,雁江,正兴街,,高层,"正兴街,近宝台大道",104.6661013,30.11018541,,,,0,公寓住宅,民用,7.5,12,-0.5,7344.0,Sichuan,Ziyang,Yanjiang,Sichuan-Ziyang
