id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
657285,卫国里,天津,津南,咸水沽,1991,多层,津沽大街,117.3752304,38.99317211,1.0,20.0,,90,公寓住宅,民用,7.4,12,0.0,12592.0,Tianjin,,Jinnan,Tianjin-Jinnan
657281,鑫苑里,天津,津南,咸水沽,1999,多层,南环路,117.3863599,38.97826435,,20.0,,338,公寓住宅,民用,7.4,12,0.0,9976.0,Tianjin,,Jinnan,Tianjin-Jinnan
657282,新兴西里(津南),天津,津南,咸水沽,1994,多层,津沽大街,117.3755738,38.99335147,1.0,20.0,,83,公寓住宅,民用,7.2,12,0.0,4544.0,Tianjin,,Jinnan,Tianjin-Jinnan
657283,新建里(津南),天津,津南,咸水沽,1995,多层,津沽路,117.3907539,38.98636389,,32.0,,402,公寓住宅,民用,7.7,12,0.0,10500.0,Tianjin,,Jinnan,Tianjin-Jinnan
657280,耀华名邸,天津,津南,咸水沽,2012,高层,津沽公路,117.3785479,38.98397062,1.0,30.0,,199,公寓住宅,民用,7.8,12,0.0,10053.0,Tianjin,,Jinnan,Tianjin-Jinnan
657286,同安里(津南),天津,津南,咸水沽,1995,多层,建国大街,117.3779733,38.99488395,1.0,10.0,,294,公寓住宅,民用,7.5,12,0.0,15716.0,Tianjin,,Jinnan,Tianjin-Jinnan
657287,泰康里,天津,津南,咸水沽,1996,多层,剧场西路,117.3797427,38.98612438,1.0,20.0,,138,公寓住宅,民用,7.5,12,0.0,9769.0,Tianjin,,Jinnan,Tianjin-Jinnan
657284,校园里,天津,津南,咸水沽,1995,多层,津沽大街,117.3968322,38.98821078,,20.0,,208,公寓住宅,民用,7.4,12,0.0,10133.0,Tianjin,,Jinnan,Tianjin-Jinnan
657279,照明北里,天津,津南,咸水沽,1998,多层,体育场路5号,117.371398,38.9888964,1.0,20.0,,497,公寓住宅,民用,7.7,12,0.0,10322.0,Tianjin,,Jinnan,Tianjin-Jinnan
657308,御和新苑,天津,津南,北闸口,2008,多层,政和路,117.4016958,38.95074365,1.0,30.0,,684,公寓住宅,民用,7.2,12,0.0,8273.0,Tianjin,,Jinnan,Tianjin-Jinnan
657277,光华东里,天津,津南,咸水沽,1996,多层,体育场路46号,117.3711128,38.98423483,1.0,20.0,,54,公寓住宅,民用,7.7,12,0.0,8490.0,Tianjin,,Jinnan,Tianjin-Jinnan
657276,红磡同堂,天津,津南,咸水沽,2017,多层|小高层,建国大街,117.3836155,38.99479823,1.0,30.0,,116,公寓住宅,民用,7.8,12,0.0,17937.0,Tianjin,,Jinnan,Tianjin-Jinnan
