id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
655285,河畔人家,天津,西青,辛口,2005,低层,112国道,117.0072341,39.15371858,,28.0,,0,别墅,民用,6.6,12,0.0,6500.0,Tianjin,,Beichen,Tianjin-Tianjin
660507,聚贤道1号楼,天津,河北,铁东路街,,小高层,聚贤道1号,117.2113262,39.1869452,,,,0,办公,商用,,12,,,Tianjin,,Beichen,Tianjin-Tianjin
660977,天籁湾,天津,北辰,青光,2012,低层,京福公路,117.0285823,39.16527739,,30.0,,22,别墅,民用,7.3,12,0.0,14346.0,Tianjin,,Beichen,Tianjin-Tianjin
661006,星安庭苑,天津,北辰,北辰周边,2018,高层,张湾路,117.0876709,39.27588298,1.0,30.0,,1472,公寓住宅,民用,7.6,12,0.0,8333.0,Tianjin,,Beichen,Tianjin-Tianjin
661005,沁芳里,天津,北辰,佳荣里街,1998,多层,荣国路109号,117.1147325,39.18824001,1.0,20.0,,431,公寓住宅,民用,7.6,12,0.0,13483.0,Tianjin,,Beichen,Tianjin-Tianjin
661004,学苑南里,天津,北辰,佳荣里街,2011,低层,辰盛路,117.1143438,39.17526408,,50.0,,0,别墅,民用,7.0,12,0.0,5800.0,Tianjin,,Beichen,Tianjin-Tianjin
661003,瑞桐家园,天津,北辰,佳荣里街,2006,高层,光荣道,117.1025525,39.18537609,,30.0,,844,公寓住宅,民用,7.1,12,0.0,9000.0,Tianjin,,Beichen,Tianjin-Tianjin
661002,瑞佳家园,天津,北辰,佳荣里街,2004,高层,光荣道,117.104745,39.18487317,,30.0,,935,公寓住宅,民用,7.2,12,0.0,15100.0,Tianjin,,Beichen,Tianjin-Tianjin
661001,瑞鹏家园,天津,北辰,佳荣里街,2013,高层,光荣道,117.104941,39.18422784,,30.0,,1300,公寓住宅,民用,7.2,12,0.0,13333.0,Tianjin,,Beichen,Tianjin-Tianjin
661000,百通食品开发中心,天津,北辰,佳荣里街,,低层,光荣道,117.1220898,39.18475087,,,,0,办公,商用,,12,,,Tianjin,,Beichen,Tianjin-Tianjin
660790,天阳公寓,天津,北辰,北仓,2006,小高层,京津公路,117.1159758,39.2333651,1.0,30.0,,272,公寓住宅,民用,7.9,12,0.0,13898.0,Tianjin,,Beichen,Tianjin-Tianjin
