id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
54501,锦灏佳园,巴音郭楞,库尔勒,老城区,,高层,建国北路,86.13846957,41.77538343,,,,0,公寓住宅,民用,7.3,12,-0.42,4807.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54570,鸿福家园,巴音郭楞,库尔勒,库尔勒周边,,高层,铁克其路,86.15621906,41.72909544,,,,0,公寓住宅,民用,7.1,12,0.0,4756.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54571,其兰巴格家园,巴音郭楞,库尔勒,库尔勒周边,,高层,英下路,86.11796408,41.74059307,,,,0,公寓住宅,民用,6.7,12,0.0,3937.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54572,中嘉花园罗马假日,巴音郭楞,库尔勒,库尔勒周边,,高层,323省道,86.12990753,41.78003702,,,,0,公寓住宅,民用,7.4,12,0.0,3224.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54573,车城现代美居,巴音郭楞,库尔勒,东站,,高层,发达路,86.20582379,41.72117182,,,,0,公寓住宅,民用,7.0,12,0.74,3975.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54574,保利石油花园,巴音郭楞,库尔勒,东站,,小高层,索克巴格路,86.17104698,41.75861793,,,,0,公寓住宅,民用,7.0,12,0.0,4000.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54575,天合花园,巴音郭楞,库尔勒,东站,,高层,圣果路,86.17845631,41.74327298,,,,0,公寓住宅,民用,7.6,12,-0.4,4905.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54581,星光名居,巴音郭楞,库尔勒,东站,,高层,库尉北路,86.18413276,41.74285123,,,,0,公寓住宅,民用,7.2,12,0.7,4968.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54577,新城花园,巴音郭楞,库尔勒,东站,,高层,新华路,86.18146896,41.73690618,,,,0,公寓住宅,民用,7.5,12,-0.41,4230.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54578,铁路33区,巴音郭楞,库尔勒,东站,,多层,新城南路,86.18467314,41.74748963,,,,0,公寓住宅,民用,7.0,12,-0.97,3278.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54579,铁路42区,巴音郭楞,库尔勒,东站,,多层,生活路,86.20704207,41.72906256,,,,0,公寓住宅,民用,7.1,12,3.86,3960.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54580,佳美小区,巴音郭楞,库尔勒,东站,1998,多层,新城北路,86.18673387,41.74396455,,20.0,,0,公寓住宅,民用,7.6,12,1.63,3322.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54569,红旗花园,巴音郭楞,库尔勒,库尔勒周边,,多层,康胜路,86.20328213,41.62986808,,,,0,公寓住宅,民用,6.1,12,0.0,1636.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54582,建宇阳光花园,巴音郭楞,库尔勒,东站,,高层,香梨大道63号,86.17909853,41.74141163,,,,0,公寓住宅,民用,7.6,12,-3.1,4424.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54583,南廷北院,巴音郭楞,库尔勒,东站,,高层,建国南路,86.15979072,41.71045312,,,,0,公寓住宅,民用,7.1,12,0.0,5492.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54576,建宇盛府丽苑,巴音郭楞,库尔勒,东站,,高层,香梨大道33号,86.17196708,41.74733327,,,,0,公寓住宅,民用,7.4,12,1.17,5314.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54568,新疆四运六队小区,巴音郭楞,库尔勒,库尔勒周边,,高层,323省道,86.13162038,41.78168732,,,,0,公寓住宅,民用,7.5,12,0.0,2772.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54561,伟达学府,巴音郭楞,库尔勒,库尔勒周边,,高层,文化路27号,86.13685767,41.76331461,,,,0,公寓住宅,民用,8.1,12,-0.28,6571.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54566,警祥园,巴音郭楞,库尔勒,库尔勒周边,,高层,团结南路,86.17653049,41.71259069,,,,0,公寓住宅,民用,7.3,12,0.56,4579.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54550,若荷澜大厦,巴音郭楞,库尔勒,老城区,,高层,团结北路,86.14181716,41.74091361,,,,0,商住楼,商用,7.3,12,0.0,3215.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54551,青年北路一巷2号小区,巴音郭楞,库尔勒,老城区,,高层,青年北路一巷2号,86.14365258,41.76735514,,,,0,公寓住宅,民用,7.8,12,0.0,3446.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54552,京昱大厦,巴音郭楞,库尔勒,老城区,,高层,北山路22号,86.1457974,41.77254272,,,,0,商住楼,商用,7.8,12,0.0,4400.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
54553,左岸城邦,巴音郭楞,库尔勒,老城区,,小高层,团结北路15号,86.14291821,41.75509661,,,,0,公寓住宅,民用,8.2,12,0.0,4380.0,Xinjiang,Bayinguolengmenggu,Kuerle,Xinjiang-Bayinguolengmenggu
