id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
730661,有机化小区,乌鲁木齐,米东,天化,2004,多层,乌奇公路38号,87.63387867,43.9261629,1.0,30.0,,228,公寓住宅,民用,7.2,12,0.0,5714.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730662,米兰小镇,乌鲁木齐,米东,天化,2013,多层|小高层,米东南路东5巷100号,87.64017154,43.93601926,1.0,30.0,,408,公寓住宅,民用,7.3,12,0.0,5375.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730516,水景坊,乌鲁木齐,米东,米东区周边,2011,多层,广兴西街485号,87.63719896,43.95248583,1.0,30.0,,817,公寓住宅,民用,7.4,12,-0.65,6224.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730663,幸福小镇,乌鲁木齐,米东,天化,2013,多层|小高层,普乐北巷,87.64811258,43.94296282,1.0,30.0,,2586,公寓住宅,民用,7.3,12,0.0,5294.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730664,天化小区,乌鲁木齐,米东,天化,2006,多层,"米东南路东五巷,近顺意巷",87.64188443,43.93708849,1.0,30.0,,1105,公寓住宅,民用,7.5,12,0.0,5353.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730665,飞晟凯旋名苑,乌鲁木齐,米东,天化,2016,高层,广兴西街986号,87.63225289,43.94931793,1.0,20.0,,232,公寓住宅,民用,7.9,12,0.0,6000.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730365,云鼎大观锦城,乌鲁木齐,米东,卡子湾,2016,小高层,米东南路950号,87.6046305,43.89560057,,30.0,,1026,公寓住宅,民用,7.4,12,-3.7,8919.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730501,香缇苑,乌鲁木齐,米东,米东区周边,2012,多层|小高层,碱沟西路,87.61730164,43.95711967,1.0,30.0,,4057,公寓住宅,民用,7.4,12,-0.3,6031.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730502,朝阳雅居,乌鲁木齐,米东,米东区周边,2016,多层|高层,古牧地西路1860号,87.62254432,43.96042752,1.0,30.0,,3906,公寓住宅,民用,7.5,12,0.0,5066.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730366,双宇威尼斯小镇,乌鲁木齐,米东,卡子湾,2016,多层,古牧地西路1046号,87.6318774,43.96183933,1.0,45.0,,2564,公寓住宅,民用,7.7,12,1.88,6235.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730410,华凌古树小镇,乌鲁木齐,米东,卡子湾,2021,高层,河滩北路1388号,87.60071932,43.88157638,,35.31,,3960,公寓住宅,民用,7.6,12,0.0,10619.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730409,红光山苑,乌鲁木齐,米东,卡子湾,2008,多层,米东南路,87.62904667,43.90758186,1.0,30.0,,1204,公寓住宅,民用,7.5,12,0.0,7321.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730367,弘域欣源,乌鲁木齐,米东,卡子湾,2013,小高层,米东南路东一巷,87.63878864,43.92129268,1.0,30.0,,780,公寓住宅,民用,7.5,12,0.0,5849.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
730408,红光雅居D区,乌鲁木齐,米东,卡子湾,2017,多层,米东南路2188号,87.6170256,43.90178944,,30.0,,1296,公寓住宅,民用,6.6,12,0.0,6018.0,Xinjiang,Wulumuqi,Midong,Xinjiang-Wulumuqi
