id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
153451,宾川路130号院,大理,大理市,明珠广场,,多层,宾川路130号,100.2411369,25.60015621,,,,0,公寓住宅,民用,7.6,12,0.0,12026.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153323,双鸳路8号院,大理,大理市,昆百大泰业城,,多层,双鸳路8号,100.2321424,25.59941353,,,,0,公寓住宅,民用,8.3,12,0.0,10565.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153322,星河花园,大理,大理市,昆百大泰业城,2000,多层,文化路6号,100.2205836,25.58723963,,30.0,,0,公寓住宅,民用,7.9,12,0.0,11500.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153321,大理水泥集团生活区,大理,大理市,昆百大泰业城,,多层,"巍山路,文献中路",100.2406408,25.5892098,,,,0,公寓住宅,民用,7.5,12,0.0,8534.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153320,统计局宿舍,大理,大理市,昆百大泰业城,,多层,龙溪路105号,100.2240715,25.58601229,,,,0,公寓住宅,民用,7.3,12,0.0,13220.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153319,幸福馨居,大理,大理市,昆百大泰业城,,多层,幸福路21号,100.2155883,25.58511919,,,,0,公寓住宅,民用,7.1,12,0.0,7552.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153318,大理国际城,大理,大理市,昆百大泰业城,,高层,"东风东路,近南涧路",100.2252689,25.57625708,,,,0,公寓住宅,民用,7.3,12,0.0,12883.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153317,经济局宿舍,大理,大理市,昆百大泰业城,,多层,龙溪路80号,100.2278668,25.58620565,,,,0,公寓住宅,民用,7.3,12,0.0,12452.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153570,洱海传奇别墅,大理,大理市,洱海国际生态城,,,满江片区机场路（石房子山）,100.2852427,25.64262693,,,,0,别墅,民用,,12,,,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153569,洱海国际生态城(新房),大理,大理市,洱海国际生态城,,多层|高层,大理州行政中心旁滨海大道以西,100.2681915,25.62051711,,,,0,商住楼,商用,,12,0.0,50000.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153316,气象局宿舍,大理,大理市,昆百大泰业城,,多层,福文路14号,100.2204559,25.57949833,,,,0,公寓住宅,民用,7.4,12,0.0,12794.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153315,地税局职工宿舍(龙溪路),大理,大理市,昆百大泰业城,,多层,龙溪路75号,100.2257348,25.58542022,,,,0,公寓住宅,民用,7.6,12,0.0,13220.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153314,泰丰苑,大理,大理市,昆百大泰业城,,多层,"泰安南路,近泰安路",100.2276055,25.58222809,,,,0,公寓住宅,民用,7.3,12,0.0,9562.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153313,康居园,大理,大理市,昆百大泰业城,,多层,建设东路143号,100.2347831,25.58970614,,,,0,公寓住宅,民用,7.9,12,0.0,10024.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153312,塑料厂宿舍,大理,大理市,昆百大泰业城,,多层,洱河北路2号,100.2107257,25.58563252,,,,0,公寓住宅,民用,7.0,12,0.0,11764.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153311,农行宿舍(鸳浦街),大理,大理市,昆百大泰业城,,多层,"鸳浦街,近人民街",100.2189169,25.59061584,,,,0,公寓住宅,民用,7.6,12,0.0,9156.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
153310,嘉逸岭湾畔岛2期,大理,大理市,昆百大泰业城,,多层|小高层,"009公路,近文献隧道",100.2355436,25.58419198,,,,0,公寓住宅,民用,7.2,12,0.0,12794.0,Yunnan,Dalibaizu,Dali,Yunnan-Dalibaizu
