id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
513139,剑桥中心,曲靖,麒麟,万达广场,2015,小高层,中和街,103.7463991,25.53634621,2.0,25.0,,614,公寓住宅,民用,7.2,12,2.44,4681.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513140,中天水云间,曲靖,麒麟,万达广场,2014,多层,胜峰路,103.7569543,25.50344481,2.0,36.0,,112,公寓住宅,民用,7.6,12,0.0,7784.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513141,江悦逸景苑,曲靖,麒麟,万达广场,1995,高层,三江大道,103.762098,25.52126855,2.0,20.0,,715,公寓住宅,民用,7.2,12,-4.08,8895.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513142,融阁御府,曲靖,麒麟,万达广场,2015,高层,三江大道,103.7680257,25.51882134,2.0,35.0,,0,公寓住宅,民用,8.0,12,-0.2,5971.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513143,吉控嘉园,曲靖,麒麟,万达广场,2014,高层,三江大道,103.7521939,25.52075133,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.87,5715.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513144,怡景园,曲靖,麒麟,万达广场,2013,小高层,翠峰西路,103.7671206,25.51235987,2.0,30.0,,358,公寓住宅,民用,7.9,12,-0.44,6251.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513145,盛世锦华山水缘一期,曲靖,麒麟,万达广场,2012,多层|小高层,翠峰西路18号,103.7611244,25.51338484,2.0,30.0,,392,公寓住宅,民用,8.0,12,0.96,5733.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513146,家园小区,曲靖,麒麟,万达广场,2001,多层,迎霞路5号,103.7681406,25.50714508,2.0,30.0,,420,公寓住宅,民用,7.6,12,-0.75,5974.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513138,西苑小区(麒麟区),曲靖,麒麟,万达广场,1999,多层,翠峰西路6号,103.7724218,25.51071681,2.0,48.0,,1042,公寓住宅,民用,7.7,12,-0.76,5465.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513137,工商小区,曲靖,麒麟,万达广场,1995,多层,学府路,103.7559551,25.52039031,2.0,20.0,,285,公寓住宅,民用,7.4,12,-3.9,6613.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513128,颐康花园,曲靖,麒麟,万达广场,2002,小高层,翠峰西路,103.7700807,25.51276939,2.0,30.0,,987,公寓住宅,民用,7.8,12,1.83,5921.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513135,凤栖雅苑,曲靖,麒麟,万达广场,2018,多层,胜峰西路,103.7651458,25.50382451,2.0,35.0,,628,公寓住宅,民用,7.9,12,-0.38,7221.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
513134,金色尚居,曲靖,麒麟,万达广场,2017,小高层|高层,学府路,103.7567765,25.51809341,2.0,45.0,,861,公寓住宅,民用,7.9,12,-0.14,6840.0,Yunnan,Qujing,Qilin,Yunnan-Qujing
