id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
245646,梅园三里(南区),杭州,杭州周边,嘉兴,1999,多层,联合路,120.6723064,30.52244798,2.0,20.0,,552,公寓住宅,民用,7.4,12,0.0,7853.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243541,长田商厦,杭州,杭州周边,嘉兴,2001,小高层,康乐路215号,120.7050044,30.50437157,2.0,30.0,,0,商住楼,商用,7.3,12,0.0,8000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245605,东方都市,杭州,杭州周边,嘉兴,2016,高层,碧云南路,120.7145223,30.51106459,,35.0,,2589,公寓住宅,民用,7.7,12,0.0,14831.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244803,冯高墩,杭州,杭州周边,嘉兴,2002,多层,西亭水路,120.6801604,30.52661582,2.0,30.0,,228,公寓住宅,民用,8.2,12,0.0,12400.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244804,东湾花苑,杭州,杭州周边,嘉兴,2015,多层,水月亭东路,120.7060865,30.52823234,2.0,30.0,,424,公寓住宅,民用,7.6,12,0.0,20200.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244805,水月亭(南区),杭州,杭州周边,嘉兴,2003,多层,水月亭东路41号,120.6929778,30.52642253,2.0,30.0,,194,公寓住宅,民用,8.0,12,0.0,10361.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245606,绿多花苑,杭州,杭州周边,嘉兴,2003,多层,塘南西路110号,120.6819429,30.51934516,2.0,30.0,,70,公寓住宅,民用,7.9,12,0.0,12000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245623,长水里小区,杭州,杭州周边,嘉兴,1988,多层,长埭路,120.6841232,30.52831986,2.0,20.0,,414,公寓住宅,民用,7.8,12,0.0,10449.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245614,海宁月亮湾,杭州,杭州周边,嘉兴,2017,小高层|高层,"碧云南路,近水月亭东路",120.7087791,30.52501259,2.0,30.0,,1190,公寓住宅,民用,7.8,12,0.0,12000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245620,梅里达花园,杭州,杭州周边,嘉兴,2015,低层,花园路333号,120.6515564,30.54170334,,30.0,,975,公寓住宅,民用,7.6,12,0.0,9489.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243556,长埭路222号小区,杭州,杭州周边,嘉兴,2002,多层,长埭路222号,120.6764993,30.5278055,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,12500.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245631,梅园二里,杭州,杭州周边,嘉兴,1995,多层,联合路,120.6767713,30.52303016,2.0,20.0,,467,公寓住宅,民用,7.6,12,0.0,10022.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245635,东海花港,杭州,杭州周边,嘉兴,2000,多层,之江路11号,120.4150756,30.38548571,2.0,30.0,,172,公寓住宅,民用,7.2,12,0.0,11282.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245639,中朝悦榕庄(别墅),杭州,杭州周边,嘉兴,2016,低层,钱江东路368号,120.7051403,30.50735844,,50.0,,0,别墅,民用,7.9,12,0.0,15059.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243562,名力都会尚东,杭州,杭州周边,嘉兴,2018,高层,文礼路23号,120.6795292,30.50700345,2.0,30.0,,2480,商住楼,商用,7.8,12,0.0,11000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245647,东方艺墅,杭州,杭州周边,嘉兴,2010,多层|小高层,海洲东路596号,120.7090304,30.51794798,2.0,30.0,,348,公寓住宅,民用,7.7,12,0.0,15500.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243555,南湾公寓,杭州,杭州周边,嘉兴,2006,多层,农丰路,120.6949355,30.51901698,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,16000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245610,梅林家园,杭州,杭州周边,嘉兴,2008,多层,梅园路137号,120.6745246,30.52312009,2.0,30.0,,144,公寓住宅,民用,8.1,12,0.0,11557.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243553,梅园路378弄小区,杭州,杭州周边,嘉兴,2002,多层,梅园路378弄,120.6740622,30.52413902,,30.0,,0,公寓住宅,民用,7.9,12,0.0,6000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
243515,祥生钱塘新语(商住楼),杭州,杭州周边,嘉兴,2018,小高层,启潮路72号,120.3778844,30.34795406,,30.0,,392,商住楼,商用,7.3,12,0.0,23170.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245630,赞山景苑四区,杭州,杭州周边,嘉兴,2011,多层,钱江东路,120.7070174,30.50388932,2.0,30.0,,856,公寓住宅,民用,7.6,12,0.0,11521.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244827,树人小区,杭州,杭州周边,嘉兴,2012,多层,西山路,120.6718711,30.52858207,2.0,30.0,,233,公寓住宅,民用,7.9,12,0.0,14200.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244923,华景川万科潮起东方(别墅),杭州,杭州周边,嘉兴,2020,低层,启潮路40号,120.3786829,30.3498599,,30.0,,70,别墅,民用,7.4,12,0.0,27016.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244918,金泰时尚花苑,杭州,杭州周边,嘉兴,2000,高层,"海宁大道,近隆兴路",120.6631259,30.54057061,,30.0,,258,公寓住宅,民用,7.5,12,0.0,10180.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244917,鸿翔红枫里,杭州,杭州周边,嘉兴,2021,小高层,硖川路56号,120.7055691,30.54023781,,30.0,,308,公寓住宅,民用,8.3,12,0.0,11666.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245535,奥升家园,杭州,杭州周边,嘉兴,2011,多层,碧云北路,120.7072173,30.54551539,2.0,30.0,,162,公寓住宅,民用,7.3,12,0.0,8876.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245536,隆兴嘉苑,杭州,杭州周边,嘉兴,2003,多层,由拳路,120.6910717,30.54129849,2.0,30.0,,594,公寓住宅,民用,7.7,12,0.0,10082.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245541,北岸聆涛苑,杭州,杭州周边,嘉兴,2005,多层,春澜路,120.4152567,30.38857607,2.0,30.0,,110,公寓住宅,民用,7.3,12,0.0,12452.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245553,碧云轩,杭州,杭州周边,嘉兴,2009,多层,碧云北路55号,120.7098328,30.53636827,2.0,30.0,,313,公寓住宅,民用,7.4,12,0.0,11428.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245556,碧云南里,杭州,杭州周边,嘉兴,1997,多层,硖川路109号,120.7067558,30.53989434,2.0,20.0,,574,公寓住宅,民用,7.0,12,0.0,9947.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
563348,万城紫园,上海,上海周边,嘉兴,,高层,碧云南路,120.7132465,30.50397908,,35.0,,0,公寓住宅,民用,6.9,12,,22000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245521,隆溪玫瑰园,杭州,杭州周边,嘉兴,2009,多层|高层,洛隆路252号,120.670476,30.53728097,2.0,30.0,,294,公寓住宅,民用,7.6,12,0.0,11428.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245524,吉翔澜山,杭州,杭州周边,嘉兴,2019,小高层,碧海路,120.7028826,30.54318038,2.0,31.0,1.0,1,公寓住宅,民用,7.6,12,0.0,11123.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245526,流星花园,杭州,杭州周边,嘉兴,2005,多层,文宗路251号,120.6702717,30.52828596,2.0,30.0,,216,公寓住宅,民用,7.8,12,0.0,9090.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245530,白漾花园,杭州,杭州周边,嘉兴,1999,多层,海马路,120.6799768,30.52650649,2.0,20.0,,1120,公寓住宅,民用,7.7,12,0.0,10571.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245561,阳光新城(公寓住宅),杭州,杭州周边,嘉兴,2007,多层|高层,"九虎路,近育才路",120.694312,30.51236923,2.0,30.0,,634,公寓住宅,民用,7.7,12,0.0,8514.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245568,城东花园,杭州,杭州周边,嘉兴,2000,多层,由拳路,120.7021751,30.53946926,2.0,30.0,,278,公寓住宅,民用,7.3,12,0.0,7651.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
245572,阳光新城(别墅),杭州,杭州周边,嘉兴,2007,低层,福州路59-10号,120.694355,30.51170334,,30.0,,0,别墅,民用,7.8,12,0.0,9600.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244891,金晟家园,杭州,杭州周边,嘉兴,2015,多层,双利路,120.651656,30.528226,2.0,35.0,,474,公寓住宅,民用,7.7,12,0.0,11428.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244876,海昌公寓,杭州,杭州周边,嘉兴,2000,多层,海昌路116号,120.6825279,30.52850265,2.0,30.0,,600,公寓住宅,民用,8.1,12,0.0,13300.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244875,凤鸣小区(海宁),杭州,杭州周边,嘉兴,1996,多层,广顺路605号,120.6631647,30.49825072,,38.0,,0,别墅,民用,7.7,12,0.0,8591.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244873,万城印象公馆,杭州,杭州周边,嘉兴,2018,高层,"海昌路,近钱江路",120.687201,30.50293618,2.0,30.0,,456,公寓住宅,民用,8.3,12,0.0,20049.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244857,云和景苑二区,杭州,杭州周边,嘉兴,2016,多层|高层,"管泾港路,近联合路",120.6491438,30.51835827,2.0,30.0,,2146,公寓住宅,民用,7.3,12,0.0,10000.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244850,云和景苑一区,杭州,杭州周边,嘉兴,2016,多层|高层,"管泾港路,近联合路",120.6514352,30.51767456,2.0,30.0,,1001,公寓住宅,民用,7.4,12,0.0,11011.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244849,紫薇里,杭州,杭州周边,嘉兴,2002,多层,硖山路,120.6838913,30.53576592,2.0,30.0,,286,公寓住宅,民用,8.1,12,0.0,12300.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244846,新雅花园(东区),杭州,杭州周边,嘉兴,1999,多层,硖川路,120.7067979,30.54211076,2.0,20.0,,105,公寓住宅,民用,7.1,12,0.0,9178.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244844,洛河小区西区,杭州,杭州周边,嘉兴,2005,多层,塘南东路96号,120.6893355,30.52176055,2.0,30.0,,300,公寓住宅,民用,8.6,12,0.0,15600.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244840,洛河小区东区,杭州,杭州周边,嘉兴,2014,多层,塘南东路186号,120.6912358,30.52186535,2.0,30.0,,452,公寓住宅,民用,8.2,12,0.0,14800.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244837,绿荫里,杭州,杭州周边,嘉兴,2002,多层,"文苑路,近西山路",120.6770994,30.53172678,2.0,30.0,,283,公寓住宅,民用,8.0,12,0.0,11200.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
244892,鸿翔银杏里,杭州,杭州周边,嘉兴,2016,多层,迎金路,120.6523711,30.52696752,,30.0,,338,公寓住宅,民用,7.6,12,0.0,13865.0,Zhejiang,Jiaxing,Haining,Zhejiang-Jiaxing
