id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
165591,中江花园,东阳,城东,八一路商业街,2019,高层,江滨南街255号,120.2295148,29.28739782,2.0,30.0,,84,公寓住宅,民用,8.3,12,0.0,18309.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165592,西溪路88号小区,东阳,城东,八一路商业街,2000,低层,西溪路88号,120.2218188,29.27054094,,50.0,,0,别墅,民用,7.8,12,0.0,18965.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165590,西庄村,东阳,城东,八一路商业街,2003,低层,西庄路,120.2247089,29.28555686,,50.0,,0,别墅,民用,7.8,12,0.0,19140.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165593,兴平西路135巷小区,东阳,城东,八一路商业街,2000,低层,兴平西路135巷,120.2258685,29.28011909,,50.0,,0,别墅,民用,7.9,12,0.0,19346.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165589,汉宁西路158号小区,东阳,城东,八一路商业街,2000,多层,汉宁西路158号,120.2227099,29.27762729,2.0,30.0,,228,公寓住宅,民用,7.9,12,0.0,18560.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165581,东岘路302-320号小区,东阳,城东,八一路商业街,2014,多层,东岘路302-320号,120.2295829,29.2548093,2.0,30.0,,280,公寓住宅,民用,7.6,12,0.0,20940.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165587,朝阳路301-319号小区,东阳,城东,八一路商业街,2000,多层,朝阳路301-319号,120.2291044,29.25500081,2.0,30.0,,320,公寓住宅,民用,7.5,12,0.0,18307.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165585,人民路77号楼,东阳,城东,八一路商业街,2000,多层,人民路77号,120.2365314,29.26171408,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,14608.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165584,南市路103号楼,东阳,城东,八一路商业街,2010,多层,南市路103号,120.22559,29.25601665,2.0,30.0,,0,公寓住宅,民用,7.8,12,0.0,17789.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165583,爱国路11号楼,东阳,城东,八一路商业街,2000,多层,爱国路11号,120.2346093,29.26134694,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,14500.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165582,望江小区,东阳,城东,八一路商业街,1991,低层,望江北路,120.2214237,29.28604999,,50.0,,0,别墅,民用,7.6,12,0.0,19285.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165580,中山壹品,东阳,城东,八一路商业街,1998,多层|高层,富民路67号,120.2271738,29.28238553,2.0,20.0,,264,公寓住宅,民用,8.1,12,0.0,23265.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165579,东艺名园,东阳,城东,八一路商业街,2017,小高层,吴宁东路95号,120.2392915,29.26248821,2.0,30.0,,258,公寓住宅,民用,8.3,12,0.0,19615.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
165588,建设路178号小区,东阳,城东,八一路商业街,2000,多层,建设路178号,120.2254507,29.25836006,2.0,30.0,,40,公寓住宅,民用,7.7,12,0.0,20535.0,Zhejiang,Jinhua,Dongyang,Zhejiang-Jinhua
