id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
134966,和田雅园,慈溪,慈溪市区,吾悦广场,2004,多层,孙塘南路58号,121.2532062,30.16463391,2.0,30.0,,56,公寓住宅,民用,7.6,12,0.0,10700.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134967,金鹰大厦,慈溪,慈溪市区,吾悦广场,2006,小高层,慈甬路418号,121.25532,30.17034172,2.0,30.0,,0,公寓住宅,民用,7.7,12,0.0,7882.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134968,慈溪文景苑,慈溪,慈溪市区,吾悦广场,2009,多层,兴和路236号,121.2520914,30.15940266,2.0,30.0,,68,公寓住宅,民用,7.8,12,0.0,8424.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134970,孙塘南路综合楼,慈溪,慈溪市区,吾悦广场,1997,多层,孙塘南路,121.2526526,30.16434059,2.0,20.0,,40,公寓住宅,民用,7.4,12,0.0,8825.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134971,鑫鑫公寓,慈溪,慈溪市区,吾悦广场,2008,多层,南二环东路,121.2505639,30.1631858,2.0,30.0,,84,公寓住宅,民用,7.6,12,0.0,13500.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134972,郡望府,慈溪,慈溪市区,吾悦广场,2000,低层,剑山路,121.2372964,30.1585346,1.0,50.0,,0,别墅,民用,7.6,12,0.0,17073.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134973,上叶家村,慈溪,慈溪市区,吾悦广场,2018,低层,上叶家路北77号,121.2464614,30.16920884,,30.0,,0,公寓住宅,民用,7.8,12,0.0,11100.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134974,祥和公寓,慈溪,慈溪市区,吾悦广场,2000,多层,慈甬路496号,121.2566033,30.17018466,2.0,30.0,,105,商住楼,商用,7.6,12,0.0,7600.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134975,东相苑,慈溪,慈溪市区,吾悦广场,1997,低层,南三环路,121.238794,30.14473031,,50.0,,0,别墅,民用,7.4,12,0.0,10200.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
134976,开元街小区,慈溪,慈溪市区,吾悦广场,1999,多层,开元街25号,121.2540118,30.17153222,2.0,20.0,,260,公寓住宅,民用,7.5,12,0.0,11056.0,Zhejiang,Ningbo,Cixi,Zhejiang-Ningbo
