id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
689710,月亮湾别墅,台州,黄岩,嘉丽广场,2006,低层,上椒线,121.3498484,28.66649653,,50.0,,0,别墅,民用,7.2,12,2.71,31552.0,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689496,山下郎村自建房,台州,黄岩,东城,,低层,内环北路,121.3027435,28.6635181,,,,0,,暂无,,12,,,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689494,埭头新区,台州,黄岩,东城,,多层,内环北路,121.3464787,28.67059617,,,,0,,暂无,,12,,,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689493,进港村芦村一区,台州,黄岩,东城,,多层,进港路,121.3447613,28.69009952,,,,0,,暂无,,12,,,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689492,东昇村自建房,台州,黄岩,东城,,多层,内环北路,121.351798,28.66817113,,,,0,,暂无,,12,,,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689484,三江悦府,台州,黄岩,东城,2014,高层,进港路,121.348173,28.67240328,,30.0,,0,公寓住宅,民用,7.5,12,0.0,4000.0,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689488,上辇村,台州,黄岩,东城,,低层,黄椒路,121.3400377,28.67931064,,,,0,公寓住宅,民用,6.8,12,0.0,6000.0,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689755,下洋郑新区,台州,黄岩,嘉丽广场,2003,多层,进港路,121.3494375,28.67684259,,30.0,,0,公寓住宅,民用,7.0,12,0.0,3800.0,Zhejiang,Taizhou,Huangyan,Zhejiang-Taizhou
689057,景元路362号楼,台州,椒江,海门,2017,多层,景元路362号,121.4471475,28.65895259,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.0,10163.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689070,振兴小区(西区),台州,椒江,海门,2010,多层,东升街,121.4346847,28.6839563,2.0,30.0,,208,公寓住宅,民用,8.1,12,0.0,15263.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689051,光明路小区,台州,椒江,海门,2015,多层,光明路171号,121.4446289,28.68180276,2.0,30.0,,0,公寓住宅,民用,7.7,12,0.0,13827.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689053,青年路288号楼,台州,椒江,海门,2010,多层,青年路288号,121.4411031,28.67683542,2.0,30.0,,20,公寓住宅,民用,7.8,12,0.0,18400.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689054,"经中路185,219号小区",台州,椒江,海门,2015,多层,"经中路185,219号",121.4341223,28.6549859,2.0,30.0,,0,公寓住宅,民用,8.5,12,0.0,12132.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689055,开元路31号楼,台州,椒江,海门,2006,多层,开元路31号,121.4379414,28.65849934,2.0,30.0,,12,公寓住宅,民用,8.4,12,0.0,12844.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689069,沧海路56号小区,台州,椒江,海门,2000,多层,沧海路56号,121.4349993,28.68122085,2.0,30.0,,16,公寓住宅,民用,8.0,12,0.0,15806.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689068,岩头东苑,台州,椒江,海门,,多层,疏港大道,121.4600833,28.6627032,2.0,,,339,,暂无,7.5,12,0.0,6300.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689056,"江城南路63,65号楼",台州,椒江,海门,2002,多层,"江城南路63,65号",121.4393256,28.67744872,2.0,30.0,,20,公寓住宅,民用,7.8,12,0.0,10653.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689067,百果村,台州,椒江,海门,,多层,"环山路,近群英路",121.4526674,28.66646454,,,,0,,暂无,7.2,12,0.0,9700.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689065,渠东茗苑,台州,椒江,海门,2008,低层,"机场路,近体育场路",121.4411574,28.64157229,2.0,30.0,,395,公寓住宅,民用,7.2,12,0.0,7054.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689064,东丰名苑,台州,椒江,海门,1998,多层,枫南东路,121.4722064,28.65738542,2.0,20.0,,690,公寓住宅,民用,7.0,12,0.0,7301.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689071,军港大厦,台州,椒江,海门,2005,多层,江滨路19号,121.4367657,28.6848401,2.0,30.0,,105,公寓住宅,民用,7.8,12,0.0,10714.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689062,爱华曙光大厦,台州,椒江,海门,2014,高层,市府大道253号,121.4276503,28.65417447,2.0,30.0,,178,商住楼,商用,8.4,12,0.0,10277.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689061,碧水西苑,台州,椒江,海门,1996,多层,太和路,121.4598689,28.65304877,2.0,20.0,,348,公寓住宅,民用,7.3,12,0.0,4900.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689060,幸福家园(椒江),台州,椒江,海门,2011,多层,电大路29号,121.4403358,28.67245671,2.0,30.0,,0,公寓住宅,民用,7.8,12,0.0,17956.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689059,民辉小区西苑,台州,椒江,海门,2016,多层,"太和路,近疏港大道",121.4564412,28.65441527,2.0,30.0,,546,公寓住宅,民用,7.5,12,0.0,8823.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689058,荟萃苑,台州,椒江,海门,2003,高层,"体育场路,近经五路",121.4576132,28.64112181,2.0,30.0,,872,公寓住宅,民用,6.6,12,0.0,8000.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689066,正黄铂悦府,台州,椒江,海门,2001,高层,"枫南东路,屷崦路",121.4446932,28.66462589,,30.0,,0,商住楼,商用,7.6,12,0.0,11750.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
688566,瑞景名苑(别墅),台州,椒江,葭沚,2018,低层,中山西路56-2号,121.4138793,28.67576774,,50.0,,0,别墅,民用,8.2,12,0.0,28290.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689073,百果苑,台州,椒江,海门,1998,多层,环山路,121.4523386,28.66524284,2.0,20.0,,91,公寓住宅,民用,7.3,12,0.0,10000.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689088,南岸里村自建房,台州,椒江,三甲,,低层,机场路,121.4491251,28.630159,,,,0,,暂无,6.7,12,0.0,4200.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689072,温馨家园(椒江),台州,椒江,海门,2012,多层|高层,青年路298号,121.4412609,28.67717229,2.0,30.0,,20,公寓住宅,民用,7.5,12,0.0,11000.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
689078,新王西苑,台州,椒江,三甲,,低层,甲北街,121.4662091,28.63389804,2.0,,,184,公寓住宅,民用,6.4,12,0.0,4400.0,Zhejiang,Taizhou,Jiaojiang,Zhejiang-Taizhou
