id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
842275,中梁首府(二期),乐清,乐清周边,草木间商城,2021,多层,晨曦路1000号,121.0021284,28.10895417,,30.0,,515,公寓住宅,民用,7.2,12,0.0,32218.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842273,景湾花园A区,乐清,乐清周边,草木间商城,2017,高层,文明中路43号,120.992856,28.11467102,2.0,30.0,,0,公寓住宅,民用,7.8,12,0.0,13736.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842271,上丰滨海花园(乐清),乐清,乐清周边,草木间商城,2016,高层,晨曦路777号,120.9986214,28.11182663,,25.0,47928.0,201,公寓住宅,民用,7.6,12,0.0,22441.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842270,兰庭公馆,乐清,乐清周边,草木间商城,2017,高层,旭阳路988号,120.9871593,28.11175986,2.0,30.0,,122,公寓住宅,民用,8.0,12,0.0,15112.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842272,润景华庭,乐清,乐清周边,草木间商城,2014,高层,乐白路,120.9394615,28.10923666,,30.0,48869.0,338,公寓住宅,民用,7.4,12,-2.08,13164.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842250,东城花苑,乐清,乐清周边,草木间商城,2000,多层,东沙路,120.9847302,28.12986076,2.0,30.0,,608,公寓住宅,民用,7.9,12,-1.67,9561.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842249,胜华嘉园(别墅),乐清,大荆,荆山北路,2014,低层,晨曦路1777号,121.0009259,28.11153906,,31.3,69270.0,0,别墅,民用,7.2,12,0.0,22731.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842251,中鸿嘉园,乐清,乐清周边,草木间商城,2018,高层,旭阳路,120.9737884,28.1168471,2.0,30.0,,271,公寓住宅,民用,8.2,12,-3.51,12794.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842268,建设西路238弄,乐清,乐清周边,草木间商城,1993,多层,建设西路238弄,120.9508944,28.11889782,2.0,20.0,,108,公寓住宅,民用,7.8,12,0.0,11147.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842267,金鼎公寓,乐清,乐清周边,草木间商城,2010,多层,双雁路508号,120.9713624,28.12020406,2.0,30.0,,36,公寓住宅,民用,8.3,12,0.0,10546.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842266,金田花苑,乐清,乐清周边,草木间商城,1997,多层,四环路,120.9929808,28.12695198,2.0,20.0,,84,公寓住宅,民用,7.0,12,0.0,7187.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842262,龙璟嘉园,乐清,乐清周边,草木间商城,2013,高层,千帆东路,120.9912484,28.12705088,2.0,30.0,,0,公寓住宅,民用,7.2,12,0.0,11230.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842261,绿城小区,乐清,乐清周边,草木间商城,2010,多层,双雁路,120.9891045,28.12082913,2.0,30.0,,192,公寓住宅,民用,7.4,12,0.0,7500.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842260,鑫盛大厦(乐清),乐清,乐清周边,草木间商城,2001,高层,良港东路425号,120.9751403,28.11879484,2.0,30.0,,48,公寓住宅,民用,8.1,12,0.0,14875.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842269,盛峰嘉园,乐清,乐清周边,草木间商城,2009,高层,东康路88号,120.9947059,28.12563259,2.0,30.0,,216,公寓住宅,民用,7.6,12,0.0,8214.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842258,金凤小区,乐清,乐清周边,草木间商城,2009,多层,晨曦路31号,120.9731509,28.12131896,2.0,30.0,,83,公寓住宅,民用,8.2,12,0.0,9487.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842257,马车河村,乐清,乐清周边,草木间商城,2010,多层,"望河路,近中济路",120.9649751,28.11150815,2.0,30.0,,248,公寓住宅,民用,8.0,12,0.0,11129.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842256,时代御峰,乐清,乐清周边,草木间商城,2014,高层,旭阳路,120.9847741,28.11348252,2.0,30.0,,278,公寓住宅,民用,8.3,12,-9.4,18854.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842254,中梁柏悦湾,乐清,乐清周边,草木间商城,2006,高层,云门路,121.0104035,28.10486696,,30.0,,409,公寓住宅,民用,6.9,12,-0.46,21595.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842253,银潭新园,乐清,乐清周边,草木间商城,2018,高层,环城东路,120.9574172,28.12939142,2.0,30.0,,0,公寓住宅,民用,7.6,12,0.0,12400.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842252,翡翠湾花园,乐清,乐清周边,草木间商城,2014,高层,金溪路,120.9774216,28.10298827,,30.0,,788,公寓住宅,民用,7.9,12,-1.17,27290.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842259,府东嘉园,乐清,乐清周边,草木间商城,2012,小高层,东康路,120.9969275,28.1277151,2.0,30.0,,100,公寓住宅,民用,7.0,12,0.0,7000.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842217,浦东平安小区,乐清,白石,玉虹南路,2016,多层,东苑路46号,120.9625791,28.12521661,,30.0,,0,公寓住宅,民用,7.8,12,0.0,7500.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842216,湖滨花苑(乐清),乐清,白石,玉虹南路,2015,多层,双雁路55号,120.9594715,28.11246314,2.0,30.0,,72,公寓住宅,民用,8.1,12,0.0,10496.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842215,南虹广场公园一号,乐清,白石,玉虹南路,2016,高层,伯乐东路,120.9774869,28.1115195,,35.0,,524,公寓住宅,民用,8.3,12,0.0,30603.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842214,宁康嘉园,乐清,白石,玉虹南路,2003,多层|高层,宁康西路58号,120.9591226,28.10850563,2.0,32.0,,137,公寓住宅,民用,8.1,12,0.0,14583.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842213,乐昌小区,乐清,白石,玉虹南路,1995,多层,清远路110号,120.9633779,28.11650527,2.0,20.0,,118,公寓住宅,民用,7.9,12,0.0,11052.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842212,河畔公寓,乐清,白石,玉虹南路,2009,高层,良港西路,120.9644788,28.11067523,2.0,30.0,,42,公寓住宅,民用,8.3,12,0.0,10501.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842211,金贸大厦,乐清,白石,玉虹南路,2005,高层,双雁路,120.9678087,28.11773318,2.0,30.0,,145,公寓住宅,民用,8.1,12,0.0,15000.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842210,东方广场,乐清,白石,玉虹南路,2005,多层|高层,清远路,120.968373,28.10874814,2.0,30.0,,186,公寓住宅,民用,8.5,12,0.0,11500.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842208,国宾1号,乐清,磐石,珠城路商业街,1996,高层,旭阳路,120.9771715,28.11533829,2.0,20.0,,324,公寓住宅,民用,7.9,12,-0.83,16562.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842284,华鸿香榭里,乐清,乐清周边,草木间商城,2005,高层,"晨曦路,近千帆路",120.9869309,28.11483348,,30.0,,200,公寓住宅,民用,7.8,12,0.53,21759.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842283,中梁滨海别苑(别墅),乐清,乐清周边,草木间商城,2012,低层,胜利路,121.0097819,28.1128887,,50.0,,0,别墅,民用,7.0,12,0.0,41176.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842281,星海名筑,乐清,乐清周边,草木间商城,2022,高层,胜利路,120.990594,28.11814608,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,19444.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842224,金雁商厦,乐清,白石,玉虹南路,2003,多层,清远路139号,120.9639631,28.11649309,2.0,30.0,,224,公寓住宅,民用,8.0,12,0.0,11500.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842279,海月清风,乐清,乐清周边,草木间商城,2021,高层,晨曦路,121.0127654,28.10878275,2.0,30.0,,0,公寓住宅,民用,7.0,12,-0.5,21552.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842277,扬帆华庭,乐清,乐清周边,草木间商城,2002,多层,扬帆路55号,120.9672825,28.11361339,,30.0,,52,公寓住宅,民用,7.9,12,0.0,12584.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842223,石马南村,乐清,白石,玉虹南路,2010,多层,丹霞路,120.9667827,28.09982514,2.0,30.0,,0,公寓住宅,民用,7.6,12,0.0,8000.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842219,金雁公寓,乐清,白石,玉虹南路,2003,高层,清远路135号,120.9642805,28.11641373,2.0,30.0,,99,公寓住宅,民用,7.9,12,0.0,12422.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842220,南龙居,乐清,白石,玉虹南路,2013,多层|高层,伯乐东路,120.9689861,28.10970973,2.0,30.0,,66,公寓住宅,民用,8.1,12,0.0,13000.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
842221,丹霞二区,乐清,白石,玉虹南路,2001,多层,良港西路,120.9617118,28.1070962,2.0,30.0,,156,公寓住宅,民用,7.8,12,0.0,8333.0,Zhejiang,Wenzhou,Yueqing,Zhejiang-Wenzhou
