prov,city,loss,loss_ratio
Shaanxi,Ankang,nan,nan
Jiangsu,Lianyungang,32048.38515325648,44.844407525095185
Heilongjiang,Suihua,1332329.1473017724,99.59238926687264
Hubei,Xiangyang,133403.40406528162,84.56045740718166
Hainan,Wenchang,59876.50757130473,88.80035643023393
Jilin,Yanbianchaoxianzu,0.0,0.0
Anhui,Fuyang,nan,nan
Sichuan,Zigong,5315.855077488056,36.90719866488143
Shanxi,Jincheng,0.0,0.0
Guangdong,Jiangmen,221042.41117163136,92.34812147178184
Zhejiang,Huzhou,198553.86893352502,88.22942796671016
Shandong,Dongying,18678.284011123826,32.57191092724013
Hubei,Xiantao,nan,nan
Heilongjiang,Daqing,21243.583947639218,36.50859010163533
Shanxi,Xinzhou,24850.34143567755,78.35110619281863
Hubei,Ezhou,153406.1356473298,94.8875777329041
Anhui,Huaibei,3497.5372822408926,14.619314704030653
Tianjin,Jinnan,9086.334153487325,8.123573992576025
Shaanxi,Hanzhong,nan,nan
Heilongjiang,Jixi,1459.0403841612017,11.2561265840083
Hunan,Yiyang,97291.86382472105,94.23950191083313
Xinjiang,Kelamayi,18571.05626576853,64.24994911228082
Yunnan,Kunming,42875.817837027746,37.56846674627871
Liaoning,Yingkou,nan,nan
Chongqing,Yuzhong,nan,nan
Jilin,Siping,nan,nan
Anhui,Chizhou,14072.850165544805,36.14277317768522
Henan,Zhoukou,13581.741323163407,46.07341780538528
Gansu,Lanzhou,64522.45268481787,48.58374592395162
Hebei,Baoding,1001280.8860639061,96.44724569627344
Hunan,Yueyang,134506.91680762678,93.5913466803087
Gansu,Tianshui,40086.380871076115,46.31648039017316
Sichuan,Panzhihua,0.0,0.0
Neimenggu,Baotou,21717.809080451992,39.447510364263515
Guangdong,Zhaoqing,267831.9660434045,94.2932072292588
Anhui,Xuancheng,329347.2353042643,91.74585920917625
Henan,Luohe,15111.876883143703,52.344697612599745
Jiangxi,Fuzhou,nan,nan
Shanghai,Changning,nan,nan
Shandong,Qingdao,160745.67835208506,45.86101111721671
Shanghai,Hongkou,14828.611496400754,4.744474772179917
