id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
435462,新桥小区一组团,马鞍山,当涂,翠竹广场,,多层,永兴路,118.4497768,31.51401701,,,,0,公寓住宅,民用,,12,0.0,2700.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435500,新桥小区三组团,马鞍山,当涂,翠竹广场,2003,多层,永兴路,118.4484862,31.5120916,2.0,30.0,,0,公寓住宅,民用,7.0,12,0.0,2901.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435498,瑞都华庭,马鞍山,当涂,翠竹广场,2005,多层|小高层|高层,常州中路122号,118.4589295,31.47611545,,37.1,,0,公寓住宅,民用,6.6,12,0.0,5263.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435480,新桥小区二组团,马鞍山,当涂,翠竹广场,2000,多层,永兴路,118.4473015,31.51464425,,30.0,,280,公寓住宅,民用,6.8,12,0.0,3000.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435481,新桥小区八组团,马鞍山,当涂,翠竹广场,2004,多层,永兴路,118.4484544,31.50982194,2.0,30.0,,540,公寓住宅,民用,6.9,12,0.0,3000.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435482,新桥小区五组团,马鞍山,当涂,翠竹广场,2012,多层,永兴路,118.4455215,31.5142825,,30.0,,0,公寓住宅,民用,6.8,12,0.0,3000.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435483,新桥小区四组团,马鞍山,当涂,翠竹广场,2000,多层,永兴路,118.4468813,31.51285951,2.0,30.0,,0,公寓住宅,民用,6.8,12,0.0,3000.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435487,金凤凰小区,马鞍山,当涂,翠竹广场,2000,多层,"北京大道,近常州路",118.4574192,31.47794902,,30.0,,0,公寓住宅,民用,6.5,12,0.0,5500.0,Anhui,Maanshan,Dangtu,Anhui-Maanshan
435748,"康林盛世华庭(C,G)区",马鞍山,含山,玉龙公园,,多层,康林路,117.9549447,31.55288046,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435744,林头中学教师宿舍楼,马鞍山,含山,玉龙公园,,多层,翰林路,117.9591044,31.55075273,,,,0,公寓住宅,民用,6.5,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435735,京坤汇金广场,马鞍山,含山,玉龙公园,,高层,太湖山路,117.9502712,31.55412603,,,,0,公寓住宅,民用,6.5,12,0.0,3000.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435749,"康林盛世华庭(A,B)区",马鞍山,含山,玉龙公园,,多层,康林路,117.9537041,31.55414862,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435752,康林盛世华庭E区,马鞍山,含山,玉龙公园,,多层,康林路,117.9550848,31.55342597,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435774,清溪华府,马鞍山,含山,玉龙公园,2006,多层,"兴隆路,近巨兴路",117.9867403,31.65717002,,30.0,,0,公寓住宅,民用,7.2,12,0.0,3750.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435769,花溪苑,马鞍山,含山,玉龙公园,2003,低层,"清溪大道,近X020",117.9926473,31.65599916,,30.0,,0,公寓住宅,民用,6.8,12,0.0,3050.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435766,城市溪水云天小区,马鞍山,含山,玉龙公园,2002,多层,清溪大道,117.9966712,31.65721766,,30.0,,0,公寓住宅,民用,6.9,12,0.0,3750.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435760,清溪滨河安置房,马鞍山,含山,玉龙公园,,多层,020县道,117.9924204,31.65426798,,,,0,公寓住宅,民用,6.4,12,0.0,3000.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435759,林头街道宿舍楼,马鞍山,含山,玉龙公园,,多层,裕溪路,117.9549325,31.54760514,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435758,林宾小区,马鞍山,含山,玉龙公园,,多层,翰林路,117.9580549,31.5486522,,,,0,公寓住宅,民用,6.3,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435757,新天地小区,马鞍山,含山,玉龙公园,,多层,巨兴路,117.9880355,31.65834001,,,,0,公寓住宅,民用,6.5,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435755,康林盛世华庭D区,马鞍山,含山,玉龙公园,,多层,康林路,117.9540342,31.55533913,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435754,宏运楼,马鞍山,含山,玉龙公园,,多层,中学路,117.9945633,31.65770613,,,,0,公寓住宅,民用,6.5,12,0.0,2000.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435753,康林盛世华庭F区,马鞍山,含山,玉龙公园,,多层,康林路,117.955346,31.5535294,,,,0,公寓住宅,民用,6.4,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435751,翰林苑,马鞍山,含山,玉龙公园,,多层,翰林路,117.9508872,31.55639033,,,,0,公寓住宅,民用,6.5,12,0.0,2500.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
261321,汤卞山庄(北区),合肥,巢湖,北门,2005,多层,花园路,117.9300143,31.64248247,2.0,30.0,,984,公寓住宅,民用,6.8,12,0.0,5048.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
261299,汤卞山庄(南区),合肥,巢湖,北门,2015,小高层|高层,花园路,117.9298228,31.64059985,2.0,30.0,,1664,公寓住宅,民用,7.0,12,0.0,4833.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435776,康林新街,马鞍山,含山,玉龙公园,2000,多层,"雨林路,近天湖山路",117.9551932,31.55067363,,30.0,,0,公寓住宅,民用,6.9,12,0.0,2750.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
133243,汤卞山庄(南区),巢湖,北门,北门片区,2015,小高层|高层,花园路,117.9298228,31.64059985,2.0,30.0,,1664,公寓住宅,民用,6.8,12,0.0,4833.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
133299,汤卞山庄(北区),巢湖,北门,北门片区,2005,多层,花园路,117.9300143,31.64248247,2.0,30.0,,984,公寓住宅,民用,7.0,12,0.0,5048.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
435783,后街华庭小区,马鞍山,含山,玉龙公园,2000,多层,"清溪东街,近中学路",117.9950596,31.65780958,,30.0,,0,公寓住宅,民用,6.8,12,0.0,2050.0,Anhui,Maanshan,Hanshan,Anhui-Maanshan
434662,东方明珠六村,马鞍山,花山,幸福广场,1998,多层,东方明珠路,118.5216257,31.71586184,2.0,20.0,,3048,公寓住宅,民用,7.9,12,-1.0,13845.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434821,怡和家园,马鞍山,花山,幸福广场,1996,多层,宁芜公路,118.5020228,31.72245594,2.0,20.0,,336,公寓住宅,民用,7.6,12,-0.03,4104.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434663,绿地臻城,马鞍山,花山,幸福广场,2014,超高层,湖南东路,118.5478315,31.69101667,2.0,30.0,,1531,公寓住宅,民用,8.0,12,-0.95,11811.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434660,添富大厦,马鞍山,花山,马鞍山东站,2016,高层,慈湖河路2651号,118.5270384,31.70200102,,30.0,,0,公寓住宅,民用,8.1,12,0.0,7100.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434664,恒大绿洲,马鞍山,花山,幸福广场,2019,高层,"湖南东路,近霍里山大道",118.5507583,31.68830953,2.0,31.5,,1164,公寓住宅,民用,7.9,12,-1.9,13881.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434665,红东家园,马鞍山,花山,幸福广场,1990,多层,奋进路933号,118.5386823,31.70548605,2.0,20.0,,2344,公寓住宅,民用,7.1,12,-2.9,8371.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434661,恒大御景湾,马鞍山,花山,幸福广场,2015,高层,嵩山路399号,118.5608009,31.69807219,2.0,45.8,,2640,公寓住宅,民用,7.6,12,-2.09,11301.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434667,西湖花园,马鞍山,花山,幸福广场,2005,高层,江东大道,118.5208366,31.69654403,,37.4,,2691,公寓住宅,民用,8.5,12,-0.94,11595.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434671,国际华城三村,马鞍山,花山,幸福广场,2000,高层,湖南东路,118.5222074,31.68759042,,30.0,,1010,公寓住宅,民用,8.4,12,-0.55,11244.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434669,珍珠园四村,马鞍山,花山,幸福广场,1994,多层,雨山路,118.5008032,31.67631368,1.0,20.0,,0,公寓住宅,民用,8.0,12,-3.75,10855.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434822,金字塘路33号院,马鞍山,花山,幸福广场,2000,多层,金字塘路,118.4872789,31.72105105,2.0,30.0,,0,公寓住宅,民用,7.3,12,0.0,4000.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434670,江东小区,马鞍山,花山,幸福广场,2012,多层|高层,雨山东路300号,118.5220071,31.6771209,2.0,36.0,,1948,公寓住宅,民用,8.5,12,-1.26,10685.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434672,平山新村,马鞍山,花山,幸福广场,1989,多层,安居路1号,118.5086138,31.67115035,2.0,20.0,,1021,公寓住宅,民用,8.3,12,0.55,11280.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434673,伟星壹号院,马鞍山,花山,幸福广场,2010,多层|小高层,慈湖河路,118.5265509,31.70507258,2.0,30.0,,862,公寓住宅,民用,7.9,12,0.33,18028.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434659,爱普信园,马鞍山,花山,马鞍山东站,2014,低层|多层|小高层|高层,信息路48号,118.5536112,31.69754318,,30.0,,0,商住楼,商用,7.3,12,0.0,5000.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434823,紫金花苑,马鞍山,花山,幸福广场,1995,多层,半边街路,118.4836383,31.71931363,2.0,20.0,,0,公寓住宅,民用,7.7,12,0.0,4611.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
434825,铁路新村,马鞍山,花山,幸福广场,1995,多层,团结路31号,118.4976748,31.7064184,2.0,20.0,,206,公寓住宅,民用,7.8,12,0.0,6862.0,Anhui,Maanshan,Huashan,Anhui-Maanshan
