id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
12262,北分厂家属区,北京,海淀,温泉,1990,多层,北清路,116.1591834,40.06567504,1.0,30.0,,1358,公寓住宅,民用,7.6,12,0.35,68132.0,Beijing,,Haidian,Beijing-Haidian
12612,北辰机械厂职工宿舍,北京,海淀,西三旗,1998,多层,建材城东路,116.363055,40.05736475,1.0,20.0,,600,公寓住宅,民用,7.2,12,0.0,16507.0,Beijing,,Haidian,Beijing-Haidian
12263,环保嘉苑,北京,海淀,温泉,2010,多层,地锦路,116.1648284,40.05542573,1.0,30.0,,0,公寓住宅,民用,7.5,12,-0.03,70568.0,Beijing,,Haidian,Beijing-Haidian
13005,三虎桥南路8号院,北京,海淀,紫竹桥,1998,多层,三虎桥南路8号,116.3088432,39.93482508,1.0,28.0,,192,公寓住宅,民用,8.0,12,0.0,111428.0,Beijing,,Haidian,Beijing-Haidian
13006,养怡园,北京,海淀,紫竹桥,1980,高层,三里河路1号,116.3235484,39.93548948,1.0,30.0,,195,公寓住宅,民用,7.8,12,0.0,91236.0,Beijing,,Haidian,Beijing-Haidian
13007,玫瑰御园,北京,海淀,紫竹桥,2004,小高层,蓝靛厂南路,116.2870219,39.93856015,,30.0,,439,公寓住宅,民用,8.0,12,0.0,130539.0,Beijing,,Haidian,Beijing-Haidian
13009,满庭芳园,北京,海淀,双榆树,1999,高层,北三环西路,116.3253775,39.96756971,1.0,40.0,,1296,公寓住宅,民用,8.5,12,-0.14,108546.0,Beijing,,Haidian,Beijing-Haidian
13010,知春里,北京,海淀,双榆树,1989,多层,双榆树北路,116.3150987,39.97175462,1.0,30.0,,3096,公寓住宅,民用,8.5,12,-0.34,110025.0,Beijing,,Haidian,Beijing-Haidian
13011,双榆树东里,北京,海淀,双榆树,1982,多层|高层,北三环西路,116.3236128,39.96653937,1.0,32.0,,2792,公寓住宅,民用,8.6,12,0.0,126929.0,Beijing,,Haidian,Beijing-Haidian
13004,西三环北路56号小区,北京,海淀,紫竹桥,2000,多层,百胜村路,116.3065771,39.93494535,1.0,30.0,,216,公寓住宅,民用,7.9,12,0.0,103703.0,Beijing,,Haidian,Beijing-Haidian
13013,双榆树西里,北京,海淀,双榆树,1985,多层|高层,中关村大街,116.3160295,39.96689036,1.0,30.0,,1098,公寓住宅,民用,8.4,12,-0.39,129501.0,Beijing,,Haidian,Beijing-Haidian
13014,榆苑公寓,北京,海淀,双榆树,1999,小高层,双榆树北路15号,116.3251664,39.97187908,1.0,30.0,,703,公寓住宅,民用,8.5,12,-3.25,109021.0,Beijing,,Haidian,Beijing-Haidian
13008,北洼路25号小区,北京,海淀,紫竹桥,1994,多层,北洼路25号,116.2950961,39.93223523,,25.0,,40,公寓住宅,民用,7.4,12,0.0,63000.0,Beijing,,Haidian,Beijing-Haidian
13012,双榆树北里,北京,海淀,双榆树,1982,多层|高层,中关村南大街,116.3166498,39.97047436,1.0,20.0,,2166,公寓住宅,民用,8.3,12,0.03,131960.0,Beijing,,Haidian,Beijing-Haidian
12258,闵航路19号院,北京,海淀,四季青,1998,多层,闵航路19号,116.2480123,39.9685801,1.0,20.0,,0,公寓住宅,民用,7.1,12,0.0,60796.0,Beijing,,Haidian,Beijing-Haidian
12260,尚峰尚水,北京,海淀,温泉,2015,多层,温北路8号,116.1766532,40.04608367,1.0,40.0,,1391,公寓住宅,民用,7.9,12,-0.87,75802.0,Beijing,,Haidian,Beijing-Haidian
13000,紫竹院南路13号院,北京,海淀,紫竹桥,1995,多层,紫竹院南路13号,116.3132889,39.93497355,1.0,10.0,,25,公寓住宅,民用,7.9,12,0.0,66199.0,Beijing,,Haidian,Beijing-Haidian
12250,嘉德乐公馆,北京,海淀,四季青,2015,多层,杏石口路乙18号,116.253505,39.94197501,,30.0,,16,公寓住宅,民用,7.3,12,0.0,66666.0,Beijing,,Haidian,Beijing-Haidian
12251,汇秀轩小区,北京,海淀,四季青,2000,多层,玲珑路,116.2779597,39.93266379,1.0,27.0,,211,公寓住宅,民用,7.7,12,0.0,18254.0,Beijing,,Haidian,Beijing-Haidian
13001,紫竹院南路15号院,北京,海淀,紫竹桥,1986,多层,紫竹院南路15号,116.3130513,39.93442134,1.0,30.0,,90,公寓住宅,民用,7.8,12,0.0,90156.0,Beijing,,Haidian,Beijing-Haidian
12261,温泉凯盛家园,北京,海淀,温泉,2014,高层,温泉路,116.1686634,40.04803823,1.0,30.0,,3224,公寓住宅,民用,7.8,12,0.0,48333.0,Beijing,,Haidian,Beijing-Haidian
13002,紫竹院路14号院,北京,海淀,紫竹桥,1999,多层,紫竹院路14号,116.3152919,39.93696504,1.0,30.0,,538,公寓住宅,民用,8.2,12,0.0,96666.0,Beijing,,Haidian,Beijing-Haidian
12255,西荣阁,北京,海淀,四季青,2007,小高层,彰化路138号,116.2739376,39.93913741,,30.0,,550,公寓住宅,民用,7.8,12,0.0,44444.0,Beijing,,Haidian,Beijing-Haidian
