id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
17923,长凌营1号院,北京,通州,永乐店,1999,高层,京津公路,116.7908521,39.77868921,,20.0,,0,公寓住宅,民用,7.0,12,0.0,39200.0,Beijing,,Tongzhou,Beijing-Tongzhou
17986,后南关村住房,北京,通州,永乐店,,低层,漷马路,116.7100774,39.76356431,,,,0,,暂无,6.1,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17982,翟各庄村住房,北京,通州,永乐店,,低层,漷马路,116.7543546,39.77890784,,,,0,,暂无,6.2,12,0.0,20000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17980,苍上村住房,北京,通州,永乐店,,低层,后苍路,116.7292185,39.76844215,,,,0,,暂无,6.0,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17978,大耕垡村住房,北京,通州,永乐店,,低层,大耕垡路,116.7108861,39.74059537,,,,0,,暂无,6.1,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17976,果村住房,北京,通州,永乐店,,低层,果村路,116.7051971,39.70850527,,,,0,,暂无,6.2,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17974,于家务村住房,北京,通州,永乐店,,低层,于小路,116.7040666,39.71632225,,,,0,,暂无,5.9,12,0.0,30000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17972,北王各庄村住房,北京,通州,永乐店,,低层,漷马路,116.7376566,39.77522774,,,,0,,暂无,6.0,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18013,后夏公庄村住房,北京,通州,宋庄,,低层,通怀路,116.728062,39.93996854,,,,0,,暂无,6.5,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18012,宋庄镇徐辛庄村住房,北京,通州,宋庄,,低层,徐内路,116.6906329,39.98748864,,,,0,,暂无,6.4,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18011,宋庄镇北窑上村住房,北京,通州,宋庄,,低层,窑岗路,116.6740231,40.00307758,,,,0,,暂无,6.3,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18010,宋庄镇大兴庄村住房,北京,通州,宋庄,,低层,潞苑北大街,116.7268596,39.9564983,,,,0,,暂无,6.5,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18008,寨里村住房,北京,通州,宋庄,,低层,壁富路,116.6529477,40.00089483,,,,0,,暂无,6.3,12,0.0,18000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18005,颐景别墅,北京,通州,宋庄,,低层,草尹路,116.6758807,39.99068377,,,,0,别墅,民用,6.7,12,0.0,57000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18004,小堡北街45号院,北京,通州,宋庄,,多层,小堡北街45号,116.7119021,39.95030418,,,,0,公寓住宅,民用,7.0,12,0.0,30000.0,Beijing,,Tongzhou,Beijing-Tongzhou
18002,首开香溪郡北区,北京,通州,宋庄,2015,多层|小高层,通顺路,116.6622096,40.00862744,,30.0,,722,公寓住宅,民用,6.5,12,-0.67,37171.0,Beijing,,Tongzhou,Beijing-Tongzhou
17998,神仙村住房,北京,通州,永乐店,,低层,通房路,116.7314584,39.72183706,,,,0,,暂无,6.0,12,0.0,20000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17997,周起营村住房,北京,通州,永乐店,,低层,田南路,116.7551829,39.73032801,,,,0,,暂无,6.1,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17994,南丁庄村住房,北京,通州,永乐店,,低层,漷小路,116.7745913,39.75153267,,,,0,,暂无,6.2,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17992,北仪阁村住房,北京,通州,永乐店,,低层,漷马路,116.7193863,39.75515339,,,,0,,暂无,6.1,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17947,草厂村住房(通州),北京,通州,永乐店,,低层,东鲁路,116.7602915,39.74889871,,,,0,,暂无,6.1,12,0.0,20000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17956,马务村住房,北京,通州,永乐店,,低层,吴东路,116.7484448,39.76726557,,,,0,,暂无,6.1,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17939,采育镇杨堤村住房,北京,通州,永乐店,,低层,京福路,116.7977207,39.77083556,,,,0,,暂无,6.3,12,0.0,10000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17963,南仪阁村住房,北京,通州,永乐店,,低层,田南路,116.727813,39.74825375,,,,0,,暂无,6.0,12,0.0,20000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17962,前南关村住房,北京,通州,永乐店,,低层,北前南路,116.7059481,39.76073706,,,,0,,暂无,6.2,12,0.0,20000.0,Beijing,,Tongzhou,Beijing-Tongzhou
17918,于家务乡东马各庄村住房,北京,通州,永乐店,,低层,张采路,116.6876612,39.72958402,,,,0,,暂无,6.5,12,0.0,15000.0,Beijing,,Tongzhou,Beijing-Tongzhou
