id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
20492,横二条4号楼,北京,西城,西单,,多层,横二条4号,116.3706768,39.91008858,,,,48,公寓住宅,民用,7.7,12,0.0,45000.0,Beijing,,Xicheng,Beijing-Xicheng
20463,承恩胡同小区,北京,西城,西单,1995,低层,承恩胡同,116.3609569,39.90031013,,30.0,,0,公寓住宅,民用,8.8,12,0.0,178571.0,Beijing,,Xicheng,Beijing-Xicheng
20496,百合园胡同小区,北京,西城,西单,1990,低层,百合园胡同,116.3826436,39.89478953,,20.0,,111,公寓住宅,民用,7.9,12,0.0,78000.0,Beijing,,Xicheng,Beijing-Xicheng
20493,新壁街18号院,北京,西城,西单,,多层,新壁街18号,116.3726468,39.89997389,,,,390,公寓住宅,民用,7.7,12,0.0,120000.0,Beijing,,Xicheng,Beijing-Xicheng
20483,顺河三巷小区,北京,西城,西单,,低层,顺河三巷,116.3606226,39.89599048,,,,0,公寓住宅,民用,7.7,12,0.0,110000.0,Beijing,,Xicheng,Beijing-Xicheng
20713,银锭桥胡同小区,北京,西城,什刹海,1990,多层,银锭桥胡同,116.3873576,39.93705427,,20.0,,0,公寓住宅,民用,8.2,12,0.0,179756.0,Beijing,,Xicheng,Beijing-Xicheng
20711,金奖胡同,北京,西城,什刹海,1965,多层,金奖胡同12号,116.376802,39.93938389,1.0,24.0,,6,公寓住宅,民用,8.3,12,0.0,98963.0,Beijing,,Xicheng,Beijing-Xicheng
20712,刘海胡同,北京,西城,什刹海,1990,多层,刘海胡同,116.3752859,39.93679827,,25.0,,0,公寓住宅,民用,8.2,12,0.5,144285.0,Beijing,,Xicheng,Beijing-Xicheng
20462,贤孝里小区,北京,西城,西单,1990,多层,贤孝里胡同,116.3716774,39.90356371,,20.0,,0,公寓住宅,民用,8.0,12,0.0,133333.0,Beijing,,Xicheng,Beijing-Xicheng
20460,"前门西河沿街130,132号",北京,西城,西单,1990,低层,"前门西河沿街130,132号",116.3858832,39.89756238,,20.0,,0,公寓住宅,民用,8.2,12,0.09,177419.0,Beijing,,Xicheng,Beijing-Xicheng
20461,头发胡同小区,北京,西城,西单,1998,低层,头发胡同,116.3653703,39.90101339,,20.0,,0,公寓住宅,民用,8.4,12,0.02,175801.0,Beijing,,Xicheng,Beijing-Xicheng
