id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
95888,中海九龙天颂,重庆,大渡口,春晖路,,多层|超高层,火炬大道28号,106.466345,29.50674148,,,,0,公寓住宅,民用,7.2,12,0.0,15000.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
95959,华宇观澜华府(别墅),重庆,大渡口,九宫庙,Dec-19,低层,凤祥路北段36号,106.4646068,29.47490277,,,,17,别墅,民用,7.4,12,0.0,17000.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89046,天鹅花园,重庆,九龙坡,杨家坪,2004,小高层,直港大道22号,106.5202567,29.51038172,,30.0,,260,公寓住宅,民用,8.2,12,0.0,8625.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96024,马王五村,重庆,大渡口,区府,2004,小高层,马王五村8号,106.4873474,29.49677999,2.0,43.0,,864,公寓住宅,民用,8.4,12,0.0,7321.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96049,中房那里,重庆,大渡口,跃进村,2016,高层,杨渡路639号,106.4995556,29.49689354,2.0,35.0,,1852,公寓住宅,民用,8.3,12,-0.24,13303.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96052,马王三村,重庆,大渡口,跃进村,2004,小高层,马王三村16号,106.4867517,29.49539084,2.0,43.0,,2356,公寓住宅,民用,8.5,12,0.0,7000.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96056,马王一村,重庆,大渡口,跃进村,2000,小高层,马王一村39号,106.4907174,29.49703279,2.0,43.0,,544,公寓住宅,民用,8.4,12,0.0,7545.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96065,马王四村,重庆,大渡口,跃进村,2004,小高层,马王四村4号,106.4873466,29.49800489,2.0,43.0,,836,公寓住宅,民用,8.6,12,0.0,7889.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96074,马王六村,重庆,大渡口,跃进村,1997,小高层,"共建二支路,近共建路",106.4845915,29.49608746,2.0,20.0,,704,公寓住宅,民用,8.0,12,0.0,6481.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
96075,马王二村,重庆,大渡口,跃进村,2000,小高层,"跃进路,近共建二支路",106.4897291,29.49561445,2.0,43.0,,669,公寓住宅,民用,8.4,12,0.0,7232.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88890,谢家湾正街102号小区,重庆,九龙坡,谢家湾,2014,小高层,谢家湾正街102号,106.5130069,29.5175195,2.0,30.0,,130,公寓住宅,民用,8.4,12,0.0,14150.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89045,中迪广场(九龙坡),重庆,九龙坡,杨家坪,Jun-19,高层,杨家坪正街,106.5123899,29.50903222,2.0,30.0,,2124,商住楼,商用,8.7,12,0.78,14188.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89044,建行大厦,重庆,九龙坡,杨家坪,2002,高层,杨家坪正街20号,106.5116196,29.51401715,,30.0,,105,商住楼,商用,8.4,12,0.46,10848.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88318,高柳馨园,重庆,九龙坡,石桥铺,2018,高层,石新路116号,106.4694133,29.52397425,,30.0,,780,公寓住宅,民用,8.5,12,-0.87,11770.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88319,九龙坡华宇时代星空,重庆,九龙坡,石桥铺,May-19,高层,渝州路109号,106.4967117,29.53932838,2.0,25.0,400000.0,888,公寓住宅,民用,8.9,12,0.76,20099.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88320,南方新城南苑,重庆,九龙坡,石桥铺,2002,高层,渝新路129号,106.4770931,29.53934691,2.0,35.0,88641.0,698,公寓住宅,民用,8.7,12,1.49,10537.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88321,斌鑫鼎航雅座,重庆,九龙坡,石桥铺,2014,高层,朝阳路195号,106.4652521,29.52157929,2.0,29.0,19810.0,317,公寓住宅,民用,8.4,12,0.0,11794.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88322,六店小区,重庆,九龙坡,石桥铺,2000,小高层|高层,"经纬大道,小石路",106.4836319,29.54922866,2.0,20.0,,1560,公寓住宅,民用,8.1,12,-0.21,8738.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
95861,龙力巴国御景,重庆,大渡口,春晖路,2012,超高层,红狮大道9号,106.4694279,29.50015942,2.0,30.0,70000.0,383,公寓住宅,民用,8.2,12,0.0,13886.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
95851,保利可爱岛,重庆,大渡口,双山,2013,高层|超高层,诗情路2号,106.465422,29.49977109,2.0,30.0,,1288,公寓住宅,民用,8.2,12,-0.5,11967.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
95829,金地自在城,重庆,大渡口,茄子溪,,多层|小高层|高层,景雅路中段与福塘路交汇处（331县道北）,106.4392476,29.42060262,,,,0,其他,暂无数据,7.4,12,0.0,9000.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89055,前进支路6号小区,重庆,九龙坡,杨家坪,,多层,前进支路6号,106.5082894,29.51135781,,,,0,公寓住宅,民用,7.8,12,0.0,6800.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88307,天骄美茵河谷,重庆,九龙坡,石桥铺,2007,多层|高层,兰美路988号,106.4621327,29.53097826,2.0,50.0,413000.0,2935,公寓住宅,民用,8.4,12,-0.09,11435.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89054,兴胜路2号小区,重庆,九龙坡,杨家坪,,小高层,兴胜路2号,106.5067431,29.51540599,,,,0,公寓住宅,民用,7.8,12,0.0,7100.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88308,远洋城(二期),重庆,九龙坡,石桥铺,2018,高层,经纬大道1305号,106.4663313,29.53248134,2.0,30.0,,1798,公寓住宅,民用,8.4,12,-0.71,15670.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88309,五九小区,重庆,九龙坡,石桥铺,1995,小高层,"渝州路,近渝新路",106.4834321,29.53892315,2.0,42.0,28310.0,616,公寓住宅,民用,8.7,12,0.0,10163.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89053,前进路29号小区,重庆,九龙坡,杨家坪,,小高层,前进路29号,106.5089235,29.50962839,,,,40,公寓住宅,民用,7.7,12,0.0,8200.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88310,归谷城市美墅,重庆,九龙坡,石桥铺,2002,多层,华轩路108号,106.4887347,29.54160736,2.0,35.0,58000.0,642,公寓住宅,民用,8.5,12,-4.72,10054.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89052,西郊支路18号楼梯房,重庆,九龙坡,杨家坪,,小高层,西郊支路18号,106.5071262,29.5087321,,,,120,公寓住宅,民用,7.6,12,0.0,8500.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88311,南方花园彩甸苑,重庆,九龙坡,石桥铺,2003,小高层|高层,科园二路7号,106.4855219,29.5339881,2.0,20.0,,767,公寓住宅,民用,8.7,12,-0.03,11681.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88323,雨田秫园,重庆,九龙坡,石桥铺,2010,高层,朝阳路225号,106.4732999,29.52457508,2.0,30.0,,348,公寓住宅,民用,8.5,12,-1.73,10281.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88312,同创高原,重庆,九龙坡,石桥铺,2009,多层,经纬大道1098号,106.4790805,29.54870583,2.0,36.0,650000.0,388,公寓住宅,民用,8.5,12,-0.08,12461.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88314,象屿公园悦府,重庆,九龙坡,石桥铺,2020,高层,玉灵路246号,106.4678785,29.53041842,,30.0,69013.0,472,公寓住宅,民用,8.7,12,0.0,15266.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88315,岭秀枫景,重庆,九龙坡,石桥铺,2007,超高层,张坪街11号,106.470634,29.53175754,2.0,35.0,,776,公寓住宅,民用,8.8,12,0.81,10247.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88316,耀博车城丽景,重庆,九龙坡,石桥铺,2018,高层,石新路298号,106.4522793,29.52300888,,30.0,,168,公寓住宅,民用,8.2,12,0.0,12400.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88317,渝洲新城,重庆,九龙坡,石桥铺,2006,高层|超高层,石新路33号,106.4732131,29.5263803,2.0,42.8,250000.0,1889,公寓住宅,民用,8.7,12,-0.08,10293.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89051,前进支路3-4号小区,重庆,九龙坡,杨家坪,2017,小高层,前进支路3-4号,106.5061321,29.51091341,,30.0,,173,公寓住宅,民用,8.1,12,0.0,8695.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89050,谢家湾正街92号小区,重庆,九龙坡,杨家坪,2010,小高层,谢家湾正街92号,106.5107559,29.52132278,,30.0,,300,公寓住宅,民用,8.9,12,0.0,16513.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89049,文化七村50号小区,重庆,九龙坡,杨家坪,2002,高层,文化七村50号,106.507532,29.52346259,,30.0,,540,公寓住宅,民用,8.6,12,0.0,8389.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89048,重庆半山悦景,重庆,九龙坡,杨家坪,,小高层,滩子口108号,106.5228538,29.50017034,,,,0,公寓住宅,民用,7.2,12,0.0,18500.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
95805,金地自在城(一期),重庆,大渡口,茄子溪,Aug-20,多层|小高层|高层,建雄路2号,106.4392881,29.42062771,,35.0,,688,公寓住宅,民用,7.7,12,0.0,9969.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88313,金果园,重庆,九龙坡,石桥铺,1999,多层|小高层,科园三街139号,106.4862134,29.5317784,2.0,45.0,100000.0,514,公寓住宅,民用,8.7,12,-4.1,8759.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88306,新锐地带,重庆,九龙坡,石桥铺,2003,高层,科园一街25号,106.4832221,29.53431674,2.0,35.0,80000.0,712,公寓住宅,民用,9.0,12,-0.05,14303.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88324,明发御景园,重庆,九龙坡,石桥铺,2013,超高层,经纬大道1095号,106.4865066,29.54759792,2.0,30.0,80320.0,669,公寓住宅,民用,8.8,12,-0.25,12802.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88326,紫薇南苑,重庆,九龙坡,石桥铺,2017,高层,"凤西路,近朝阳路",106.4485418,29.51874301,2.0,25.0,,1012,公寓住宅,民用,8.4,12,0.0,10264.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89658,金辉玖珑云璟,重庆,九龙坡,奥体中心,Apr-22,小高层,"龙腾大道,近奥体四支路",106.4992705,29.52445926,,30.0,51792.0,439,公寓住宅,民用,8.8,12,0.0,19191.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89659,石坪桥横街2号附2号小区,重庆,九龙坡,奥体中心,2013,小高层,石坪桥横街2号附2号,106.5005581,29.52108816,2.0,30.0,,32,公寓住宅,民用,8.2,12,0.0,8125.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89660,合丰楼,重庆,九龙坡,奥体中心,2009,小高层,"龙腾大道,近杨石支路",106.5072502,29.52181951,,30.0,,176,公寓住宅,民用,8.2,12,0.0,8958.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89661,台湾花园(九龙坡),重庆,九龙坡,奥体中心,2000,小高层,石坪桥正街147号,106.4969496,29.517763,2.0,30.0,,164,公寓住宅,民用,8.3,12,0.0,9125.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89662,兴胜路8号小区,重庆,九龙坡,奥体中心,2011,小高层,兴胜路8号,106.5091133,29.51539115,,30.0,,781,公寓住宅,民用,8.1,12,0.0,8333.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89663,西亚广场,重庆,九龙坡,奥体中心,2000,高层,渝州路33号,106.4834519,29.53670869,2.0,30.0,,175,公寓住宅,民用,8.3,12,0.0,9267.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89664,长运集资楼,重庆,九龙坡,奥体中心,2005,小高层,凤凰路5号附17号,106.4753051,29.52835772,2.0,30.0,,316,公寓住宅,民用,8.1,12,0.0,8490.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89665,袁家岗159-160号居民楼,重庆,九龙坡,奥体中心,2002,多层,袁家岗159-160号,106.5084035,29.5256682,2.0,30.0,,44,公寓住宅,民用,8.1,12,0.0,8474.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89666,松鹤园,重庆,九龙坡,奥体中心,2000,多层,"文化六村1,3,4,8,9号",106.5128979,29.52533814,,30.0,,111,公寓住宅,民用,7.8,12,0.0,6916.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89667,石新路23号小区,重庆,九龙坡,奥体中心,2017,小高层,石新路23号,106.4755971,29.53095818,2.0,30.0,,98,公寓住宅,民用,8.6,12,0.0,6285.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89668,石坪桥横街7号小区,重庆,九龙坡,奥体中心,1996,小高层,石坪桥横街7号,106.5018796,29.52211256,2.0,20.0,,84,公寓住宅,民用,8.3,12,0.0,9730.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89669,卫校花园小区,重庆,九龙坡,奥体中心,2004,小高层,文化七村50号附16-附23号,106.5059305,29.523359,2.0,30.0,,132,公寓住宅,民用,8.3,12,0.0,8571.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89670,绅帝大厦,重庆,九龙坡,奥体中心,1999,小高层,朝田村200号,106.4856459,29.52604868,2.0,20.0,,207,公寓住宅,民用,8.3,12,0.0,7339.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89671,易家小区,重庆,九龙坡,奥体中心,2006,多层|高层,马王四村11号,106.4872425,29.49793784,2.0,25.56,,216,公寓住宅,民用,8.3,12,0.0,10891.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89672,龙泉怡苑,重庆,九龙坡,奥体中心,2002,小高层|高层,"兴龙路,近龙泉路",106.4801446,29.49788978,2.0,28.0,10675.0,420,公寓住宅,民用,7.9,12,0.0,7222.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89653,文化七村50号小区,重庆,九龙坡,奥体中心,2002,高层,文化七村50号,106.507532,29.52346259,,30.0,,540,公寓住宅,民用,8.6,12,0.0,8389.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89652,丹泰红馆(商住楼),重庆,九龙坡,奥体中心,Dec-21,高层,谢家湾正街9号,106.5129008,29.52928441,,25.0,70965.0,1395,商住楼,商用,8.5,12,0.96,12533.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89651,洺悦国际,重庆,九龙坡,奥体中心,Dec-21,小高层|高层,"五四支路,近彩虹路",106.4903397,29.51480727,,35.0,97007.0,304,公寓住宅,民用,8.6,12,0.14,14369.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89650,中新城上城国际公寓,重庆,九龙坡,奥体中心,2008,高层,奥体路1号,106.5076861,29.53083243,2.0,30.0,,1850,商住楼,商用,9.0,12,0.0,12321.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88327,枫丹苑,重庆,九龙坡,石桥铺,2002,高层,枫丹路199号,106.4779871,29.53814448,2.0,40.0,75000.0,647,公寓住宅,民用,8.8,12,0.63,9664.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88328,天鸿龙宇金座,重庆,九龙坡,石桥铺,2011,超高层,白桃路2号,106.4745731,29.52359984,2.0,30.0,80000.0,1305,公寓住宅,民用,8.3,12,0.06,11628.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88329,奇峰自由湾,重庆,九龙坡,石桥铺,2006,高层|超高层,石小路186号,106.4692634,29.53399594,2.0,45.0,44252.0,748,公寓住宅,民用,8.8,12,-0.89,9936.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88330,后工家属区,重庆,九龙坡,石桥铺,2000,多层|小高层,"渝州路,近虎歇路",106.4944271,29.54084472,2.0,30.0,,1164,公寓住宅,民用,8.9,12,0.0,8888.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88332,白合小区,重庆,九龙坡,石桥铺,2005,多层|高层,白桃路10号,106.4754331,29.52162843,2.0,45.0,16000.0,1417,公寓住宅,民用,8.2,12,-2.09,7505.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88333,科城花园,重庆,九龙坡,石桥铺,2000,小高层,渝州路51号,106.4856118,29.53760698,2.0,25.0,,288,公寓住宅,民用,8.6,12,0.0,7358.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88334,达飞苑,重庆,九龙坡,石桥铺,2002,超高层,南华街701号,106.4806559,29.52494674,2.0,30.0,,532,公寓住宅,民用,8.3,12,-4.19,8919.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88798,才宇绿澜宝邸,重庆,九龙坡,二郎,2008,高层,红狮大道1号,106.471245,29.50734384,2.0,35.06,19906.0,175,公寓住宅,民用,8.5,12,0.0,9560.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88797,九龙星光,重庆,九龙坡,二郎,2012,高层,火炬大道2号,106.489543,29.50293605,2.0,43.31,7111.0,384,公寓住宅,民用,8.6,12,0.0,12041.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88325,白马凼,重庆,九龙坡,石桥铺,2006,高层,"白马凼37-41号,石小路185,187号",106.4727996,29.53358307,2.0,45.0,15000.0,987,公寓住宅,民用,8.9,12,0.0,10182.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89639,老科城花园小区,重庆,九龙坡,奥体中心,2000,小高层,渝州路35号,106.4819738,29.5382276,2.0,30.0,,204,公寓住宅,民用,8.3,12,0.0,7927.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88796,协信彩云湖1号,重庆,九龙坡,二郎,2010,多层|高层,科城路166号,106.4789679,29.51644132,2.0,31.69,,1830,公寓住宅,民用,8.3,12,-0.27,14344.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89641,华宇2008公寓,重庆,九龙坡,奥体中心,2008,高层,奥体东路62号,106.5038908,29.52484302,2.0,30.0,21000.0,252,公寓住宅,民用,8.7,12,0.0,11843.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89643,前进支路16号小区,重庆,九龙坡,奥体中心,2002,小高层,前进支路16号,106.5091645,29.5123568,,30.0,,64,公寓住宅,民用,8.2,12,0.0,8341.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89644,九九商业大厦,重庆,九龙坡,奥体中心,2000,高层,兴胜路68号,106.5124867,29.51549376,,30.0,,176,公寓住宅,民用,8.3,12,0.0,11549.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89645,龙井湾住宅小区,重庆,九龙坡,奥体中心,2000,高层,"奥体运动街148,150号",106.4931669,29.52841209,2.0,30.0,,372,公寓住宅,民用,8.6,12,0.0,10493.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89646,金洲星韵苑,重庆,九龙坡,奥体中心,2006,高层,奥体运动街160号,106.4938687,29.52736045,2.0,47.0,40282.0,240,公寓住宅,民用,8.6,12,0.0,9857.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89647,福星颐美香庭,重庆,九龙坡,奥体中心,2005,高层,龙泉路129号,106.4822354,29.49752368,2.0,30.0,54070.0,429,公寓住宅,民用,8.5,12,0.0,12307.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89648,金茂未来域,重庆,九龙坡,奥体中心,2015,高层,袁家岗158号,106.5087739,29.52635508,2.0,20.0,65984.0,772,商住楼,商用,8.7,12,0.0,9799.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89649,丹泰红馆,重庆,九龙坡,奥体中心,Oct-21,小高层|高层,谢家湾正街9号,106.5139814,29.52966113,,25.0,70965.0,80,公寓住宅,民用,8.5,12,0.0,11469.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89640,金牌大厦,重庆,九龙坡,奥体中心,1999,高层,奥体五支路1号,106.5048287,29.5263912,2.0,20.0,,374,公寓住宅,民用,8.4,12,-0.66,10364.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89056,前进路54号小区,重庆,九龙坡,杨家坪,,小高层,前进路54号,106.5085084,29.50925963,,,,0,公寓住宅,民用,7.6,12,0.0,8500.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89057,西郊支路1号小区,重庆,九龙坡,杨家坪,,小高层,西郊支路1号,106.507799,29.5098701,,,,64,公寓住宅,民用,7.7,12,0.0,8200.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
89296,双山世家,重庆,九龙坡,巴国城,Oct-18,多层|高层,华成路8号,106.4586597,29.48544207,2.0,30.0,25851.0,231,公寓住宅,民用,7.8,12,0.0,18588.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
88927,金茂大厦,重庆,九龙坡,杨家坪,2015,高层,杨家坪正街24号,106.5113041,29.51363327,2.0,30.0,,242,公寓住宅,民用,8.6,12,0.0,13677.0,Chongqing,,Jiulongpo,Chongqing-Jiulongpo
