id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
177044,华润橡树湾,福州,仓山,洪湾路,2016,低层|多层|小高层|高层,花溪南路33号,119.2562685,26.01593161,2.0,30.0,,2768,公寓住宅,民用,7.4,12,1.3,24475.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177045,融信白宫,福州,仓山,洪湾路,2016,高层,花溪南路43号,119.2634242,26.00867536,2.0,30.0,314095.0,2212,公寓住宅,民用,7.8,12,0.04,26002.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177042,燎原新苑,福州,仓山,浦上大道,2006,小高层,亭头路142号,119.2713025,26.04430514,2.0,29.0,,314,公寓住宅,民用,7.8,12,0.0,19583.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177661,东盛花园(二期),福州,仓山,三叉街,2005,小高层,南台路537号,119.3201197,26.02885905,2.0,15.0,,176,公寓住宅,民用,7.9,12,0.0,20952.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177815,义序中亭村自建房,福州,仓山,福峡路,,低层,义序中亭村,119.3202436,26.00322471,,,,0,,暂无,6.8,12,0.0,7900.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177043,新榕金城湾,福州,仓山,洪湾路,2016,高层|超高层,金山大道619号,119.2367057,26.05178913,2.0,44.4,701848.0,4107,公寓住宅,民用,7.9,12,-0.02,27369.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177050,金凤新苑,福州,仓山,洪湾路,2017,高层,高宅路298号,119.252976,26.02578679,2.0,25.0,,2073,公寓住宅,民用,7.4,12,-0.56,17652.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177057,中天金海岸二期俊仕苑,福州,仓山,洪湾路,2005,多层|小高层,金桔路393号,119.2391443,26.04104087,2.0,36.0,,300,公寓住宅,民用,7.8,12,0.0,35351.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177047,水印长天,福州,仓山,洪湾路,2007,多层,金桔路230号,119.2347526,26.04535064,2.0,32.0,160000.0,1214,公寓住宅,民用,7.9,12,-0.89,31318.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177662,仓山第一中心小学教师宿舍楼,福州,仓山,三叉街,2015,小高层,下藤路121号,119.320392,26.04495894,2.0,30.0,,38,公寓住宅,民用,8.2,12,0.0,16727.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177056,橡树湾橡树公园,福州,仓山,洪湾路,2014,小高层|高层,洪湾南路68号,119.2586018,26.01736135,2.0,30.0,,540,公寓住宅,民用,7.7,12,0.0,27667.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177055,金山大景城,福州,仓山,洪湾路,2008,小高层,金山大道589号,119.2434109,26.05264282,2.0,35.0,,692,公寓住宅,民用,8.0,12,2.16,43274.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177048,融信第一城,福州,仓山,洪湾路,2007,多层,金山大道580号,119.2418876,26.05458074,2.0,45.0,,1492,公寓住宅,民用,7.9,12,-1.48,20169.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177054,江南名城,福州,仓山,洪湾路,2005,小高层|高层,金山大道518号,119.2468196,26.05512544,2.0,32.0,,754,公寓住宅,民用,8.2,12,0.0,20506.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177053,飞凤水岸小区,福州,仓山,洪湾路,2002,小高层|高层,杨周璐118号,119.250419,26.02012331,2.0,34.0,,876,公寓住宅,民用,7.3,12,-0.35,17808.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177663,华林溪水电站宿舍,福州,仓山,三叉街,1998,小高层,复园支路2号,119.3118549,26.04100944,2.0,20.0,,30,公寓住宅,民用,7.8,12,0.0,22727.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177052,橡树湾橡府,福州,仓山,洪湾路,2016,小高层|高层,花溪南路39号,119.25912,26.01253358,2.0,30.0,,1623,公寓住宅,民用,7.3,12,-0.3,25971.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177051,葛屿新苑,福州,仓山,洪湾路,2018,高层,凤冈路788号,119.245637,26.04048704,2.0,25.0,,1692,公寓住宅,民用,7.4,12,-1.15,20862.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177049,中天金海岸金爵苑天泽江鼎,福州,仓山,洪湾路,2007,低层|小高层|高层,金桔路336号,119.2373465,26.03854764,2.0,35.0,92574.0,1769,公寓住宅,民用,7.5,12,0.57,25798.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177046,星海湾,福州,仓山,洪湾路,2013,超高层,金桔路18号,119.2322008,26.0499935,2.0,33.0,,639,公寓住宅,民用,7.9,12,-1.1,36733.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
177041,建华小区,福州,仓山,浦上大道,2014,多层,百花洲路72号,119.2704889,26.03144649,2.0,28.0,,362,公寓住宅,民用,7.7,12,0.0,19139.0,Fujian,Fuzhou,Cangshan,Fujian-Fuzhou
