id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
840220,幸福新城,云浮,罗定,同富商业中心,,小高层,泷江路11号,111.5588662,22.77146183,,,,0,公寓住宅,民用,7.6,12,0.0,5454.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840215,港龙名苑,云浮,罗定,同富商业中心,,高层,园前路131号,111.5666355,22.77361487,,,,0,公寓住宅,民用,8.1,12,0.0,6857.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840217,阳光都市,云浮,罗定,同富商业中心,,小高层|高层,富豪东路63号,111.5752789,22.75270429,,,,0,公寓住宅,民用,7.2,12,0.0,6381.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840219,金碧豪庭,云浮,罗定,同富商业中心,,超高层,龙华西路2号,111.5736981,22.75822456,,,,0,公寓住宅,民用,7.6,12,0.0,6000.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840216,创宇凤凰新城,云浮,罗定,同富商业中心,2014,小高层|高层,祥发路28号,111.5775629,22.77708228,,40.0,184957.0,1296,公寓住宅,民用,8.3,12,0.0,6981.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840227,恒辉翰林苑,云浮,罗定,同富商业中心,,高层,龙都东路一巷,111.5799681,22.75225888,,,,0,公寓住宅,民用,7.3,12,0.0,5800.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840223,荟景湾,云浮,罗定,同富商业中心,,高层,沿江三路65号,111.5693825,22.77558793,,,,0,公寓住宅,民用,7.8,12,0.0,5100.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840224,阳光广场,云浮,罗定,同富商业中心,,高层,兴华一路,111.5804324,22.77355094,,,,0,公寓住宅,民用,7.9,12,0.0,6761.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840225,鸿禧西城都荟,云浮,罗定,同富商业中心,2015,高层,龙华西路,111.557168,22.75485832,,36.0,90694.0,904,公寓住宅,民用,8.0,12,0.0,5931.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840226,恒兆名轩,云浮,罗定,同富商业中心,,高层,龙城中路,111.5789964,22.75501634,,,,0,公寓住宅,民用,7.4,12,0.0,5600.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840228,泰德花园,云浮,罗定,同富商业中心,2021,高层,龙华西路88号,111.5679379,22.75419902,,,,0,公寓住宅,民用,8.0,12,0.0,7339.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840229,鸿禧华庭,云浮,罗定,同富商业中心,2015,高层|超高层,兴业路7号,111.581972,22.77647184,,,,0,公寓住宅,民用,7.7,12,0.0,7067.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840214,广场花园,云浮,罗定,同富商业中心,,高层,文博街,111.5694799,22.75870167,,,,0,公寓住宅,民用,7.5,12,0.0,7246.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840222,雅景阁,云浮,罗定,同富商业中心,,小高层,沿江三路,111.5699887,22.77732265,,,,0,公寓住宅,民用,7.7,12,0.0,4600.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840213,兴华小区,云浮,罗定,同富商业中心,,小高层,兴华三路,111.5823231,22.75843987,,,,0,公寓住宅,民用,7.3,12,0.0,5200.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840194,明月阁,云浮,罗定,同富商业中心,,多层|高层,儒良岗81号,111.580613,22.76540217,,,,0,公寓住宅,民用,7.9,12,0.0,5787.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840211,阳光美域,云浮,罗定,同富商业中心,,超高层,宝珠路2号,111.5745018,22.77121681,,,,0,公寓住宅,民用,8.0,12,0.0,6494.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840230,御景豪庭,云浮,罗定,同富商业中心,,小高层|高层,兴华一路1号,111.579402,22.77928707,,,,0,公寓住宅,民用,7.2,12,0.0,6813.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840197,星河南湾,云浮,罗定,同富商业中心,,高层,兴业路3号,111.5834722,22.77287495,,,,0,公寓住宅,民用,8.1,12,0.0,5596.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840198,海富花园,云浮,罗定,同富商业中心,,小高层,龙华中路27号,111.583003,22.76504169,,,,0,公寓住宅,民用,7.7,12,0.0,4300.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840199,喜悦家园,云浮,罗定,同富商业中心,,高层,凤华二路73号,111.58685,22.76346131,,,,0,公寓住宅,民用,7.5,12,0.0,5688.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840200,龙华花苑,云浮,罗定,同富商业中心,,高层,电塔路63号,111.5729469,22.75783086,,,,0,公寓住宅,民用,8.0,12,0.0,5652.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840201,锦绣江南,云浮,罗定,同富商业中心,,小高层,兴业二路,111.5887644,22.76571375,,,,0,公寓住宅,民用,7.8,12,0.0,6338.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840202,俊贤居,云浮,罗定,同富商业中心,,小高层,凤华路22号,111.5780587,22.76681202,,,,0,公寓住宅,民用,8.0,12,0.0,5104.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840204,丽城花苑,云浮,罗定,同富商业中心,,高层,丽久路20号3号,111.5680955,22.76651231,,,,0,公寓住宅,民用,7.9,12,0.0,3700.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840205,罗定商业中心小区,云浮,罗定,同富商业中心,,高层,园前路6号,111.5680619,22.76915716,,,,0,公寓住宅,民用,8.0,12,0.0,6724.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840206,龙庭苑,云浮,罗定,同富商业中心,,小高层,富豪四横路23号,111.5756096,22.7508748,,,,0,公寓住宅,民用,7.3,12,0.0,5132.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840207,凯旋广场,云浮,罗定,同富商业中心,2016,超高层,龙华东路,111.5897303,22.77111434,,30.0,,0,商住楼,商用,8.3,12,0.0,6200.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840209,阳光里小区,云浮,罗定,同富商业中心,,高层,泷州中路55号,111.5744315,22.77120284,,,,0,公寓住宅,民用,8.1,12,0.0,6578.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840210,一方名轩,云浮,罗定,同富商业中心,,高层,龙城中路旧公路366号,111.5814111,22.74660197,,,,0,公寓住宅,民用,6.9,12,0.0,6380.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840212,工业二路小区,云浮,罗定,同富商业中心,,小高层,工业二路20号,111.5828809,22.77154215,,,,0,公寓住宅,民用,7.9,12,0.0,4800.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840231,盈富广场,云浮,罗定,同富商业中心,,高层,人民中路60号,111.5648574,22.77012879,,,,0,公寓住宅,民用,7.7,12,0.0,5139.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840254,兴隆楼,云浮,罗定,同富商业中心,,小高层,兴隆路,111.5750616,22.75871559,,,,0,公寓住宅,民用,7.7,12,0.0,5900.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840233,和谐家园,云浮,罗定,同富商业中心,,小高层,丽久路29号,111.568017,22.76603269,,,,0,公寓住宅,民用,8.0,12,0.0,4400.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840253,宝龙花园,云浮,罗定,同富商业中心,,高层,宝龙路68号,111.5630157,22.78853011,,,,0,公寓住宅,民用,7.1,12,0.0,5238.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840196,金汇湾,云浮,罗定,同富商业中心,,高层,沿江三路,111.5705705,22.77918274,,,,0,公寓住宅,民用,7.5,12,0.0,5524.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840255,万汇广场,云浮,罗定,同富商业中心,2016,超高层,龙华东路,111.6065281,22.7809792,,,,0,商住楼,商用,7.8,12,0.0,6396.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840256,天宝豪园,云浮,罗定,同富商业中心,,超高层,龙华东路8号,111.6016656,22.77836684,,,,0,公寓住宅,民用,7.3,12,0.0,5826.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840257,天元雅苑,云浮,罗定,同富商业中心,,高层|超高层,迎宾三路58号,111.578729,22.74958828,,,,0,公寓住宅,民用,7.2,12,0.0,6384.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840258,富豪花园,云浮,罗定,同富商业中心,,高层,龙都西路1号,111.5767403,22.76710643,,,,0,公寓住宅,民用,7.9,12,0.0,4138.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840252,东方明珠,云浮,罗定,同富商业中心,,高层|超高层,龙华东路88号,111.5965331,22.77299446,,,,0,公寓住宅,民用,7.6,12,0.0,7040.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840259,金盛花苑,云浮,罗定,同富商业中心,,多层|小高层,戏院路57号,111.5618903,22.76914469,,,,0,公寓住宅,民用,7.9,12,0.0,4277.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840261,龙岗花苑,云浮,罗定,同富商业中心,,多层|小高层,兴业路9597号,111.5877049,22.7700639,,,,0,公寓住宅,民用,7.6,12,0.0,5636.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840262,东雅苑,云浮,罗定,同富商业中心,,小高层,工业三路,111.5875754,22.77515409,,,,0,公寓住宅,民用,7.5,12,0.0,3800.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840264,阳光新城,云浮,罗定,同富商业中心,,高层,附城街道罗定第三小学旁,111.5562959,22.78996825,,,,0,公寓住宅,民用,,12,0.0,5200.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840265,东临天下(新房),云浮,罗定,同富商业中心,,高层,罗城镇新罗中往双东方向800米,111.609746,22.78480321,,,,0,公寓住宅,民用,,12,0.0,4800.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840266,锦绣新天地,云浮,罗定,同富商业中心,,高层,罗城人民南路119号（即一号货仓旁）,111.5704065,22.7668717,,,,0,公寓住宅,民用,,12,0.0,5500.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840260,豪贤花园小区,云浮,罗定,同富商业中心,,多层,南山路180号,111.5808988,22.76289347,,,,0,公寓住宅,民用,7.8,12,0.0,4875.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840251,同兴辉盛,云浮,罗定,同富商业中心,,高层,兴华一路,111.575942,22.78062686,,,,0,公寓住宅,民用,7.3,12,0.0,5674.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840250,温馨嘉园,云浮,罗定,同富商业中心,,小高层,莲池东街30号,111.5724685,22.76831496,,,,0,公寓住宅,民用,8.0,12,0.0,5308.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840249,幸福豪苑,云浮,罗定,同富商业中心,,小高层,沿江一路49号,111.5621115,22.7721623,,,,0,公寓住宅,民用,7.4,12,0.0,4729.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840234,育才花苑,云浮,罗定,同富商业中心,,高层,凤华路74号,111.5830478,22.76733369,,,,0,公寓住宅,民用,7.8,12,0.0,5295.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840235,一方御湾,云浮,罗定,同富商业中心,,高层,沿江三路,111.567832,22.78060787,,,,0,公寓住宅,民用,7.4,12,0.0,7245.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840236,太阳城广场,云浮,罗定,同富商业中心,2016,高层,大岗路45号,111.5629377,22.76147677,,,,0,公寓住宅,民用,7.6,12,0.0,6666.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840238,东晟花园,云浮,罗定,同富商业中心,,超高层,迎宾二路89号,111.5763245,22.75239669,,,,0,公寓住宅,民用,7.3,12,0.0,6477.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840240,东临国际,云浮,罗定,同富商业中心,,高层,工业三路,111.5903412,22.77931271,,,,0,公寓住宅,民用,7.2,12,0.0,5833.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840241,瑞祥花园,云浮,罗定,同富商业中心,,高层,大岗西路,111.5535583,22.75756609,,,,0,公寓住宅,民用,7.1,12,0.0,6451.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840242,侨都豪庭,云浮,罗定,同富商业中心,,高层,迎宾二路7号,111.5749162,22.75465625,,,,0,公寓住宅,民用,7.9,12,0.0,5396.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840244,农科三路小区,云浮,罗定,同富商业中心,,小高层,农科三路四号,111.5746907,22.76344006,,,,0,公寓住宅,民用,7.9,12,0.0,3400.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840245,东临天下,云浮,罗定,同富商业中心,,超高层,352省道,111.6089622,22.78498029,,,,0,商住楼,商用,7.2,12,0.0,6464.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840246,日丽花园,云浮,罗定,同富商业中心,,小高层,射箭岗83号,111.5687333,22.76658803,,,,0,公寓住宅,民用,8.0,12,0.0,3600.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840247,兴业雅苑,云浮,罗定,同富商业中心,,高层,兴业路8号,111.584781,22.77297299,,,,0,公寓住宅,民用,8.3,12,0.0,6250.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840248,德馨苑,云浮,罗定,同富商业中心,,小高层,兴华三路,111.5837294,22.75546242,,,,0,公寓住宅,民用,7.3,12,0.0,6333.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840232,中窑塘小区,云浮,罗定,同富商业中心,,小高层,园前路115号,111.5673498,22.77313146,,,,0,公寓住宅,民用,7.7,12,0.0,4900.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840195,泷江名苑,云浮,罗定,同富商业中心,,高层,泷江路86号,111.556296,22.76553189,,,,0,公寓住宅,民用,7.5,12,0.0,6582.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840177,南江明苑,云浮,罗定,同富商业中心,,多层,沿江一路,111.5621939,22.7727678,,,,0,公寓住宅,民用,7.4,12,0.0,4710.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840193,南洋花园(罗定),云浮,罗定,同富商业中心,,超高层,工业三路66号,111.5871957,22.77600531,,,,0,公寓住宅,民用,7.5,12,0.0,5797.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840165,豪贤花园,云浮,罗定,同富商业中心,,高层,龙华中路115号,111.5808988,22.76287748,,,,0,公寓住宅,民用,7.8,12,0.0,3600.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
840164,富丽小区,云浮,罗定,同富商业中心,,小高层,龙华东路,111.6046448,22.78146671,,,,0,公寓住宅,民用,7.0,12,0.0,3100.0,Guangdong,Yunfu,Luoding,Guangdong-Yunfu
