id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
221565,漓江锦府,桂林,叠彩,大河乡,2020,高层,滨北路6号,110.306653,25.31263576,2.0,30.0,,0,公寓住宅,民用,8.0,12,0.06,9457.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221579,焊防厂宿舍,桂林,叠彩,大河乡,1998,多层,圣隆路1号,110.291478,25.30994216,2.0,20.0,,128,公寓住宅,民用,7.5,12,0.0,5400.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221580,卧龙苑,桂林,叠彩,大河乡,2003,多层,环城北一路4号,110.2991242,25.30429033,2.0,10.0,,0,公寓住宅,民用,7.8,12,0.0,6140.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221581,林业设计院宿舍,桂林,叠彩,大河乡,1998,多层,北仓路5号,110.3039897,25.31822846,2.0,20.0,,64,公寓住宅,民用,7.1,12,0.0,5902.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221582,叠彩D3小区,桂林,叠彩,大河乡,2002,多层,"芳华路,近滨北路",110.3080487,25.31630101,2.0,30.0,,2050,公寓住宅,民用,7.4,12,0.0,3536.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221583,叠彩区政府宿舍,桂林,叠彩,大河乡,1998,多层,中山北路93号,110.2943457,25.30442461,2.0,20.0,,0,公寓住宅,民用,7.5,12,0.0,6041.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221584,九华小区,桂林,叠彩,芦笛路南城百货,1996,多层,九华路西一里2-4号,110.2835116,25.30292715,,20.0,,0,公寓住宅,民用,7.4,12,0.0,6200.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221585,九华路8号小区,桂林,叠彩,芦笛路南城百货,2000,多层,九华路8号,110.2859691,25.30277868,,30.0,,0,公寓住宅,民用,7.5,12,0.0,6100.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221578,新华书店宿舍,桂林,叠彩,大河乡,1998,多层,气象路2号,110.3032622,25.32189866,2.0,20.0,,49,公寓住宅,民用,7.2,12,0.0,6030.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221586,中山北路54-56号小区,桂林,叠彩,芦笛路南城百货,1994,多层,中山北路54-56号,110.293338,25.29853797,,20.0,,0,公寓住宅,民用,7.7,12,0.0,5500.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
221588,桂香里9号小区,桂林,叠彩,芦笛路南城百货,,多层,桂香里9号,110.289136,25.30295963,2.0,,,0,公寓住宅,民用,7.3,12,0.0,5300.0,Guangxi,Guilin,Diecai,Guangxi-Guilin
