id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
314479,市政管理局小区,贺州,八步,灵峰南路,,多层,建设中路41号,111.5454393,24.41649751,,,,0,公寓住宅,民用,7.9,12,0.0,4446.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314513,万兴路162号住宅楼,贺州,八步,灵峰南路,,多层,万兴路162号,111.5196293,24.415977,,,,0,公寓住宅,民用,7.2,12,0.0,2500.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314489,龙山花园,贺州,八步,灵峰南路,,多层,龙山路6312,111.5605737,24.41571519,,,,0,公寓住宅,民用,7.2,12,0.0,6695.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314488,彰泰新旺角,贺州,八步,灵峰南路,,高层,建设中路219号,111.5297693,24.41643308,,,,0,公寓住宅,民用,7.6,12,0.0,2717.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314487,审计局宿舍,贺州,八步,灵峰南路,,多层,建设中路129-1号,111.5386533,24.41695896,,,,0,公寓住宅,民用,7.4,12,0.0,4306.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314486,科学技术局宿舍,贺州,八步,灵峰南路,,多层,建设中路25号,111.5496128,24.4164767,,,,0,公寓住宅,民用,7.4,12,0.0,4780.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314480,安泰花园,贺州,八步,灵峰南路,2008,多层,西约街143号,111.5340607,24.41355217,,,,0,公寓住宅,民用,8.0,12,0.0,6410.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314472,东园小区,贺州,八步,灵峰南路,,多层,贺州大道57号,111.5666901,24.40990238,,,,0,公寓住宅,民用,7.8,12,0.0,6257.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314475,水利局宿舍,贺州,八步,灵峰南路,,多层,建设中路39号,111.5586259,24.40661563,,,,0,公寓住宅,民用,7.2,12,0.0,5454.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314485,教育局小区,贺州,八步,灵峰南路,,多层,贺州大道50号,111.5674626,24.40893138,,,,0,公寓住宅,民用,6.9,12,0.0,5500.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314476,粮油小区,贺州,八步,灵峰南路,,多层,芳林路19号,111.5276658,24.41184536,,,,0,公寓住宅,民用,7.4,12,0.0,3519.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314484,建设路3号住宅楼,贺州,八步,灵峰南路,,多层,建设路3号,111.5536093,24.41650327,,,,0,公寓住宅,民用,7.5,12,0.0,4100.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314483,建设东路8号小区,贺州,八步,灵峰南路,,多层,建设东路8号,111.5557315,24.41649493,,,,0,公寓住宅,民用,7.2,12,0.0,3000.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314482,水墨江南,贺州,八步,灵峰南路,,多层,灵峰北路62号,111.5472451,24.41230935,,,,0,公寓住宅,民用,7.7,12,0.0,3500.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
314478,党校职工宿舍,贺州,八步,灵峰南路,,多层,建设东路206号,111.5689972,24.41687418,,,,0,公寓住宅,民用,6.9,12,0.0,5232.0,Guangxi,Hezhou,Babu,Guangxi-Hezhou
