id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
521058,兴义梦乐城,黔西南,兴义,桔山片区,,高层,兴义大道,104.9143996,25.11088271,,,,0,公寓住宅,民用,7.6,12,-0.04,5348.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521375,兴源社区,黔西南,兴义,兴泰片区,,小高层,兴源街17号,104.8948108,25.08945644,,,,0,公寓住宅,民用,8.5,12,0.0,4347.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521196,马岭宿舍区,黔西南,兴义,街心花园,,多层,神奇西路39号,104.9082159,25.09857727,,,,0,公寓住宅,民用,8.4,12,-0.84,2843.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521056,万湖汇小区,黔西南,兴义,桔山片区,,高层,兴义大道,104.9152625,25.11352911,,,,0,公寓住宅,民用,7.4,12,-2.42,4610.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521086,万昌康城,黔西南,兴义,桔山片区,,高层,桔丰东路,104.9240659,25.10020125,,,,0,公寓住宅,民用,7.8,12,0.0,5000.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521087,桔山化工总厂宿舍,黔西南,兴义,桔山片区,,多层,吉祥三街52号,104.907729,25.09801253,,,,0,公寓住宅,民用,7.9,12,0.0,3000.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521088,洛克时光,黔西南,兴义,桔山片区,,高层,金笔路,104.9196442,25.10406563,,,,0,商住楼,商用,7.5,12,-0.46,5023.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521089,生态公馆,黔西南,兴义,桔山片区,,高层,桔山大道,104.9206406,25.11712215,,,,0,公寓住宅,民用,7.4,12,0.0,5274.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521090,富康国际生态城白鹭湾,黔西南,兴义,桔山片区,,高层,响水路,104.9214765,25.11870177,,,,0,公寓住宅,民用,7.0,12,-2.15,5417.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521085,富康国际生态城蔷薇岛,黔西南,兴义,桔山片区,,高层,兴义大道,104.9169285,25.1165865,,,,0,公寓住宅,民用,7.3,12,-0.04,5301.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521091,都市家园,黔西南,兴义,桔山片区,,多层|小高层,桔山路13号,104.9037321,25.09982039,,,,0,公寓住宅,民用,7.7,12,-0.53,3081.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521093,铭都公寓,黔西南,兴义,桔山片区,,高层,瑞金大道22号,104.9191292,25.10852341,,,,0,公寓住宅,民用,7.6,12,0.0,4251.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521094,金地首座,黔西南,兴义,桔山片区,,高层,瑞金路19号,104.9193637,25.10918728,,,,0,商住楼,商用,7.4,12,3.37,4042.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521095,兴义恒大滨河左岸,黔西南,兴义,桔山片区,,高层,兴义大道,104.9188582,25.12555429,,,,0,公寓住宅,民用,7.0,12,0.0,5273.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521096,世纪宏源小区,黔西南,兴义,桔山片区,,小高层,瑞金大道,104.9239756,25.11148539,,,,0,公寓住宅,民用,7.5,12,0.09,4377.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521097,融金中心,黔西南,兴义,桔山片区,,高层,桔山大道,104.9247918,25.11826556,,,,0,公寓住宅,民用,7.3,12,0.0,4600.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521098,兴郑小区,黔西南,兴义,桔山片区,,小高层|高层,碧云路1号,104.9131061,25.10236566,,,,0,公寓住宅,民用,8.2,12,0.0,3550.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521099,圣地俊园,黔西南,兴义,桔山片区,,高层,桔山路29号,104.9057608,25.09928828,,32.54,,0,公寓住宅,民用,8.2,12,0.0,4236.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521100,汇金中心,黔西南,兴义,桔山片区,,高层,桔群路,104.9168617,25.10519987,,,,0,商住楼,商用,7.5,12,0.0,6000.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521101,富康国际生态城麓榕岛一期,黔西南,兴义,桔山片区,,高层,响水路,104.9200156,25.12276564,,,,0,公寓住宅,民用,7.2,12,-0.47,6889.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521092,吉祥商住楼,黔西南,兴义,桔山片区,,多层,吉祥二街,104.9110711,25.09589465,,,,0,公寓住宅,民用,7.7,12,0.0,3000.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521195,东方广场住宅区,黔西南,兴义,街心花园,,多层,桔山大道,104.9127078,25.09490342,,,,0,公寓住宅,民用,7.6,12,0.0,3038.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521376,赣兴福苑金岸,黔西南,兴义,兴泰片区,,高层,峰林北路,104.8982702,25.07872826,,30.98,,0,公寓住宅,民用,7.6,12,0.0,3355.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521084,澳城,黔西南,兴义,桔山片区,2011,高层,桔山大道,104.9195973,25.11008108,,41.0,,0,公寓住宅,民用,8.0,12,2.43,3632.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521080,康居凤凰园,黔西南,兴义,桔山片区,,高层,桔山大道,104.9225575,25.1159087,,,,0,公寓住宅,民用,7.1,12,-0.53,4082.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521191,当代MOMA上品湾,黔西南,兴义,街心花园,,高层,平桥路,104.889725,25.05437424,,,,0,公寓住宅,民用,6.7,12,-0.9,5109.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521079,御景园小区,黔西南,兴义,桔山片区,,高层,桔山大道,104.9239386,25.11598568,,,,0,公寓住宅,民用,7.3,12,-0.77,3591.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521078,泓慷小区,黔西南,兴义,桔山片区,,高层,桔丰东路,104.9258409,25.09945825,,30.0,,0,公寓住宅,民用,7.7,12,-0.22,4007.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521077,天宸一品,黔西南,兴义,桔山片区,,高层|超高层,桔康路,104.9175788,25.11497745,,,,0,公寓住宅,民用,7.8,12,0.0,5000.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521076,义城银座,黔西南,兴义,桔山片区,,高层,桔山大道,104.9226619,25.11349296,,36.69,,0,公寓住宅,民用,7.7,12,-0.57,4213.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521192,锦峰大厦,黔西南,兴义,街心花园,,高层,向阳路2巷,104.9014485,25.09069968,,,,0,公寓住宅,民用,7.9,12,0.16,5445.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521075,施达新世纪小区,黔西南,兴义,桔山片区,,高层,瑞金北路22号,104.9219808,25.11015699,,,,0,公寓住宅,民用,7.4,12,0.28,4043.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521074,安达帝景园,黔西南,兴义,桔山片区,,高层,桔山大道,104.9239563,25.11971974,,,,0,公寓住宅,民用,7.1,12,0.44,5106.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
521073,德嘉公寓,黔西南,兴义,桔山片区,,多层|小高层,金水北路46号,104.9223074,25.09793793,,,,0,公寓住宅,民用,7.8,12,0.44,3480.0,Guizhou,Qianxinanbuyizumiaozu,Xingyi,Guizhou-Qianxinanbuyizumiaozu
