id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
886635,杭瑞小区,遵义,播州,马家湾转盘,,多层,范家堡路112号,106.8640511,27.59664151,2.0,,,120,公寓住宅,民用,6.5,12,0.0,2830.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886630,桂馨苑,遵义,播州,马家湾转盘,,高层,播雅大道,106.845446,27.57882286,2.0,,,60,公寓住宅,民用,7.3,12,0.0,4363.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886569,京腾丽景湾,遵义,播州,马家湾转盘,,高层,天池大道,106.8478387,27.58685031,2.0,,,316,公寓住宅,民用,7.6,12,1.67,5211.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886642,湖畔园林小区,遵义,播州,马家湾转盘,2002,多层|高层,龙兴街,106.8578225,27.59335045,,,,0,公寓住宅,民用,6.8,12,0.0,3150.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886641,锦龙花园,遵义,播州,马家湾转盘,2009,多层|小高层,210国道,106.8441266,27.57307925,2.0,,,96,公寓住宅,民用,6.9,12,0.0,3929.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886631,金马小区,遵义,播州,马家湾转盘,,小高层,金马路2号,106.8596424,27.59202119,2.0,,,163,公寓住宅,民用,7.1,12,0.0,3685.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886632,紫荆小区,遵义,播州,马家湾转盘,,小高层,210国道,106.844032,27.58071894,2.0,,,1046,公寓住宅,民用,7.2,12,0.0,2694.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886633,平安小区(播州),遵义,播州,马家湾转盘,,小高层,团结路15号,106.8436848,27.57987289,2.0,,,34,公寓住宅,民用,7.1,12,0.0,4663.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886639,世纪湖苑,遵义,播州,马家湾转盘,2007,高层,天池大道,106.8572741,27.58829224,2.0,,,128,公寓住宅,民用,7.6,12,0.0,3868.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886638,富贵欣园,遵义,播州,马家湾转盘,2015,超高层,遵南大道,106.8644882,27.59955238,2.0,30.0,,240,公寓住宅,民用,7.5,12,0.0,3491.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886637,佳华公寓,遵义,播州,马家湾转盘,,小高层,花园路122号,106.8516086,27.58531053,2.0,,,60,公寓住宅,民用,6.8,12,0.0,3966.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886636,枫林碧苑小区,遵义,播州,马家湾转盘,,多层,天池大道,106.852188,27.58906505,2.0,,,108,公寓住宅,民用,7.0,12,0.0,4474.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886634,小康小区,遵义,播州,马家湾转盘,,多层,龙兴街62号,106.8551103,27.58924994,2.0,,,440,公寓住宅,民用,7.1,12,0.0,3363.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886629,亿俊商住楼,遵义,播州,马家湾转盘,,多层,遵南大道867号,106.858494,27.5903948,2.0,,,48,公寓住宅,民用,6.8,12,0.0,4117.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886628,炭素厂小区,遵义,播州,马家湾转盘,,多层,龙兴街94号,106.8546848,27.59064958,2.0,,,132,公寓住宅,民用,7.3,12,0.0,3976.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886575,渝能佳苑,遵义,播州,马家湾转盘,,高层,遵南大道,106.8524222,27.58065922,2.0,31.86,,1014,公寓住宅,民用,7.6,12,-1.24,4502.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886627,龙马公寓,遵义,播州,马家湾转盘,,小高层,天池大道,106.8557192,27.58732555,,,,0,公寓住宅,民用,6.9,12,0.0,4361.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886588,南湖秋韵,遵义,播州,马家湾转盘,,高层,龙兴街,106.8578035,27.59330346,2.0,,,709,公寓住宅,民用,7.2,12,-5.89,4468.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886587,播州花园,遵义,播州,马家湾转盘,,高层,遵南大道,106.847079,27.58428075,,,,0,公寓住宅,民用,6.9,12,-0.16,5603.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886597,盛世豪庭(播州),遵义,播州,马家湾转盘,,多层,遵南大道498号,106.8445458,27.57571707,2.0,,,1685,公寓住宅,民用,7.3,12,0.0,4408.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886598,太政学林雅园,遵义,播州,马家湾转盘,2010,小高层|高层,凉水井路111号,106.8443762,27.57505114,2.0,,,0,公寓住宅,民用,7.4,12,0.0,4135.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886599,科泰博雅园,遵义,播州,马家湾转盘,,高层,庆丰路,106.8515494,27.57987372,2.0,,,216,公寓住宅,民用,8.1,12,0.0,4347.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886600,鑫泰嘉苑,遵义,播州,马家湾转盘,,小高层|高层,遵南大道,106.8601352,27.59088649,2.0,,,684,公寓住宅,民用,7.5,12,0.0,5431.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886601,丰乐未来城二期,遵义,播州,马家湾转盘,,高层,花园路,106.8487767,27.58762104,,,,0,公寓住宅,民用,7.2,12,2.99,6377.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886602,碧桂苑,遵义,播州,马家湾转盘,,小高层,遵南大道,106.8447308,27.57439016,2.0,,,192,公寓住宅,民用,7.0,12,0.0,4615.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886603,龙腾新苑,遵义,播州,马家湾转盘,,小高层,遵南大道1163号,106.8638094,27.59772056,2.0,,,99,公寓住宅,民用,6.5,12,0.0,3050.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886604,龙苑新村,遵义,播州,马家湾转盘,,小高层,遵南大道,106.8614464,27.59234773,2.0,,,288,公寓住宅,民用,7.0,12,0.0,3980.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886605,绿色农产品交易中心住宅,遵义,播州,马家湾转盘,,高层,天池大道266号,106.8509023,27.59110051,2.0,,,1362,公寓住宅,民用,7.2,12,0.0,4278.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886590,万豪世贸城,遵义,播州,马家湾转盘,,高层,遵南大道,106.857464,27.58429686,2.0,,,500,公寓住宅,民用,7.1,12,0.0,4337.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886592,紫郡苑,遵义,播州,马家湾转盘,,小高层,遵南大道,106.8468991,27.58032942,2.0,30.0,,517,公寓住宅,民用,7.2,12,0.0,5339.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886449,保利未来城市六街区,遵义,播州,保利步行街,,高层,共青二路,106.867727,27.61428306,,,,0,公寓住宅,民用,7.0,12,-0.8,5840.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886448,黔北国际汽车博览城,遵义,播州,保利步行街,,高层,遵南大道,106.869731,27.61060757,2.0,30.0,,1629,公寓住宅,民用,7.4,12,0.88,4070.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886447,东都金麟府,遵义,播州,保利步行街,,高层,共青二路,106.8691361,27.62883591,,,,0,公寓住宅,民用,7.1,12,0.12,5828.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886446,和泰嘉苑,遵义,播州,保利步行街,,高层,210国道,106.874552,27.62030404,2.0,,,448,公寓住宅,民用,7.7,12,0.8,5324.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886445,东都凯莱国际二期,遵义,播州,保利步行街,,高层,共青二路,106.8723438,27.62708131,2.0,,,1198,公寓住宅,民用,7.9,12,0.74,5979.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886444,东都凯菜国际一期,遵义,播州,保利步行街,,高层,共青一路,106.8719188,27.62593221,2.0,35.0,,1590,公寓住宅,民用,7.7,12,1.39,6437.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886443,保利未来城市四街区,遵义,播州,保利步行街,,高层,保兴东街21号,106.8691524,27.61789875,2.0,,,4911,公寓住宅,民用,7.5,12,0.27,5916.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886442,保利未来城市一街区,遵义,播州,保利步行街,,高层,共青大道,106.8660316,27.62429177,2.0,,,5412,公寓住宅,民用,7.5,12,-0.61,5330.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886596,乔欣世家,遵义,播州,马家湾转盘,2011,高层,遵南大道,106.8558836,27.5883027,2.0,,,1108,公寓住宅,民用,7.7,12,0.0,4561.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886441,保利未来城市二街区,遵义,播州,保利步行街,,高层,播州区龙坑一路,106.8699976,27.62149705,2.0,,,5425,公寓住宅,民用,7.5,12,0.27,5587.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886440,保利未来城市,遵义,播州,保利步行街,2013,小高层|高层|超高层,"龙坑一路,近共青二路",106.8661732,27.61683169,2.0,,,7134,公寓住宅,民用,7.8,12,-1.51,5601.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886595,亿竣阳光城(北区),遵义,播州,马家湾转盘,,小高层|高层,210国道,106.8575387,27.59049496,2.0,,,557,公寓住宅,民用,7.4,12,0.0,4031.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886594,龙湖富春居,遵义,播州,马家湾转盘,,高层,遵南大道,106.8512669,27.58494863,2.0,,,198,公寓住宅,民用,7.4,12,0.0,5000.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886593,桂花小区,遵义,播州,马家湾转盘,,小高层,210国道,106.8433277,27.57367974,2.0,,,205,公寓住宅,民用,6.9,12,0.0,3923.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
