id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
164412,万豪欧尚广场,儋州,那大,那大城区,,小高层,龙门路2号,109.5565419,19.52099477,,,,0,公寓住宅,民用,7.4,12,0.0,8000.0,Hainan,Danzhou,,Hainan-Danzhou
274498,京艺源,海口,海口周边,儋州,2017,高层,龙门路,109.5544027,19.51262262,,37.05,,0,公寓住宅,民用,8.0,12,0.0,9375.0,Hainan,Danzhou,,Hainan-Danzhou
274499,南京路86号小区,海口,海口周边,儋州,,多层,南京路86号,109.5640007,19.52975978,,,,0,公寓住宅,民用,,12,0.0,7200.0,Hainan,Danzhou,,Hainan-Danzhou
274500,人民东路自建房,海口,海口周边,儋州,,多层,人民东路,109.5903428,19.51616457,,,,0,,暂无,,12,,,Hainan,Danzhou,,Hainan-Danzhou
274501,康润花园小区,海口,海口周边,儋州,,多层,中兴大街,109.5880906,19.52102141,,,,0,公寓住宅,民用,7.6,12,0.0,9000.0,Hainan,Danzhou,,Hainan-Danzhou
274495,碧桂园西部中心,海口,海口周边,儋州,,高层,伏波东路,109.5849583,19.53224185,,,,0,商住楼,商用,7.7,12,0.0,8545.0,Hainan,Danzhou,,Hainan-Danzhou
274503,新世界花园小区,海口,海口周边,儋州,,小高层,繁华路,109.5897699,19.51973574,,,,0,公寓住宅,民用,7.5,12,0.0,9600.0,Hainan,Danzhou,,Hainan-Danzhou
164471,和信经典花园(别墅),儋州,那大,那大城区,2018,低层,"中兴大街,近龙门路",109.5535511,19.51981574,,45.0,,0,别墅,民用,8.0,12,0.0,9100.0,Hainan,Danzhou,,Hainan-Danzhou
274504,新世纪花园小区,海口,海口周边,儋州,,小高层,繁华路,109.5917011,19.52171035,,,,0,公寓住宅,民用,7.4,12,0.0,9700.0,Hainan,Danzhou,,Hainan-Danzhou
274505,富龙小区,海口,海口周边,儋州,,小高层,中兴大街2-8号,109.5649125,19.52009519,,,,0,公寓住宅,民用,7.8,12,0.0,7000.0,Hainan,Danzhou,,Hainan-Danzhou
164472,正恒帝景,儋州,那大,那大城区,2016,小高层|高层,"美迎路,近那洋路",109.6034029,19.52695259,,40.0,,0,公寓住宅,民用,7.9,12,-0.88,8448.0,Hainan,Danzhou,,Hainan-Danzhou
274507,松涛管理局大院,海口,海口周边,儋州,,小高层,人民中路2号,109.5730757,19.51529717,,,,0,公寓住宅,民用,8.2,12,0.0,9000.0,Hainan,Danzhou,,Hainan-Danzhou
274487,碧桂园宝岛上城,海口,海口周边,儋州,,多层,宝岛路,109.5398696,19.52702049,,25.0,,0,商住楼,商用,7.1,12,0.0,7540.0,Hainan,Danzhou,,Hainan-Danzhou
274488,富力阅山湖,海口,海口周边,儋州,,高层,"中兴大街,近云月路",109.5324309,19.5206206,,40.0,,0,公寓住宅,民用,7.2,12,0.0,6899.0,Hainan,Danzhou,,Hainan-Danzhou
274489,鸿信南茶御景,海口,海口周边,儋州,,高层,万福西路,109.5713764,19.50421325,,,,0,公寓住宅,民用,7.7,12,0.0,8532.0,Hainan,Danzhou,,Hainan-Danzhou
274491,融创森海西岸汇,海口,海口周边,儋州,,高层,迎宾大道,109.5947949,19.53449509,,,,0,商住楼,商用,7.4,12,0.0,6666.0,Hainan,Danzhou,,Hainan-Danzhou
274510,林业总公司大院,海口,海口周边,儋州,,小高层,人民中路309号,109.5647866,19.51422685,,,,0,公寓住宅,民用,8.0,12,0.0,8200.0,Hainan,Danzhou,,Hainan-Danzhou
164493,伟业西城国际,儋州,那大,那大城区,2012,高层,兰洋北路,109.5863273,19.53751723,,45.0,,0,公寓住宅,民用,7.8,12,0.0,7529.0,Hainan,Danzhou,,Hainan-Danzhou
164494,世茂天城,儋州,那大,那大城区,2012,高层,兰洋北路,109.586867,19.53680942,,40.0,,0,公寓住宅,民用,8.2,12,0.0,8205.0,Hainan,Danzhou,,Hainan-Danzhou
164495,和风雅筑,儋州,那大,那大城区,,高层,中心大街,109.6042785,19.5232083,,35.0,,0,公寓住宅,民用,7.5,12,0.0,6400.0,Hainan,Danzhou,,Hainan-Danzhou
164496,尚德花果庄园,儋州,那大,那大城区,,高层,迎宾大道,109.5832467,19.54253093,,40.0,,0,公寓住宅,民用,7.4,12,0.0,7000.0,Hainan,Danzhou,,Hainan-Danzhou
