id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
306161,天凯装饰材料城,怀化,鹤城,河西经开区,,多层,舞阳大道468号,109.9419321,27.54230187,,,,0,公寓住宅,民用,7.9,12,0.0,3571.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306134,步步高中环广场,怀化,鹤城,城中,,高层,"人民北路,近广寒宫巷",109.9664844,27.55550224,,22.9,,0,公寓住宅,民用,8.2,12,0.0,5323.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306133,智旺鑫村,怀化,鹤城,城中,,多层,鹤洲南路85号,109.9675079,27.55176405,,,,0,公寓住宅,民用,8.2,12,0.0,4247.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306132,汇壹城,怀化,鹤城,城中,2018,高层,红星北路,109.9771401,27.55730602,,35.48,,0,公寓住宅,民用,8.3,12,0.0,4677.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306172,新怡景天小区,怀化,鹤城,河西经开区,,多层,政通路,109.9421079,27.54442905,,,,0,公寓住宅,民用,7.6,12,0.0,4270.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306162,金口岸,怀化,鹤城,河西经开区,2019,高层,舞阳大道998号,109.9386557,27.52968786,,22.5,,0,公寓住宅,民用,8.1,12,0.18,5834.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306173,针织厂小区,怀化,鹤城,河西经开区,,多层,天星路318号,109.9603532,27.54345266,,,,0,公寓住宅,民用,8.0,12,0.0,5068.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306131,怀化市建筑设计研究院生活区,怀化,鹤城,城中,,多层,莲花池巷5号,109.9849321,27.55541081,,,,0,公寓住宅,民用,7.4,12,0.0,4834.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306130,牡丹富贵花园,怀化,鹤城,城中,,多层,香洲路262号,109.9886267,27.54641983,,,,0,公寓住宅,民用,7.7,12,0.0,4445.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306174,万通滨江广场,怀化,鹤城,河西经开区,,高层,"天星中路,近沿河路",109.9595848,27.53883438,,,,0,公寓住宅,民用,8.1,12,0.0,5391.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306175,火电厂家属区,怀化,鹤城,河西经开区,,多层,天星中路,109.9604274,27.53988059,,,,0,公寓住宅,民用,7.9,12,0.0,4795.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306177,舞阳新苑,怀化,鹤城,河西经开区,,小高层,舞阳大道,109.9407178,27.53468906,,,,0,公寓住宅,民用,7.3,12,0.0,3900.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306160,天凯综合大市场,怀化,鹤城,河西经开区,,多层,黄家山路160号,109.9374128,27.53885683,,,,0,公寓住宅,民用,7.8,12,0.0,4305.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306176,鑫源步行街小区,怀化,鹤城,河西经开区,,高层,政通路,109.9437772,27.54249807,,,,0,公寓住宅,民用,7.8,12,0.0,4500.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306165,隆平名苑,怀化,鹤城,河西经开区,,高层,环城路,109.935818,27.53313172,,,,0,公寓住宅,民用,7.6,12,0.0,4794.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306135,锦星苑,怀化,鹤城,城中,,多层,锦园路182号,109.9788395,27.54837016,,,,0,公寓住宅,民用,8.0,12,0.0,4590.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306163,桐冲,怀化,鹤城,河西经开区,,多层,怀北路,109.9599464,27.56677585,,,,0,公寓住宅,民用,7.9,12,0.01,4893.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306159,弘创中华城,怀化,鹤城,河西经开区,,多层,德善路102号,109.9510516,27.54195628,,,,0,公寓住宅,民用,7.9,12,-0.43,5391.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306171,河西商贸城,怀化,鹤城,河西经开区,,多层,舞阳大道,109.9462139,27.54763951,,,,0,公寓住宅,民用,8.1,12,0.0,3572.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306166,怀化中国轻纺城,怀化,鹤城,河西经开区,,多层,"神龙路,近金都路",109.939111,27.54148521,,,,0,公寓住宅,民用,7.8,12,0.0,3369.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306169,怀电新苑,怀化,鹤城,河西经开区,,多层|高层,神龙路222号,109.9515504,27.53512944,,,,0,公寓住宅,民用,7.6,12,0.0,4704.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306147,宏宇新城凯瑞名门(新房),怀化,鹤城,城中,,高层,怀化市鹤城区顺天大道宏宇小学东南侧约40米,110.0029127,27.55315183,,,,0,公寓住宅,民用,,12,0.0,7000.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306148,金为·潇湘锦城,怀化,鹤城,城中,,小高层|高层,怀化市湖天南路与刘塘路交汇处,109.9823792,27.5319078,,,,0,公寓住宅,民用,,12,0.0,5200.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306150,天星华府(新房),怀化,鹤城,城中,,高层,天星东路与湖天大道交汇处西北角,109.9808486,27.54012028,,,,0,公寓住宅,民用,,12,0.0,5600.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306151,嘉鸿天街（榆园）商业+住宅,怀化,鹤城,城中,,高层,鹤州北路中段嘉鸿天街营销中心,109.9607312,27.54910657,,,,0,公寓住宅,民用,,12,0.0,5450.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306152,在水一方,怀化,鹤城,河西经开区,,高层,沿河西路72号,109.9460274,27.55188244,,,,0,公寓住宅,民用,8.0,12,-0.66,4836.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306153,紫园别墅,怀化,鹤城,河西经开区,,低层,"滨江路,近天星西路",109.9499035,27.53267587,,,,0,别墅,民用,8.0,12,-0.54,6086.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306138,国土公寓,怀化,鹤城,城中,,多层,玉溪路96号,109.9764352,27.54929238,,,,0,公寓住宅,民用,8.1,12,0.0,3988.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
306145,步步高?中环广场,怀化,鹤城,城中,,多层|小高层|高层,迎丰西路与人民西路交汇处西南角,109.9668287,27.55602486,,,,0,公寓住宅,民用,,12,0.0,6500.0,Hunan,Huaihua,Hecheng,Hunan-Huaihua
