id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
560927,县后街小区(常熟),上海,上海周边,苏州,,低层,县后街,120.7407411,31.64693132,,,,0,别墅,民用,6.0,12,,30000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560952,珠江路246号小区,上海,上海周边,苏州,,多层,珠江路246号,120.7421324,31.66672042,,,,0,公寓住宅,民用,6.0,12,,17500.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560878,铁琴雅苑,上海,上海周边,苏州,,多层,铁琴北街,120.8437296,31.63695667,,,,0,公寓住宅,民用,6.0,12,,10000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592272,洪泾里南,苏州,常熟,市区,2015,多层,琴湖路,120.7620986,31.64827979,2.0,30.0,,161,公寓住宅,民用,8.0,12,0.0,14347.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592284,菱塘北路小区,苏州,常熟,市区,2000,多层,菱塘北路10号,120.7374221,31.65814794,,30.0,,154,公寓住宅,民用,7.4,12,0.0,16826.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592204,琴枫苑金菊居,苏州,常熟,市区,2011,多层,华山路,120.7462724,31.68120226,2.0,32.0,164500.0,436,公寓住宅,民用,8.3,12,0.0,17571.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592283,衡山路60-3号小区,苏州,常熟,市区,2001,多层,衡山路60-3号,120.7575469,31.6652866,,30.0,,108,公寓住宅,民用,7.5,12,0.0,22879.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592282,陆家弄小区,苏州,常熟,市区,2009,多层,珠江路293号,120.7370881,31.66447479,,30.0,,0,公寓住宅,民用,7.6,12,0.0,16000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560928,小塔前小区,上海,上海周边,苏州,,多层,学前街,120.7404389,31.64145818,,,,0,公寓住宅,民用,6.0,12,,22000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592206,琴湖新村三区,苏州,常熟,市区,2013,多层,新颜路,120.7598844,31.64647431,2.0,32.0,,410,公寓住宅,民用,7.8,12,0.0,14350.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592281,望山居,苏州,常熟,市区,2000,多层,黄河路259号,120.7375628,31.67749279,,30.0,,172,公寓住宅,民用,7.4,12,0.0,28528.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592280,凤凰城(常熟),苏州,常熟,市区,2014,高层,新世纪大道77号,120.7672724,31.66929222,,41.0,,0,商住楼,商用,8.0,12,0.0,11934.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592275,丽江苑,苏州,常熟,市区,2011,多层,长江路286号,120.7448657,31.67231308,2.0,32.0,,104,公寓住宅,民用,8.4,12,0.0,23534.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592208,湘江苑,苏州,常熟,市区,2012,多层,湘江东路211号,120.7449196,31.66229741,2.0,35.0,,333,公寓住宅,民用,8.1,12,0.0,18666.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592279,清枫和院(别墅),苏州,常熟,市区,2003,低层,李闸路78-104号,120.7452402,31.66021467,,50.0,,0,别墅,民用,8.0,12,0.0,36076.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592276,润欣花园(别墅),苏州,常熟,市区,2010,低层,黄河路,120.7674467,31.67604155,,50.0,,0,别墅,民用,7.9,12,0.0,26785.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592205,中江凯悦,苏州,常熟,市区,2006,多层|高层,汇文路1号,120.7726106,31.65809924,2.0,30.0,,312,公寓住宅,民用,7.4,12,0.0,14857.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560949,江南大厦,上海,上海周边,苏州,,高层,琴湖路37号,120.7518523,31.63784483,,,,0,商住楼,商用,6.0,12,,8000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560948,漕泾新村六区(别墅),上海,上海周边,苏州,,低层,珠江路,120.7588628,31.66742669,,,,0,别墅,民用,6.0,12,,22000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560947,虞山北路296号小区,上海,上海周边,苏州,,多层,虞山北路296号,120.7261693,31.66925398,,,,0,公寓住宅,民用,6.0,12,,19000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592273,枫泾新村(四区12-19幢),苏州,常熟,市区,2004,多层,枫泾路,120.7481972,31.64994404,2.0,30.0,,147,公寓住宅,民用,8.1,12,0.0,23393.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592274,金昌居,苏州,常熟,市区,2000,多层,东胜街8997号,120.7405162,31.65347354,2.0,30.0,,211,公寓住宅,民用,8.0,12,0.0,23200.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592277,常熟中南世纪城(别墅),苏州,常熟,市区,2011,低层,泰山南路,120.7660244,31.65797877,,50.0,,0,别墅,民用,7.9,12,0.0,25555.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592207,菱塘北村,苏州,常熟,市区,1998,多层,报慈南路37号,120.7388192,31.65842108,2.0,35.0,,1422,公寓住宅,民用,7.8,12,-8.15,15974.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592278,世茂75号公馆,苏州,常熟,市区,2013,超高层,"新世纪大道,近珠江东路",120.7668492,31.66781765,2.0,13.0,,1818,商住楼,商用,7.8,12,0.0,8510.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592201,报慈南村(二区),苏州,常熟,市区,2015,多层,报慈南路,120.7390876,31.66098866,2.0,35.0,,518,公寓住宅,民用,8.1,12,0.0,18823.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560953,金山苑五区,上海,上海周边,苏州,,多层,富泰路,120.7797355,31.64045938,,,,0,公寓住宅,民用,6.0,12,,18000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560968,七弦河小区,上海,上海周边,苏州,,多层,环城北路,120.7391142,31.65329638,,,,0,公寓住宅,民用,6.5,12,,17000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560969,庙弄自建房,上海,上海周边,苏州,,低层,西门大街,120.7344234,31.64544893,,,,0,,暂无,,12,,,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592293,清和坊(别墅),苏州,常熟,市区,2014,低层,东胜街,120.7433114,31.65174329,,50.0,,0,别墅,民用,8.0,12,0.0,24250.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560970,陈家市自建房,上海,上海周边,苏州,,低层,花园浜路,120.7451849,31.6375442,,,,0,,暂无,,12,,,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592294,美墅馆,苏州,常熟,市区,2016,低层,虞山北路41号,120.7337984,31.65986267,,30.91,,0,别墅,民用,7.7,12,0.0,36363.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560971,枫林路152号小区,上海,上海周边,苏州,,多层,枫林路152号,120.7406159,31.65909822,,,,0,公寓住宅,民用,7.0,12,,16000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560973,鸽球公寓,上海,上海周边,苏州,,多层,招商东路,120.7477672,31.63077799,,,,0,公寓住宅,民用,7.1,12,,10500.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592295,世茂世纪中心(别墅),苏州,常熟,市区,2014,低层,新世纪大道,120.7654323,31.66373338,,50.0,,0,别墅,民用,7.8,12,0.0,23995.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560967,颜港七弄小区,上海,上海周边,苏州,,多层,颜港七弄,120.7471063,31.64774216,,,,0,公寓住宅,民用,6.5,12,,16000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592297,雅兰美地庄园,苏州,常熟,市区,2005,低层,黄河路278号,120.7260673,31.6747371,,40.0,,0,别墅,民用,7.4,12,0.0,54687.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560976,王家弄小区(常熟),上海,上海周边,苏州,,多层,王家弄,120.7493149,31.64998417,,,,0,公寓住宅,民用,7.2,12,,15000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592194,报慈北村(二区),苏州,常熟,市区,2002,多层,"珠江路,近报慈南路",120.7382177,31.6644601,2.0,30.0,,414,公寓住宅,民用,8.1,12,-5.3,18034.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592298,海上一品(别墅),苏州,常熟,市区,2002,低层,勤丰路88号,120.7538313,31.68330526,,50.0,,0,别墅,民用,7.6,12,0.0,25000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592299,桃源小区,苏州,常熟,市区,2015,低层,桃源涧南弄,120.7335298,31.65724079,,30.0,,1,别墅,民用,7.7,12,0.0,32777.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592300,棠悦名筑(新房),苏州,常熟,市区,,小高层|高层,金润路与杨虹路交叉路口往西南约50米(金润家园),120.7826269,31.67911404,,,,0,公寓住宅,民用,,12,0.0,20000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592296,衡山花园,苏州,常熟,市区,2008,低层,闽江东路,120.7592014,31.66898955,,40.0,,0,别墅,民用,7.6,12,0.0,27692.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592285,泰安街下塘小区,苏州,常熟,市区,2006,多层,泰安街,120.7503759,31.65153011,,30.0,,156,公寓住宅,民用,7.7,12,0.0,16835.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592292,枫林路15号小区,苏州,常熟,市区,2012,多层,枫林路15号,120.7405144,31.65919437,2.0,30.0,,92,公寓住宅,民用,7.8,12,0.0,20000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592195,五星新村二区,苏州,常熟,市区,1992,多层,湘江东路,120.7484767,31.66143417,2.0,23.0,,655,公寓住宅,民用,7.7,12,0.0,19115.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560954,蜂蚁村新联园,上海,上海周边,苏州,,低层,联新路,120.6643657,31.70294755,,,,0,,暂无,,12,,,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592203,琴湖新村四区,苏州,常熟,市区,2010,多层,琴湖路,120.7630205,31.64924146,2.0,32.0,,241,公寓住宅,民用,7.9,12,0.0,16615.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592202,创富世纪南苑,苏州,常熟,市区,2008,多层|高层,珠江东路,120.7668651,31.66666096,2.0,60.0,,758,公寓住宅,民用,8.1,12,0.0,18456.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560956,前漕泾小区,上海,上海周边,苏州,,多层,衡山路,120.760318,31.6604377,,,,0,公寓住宅,民用,6.0,12,,18000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592200,金湾名悦雅苑,苏州,常熟,市区,2004,高层,"东环河,近常昆路",120.773789,31.61093515,,30.0,,792,公寓住宅,民用,7.3,12,-2.24,16651.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592286,新加坡中心花园(南区别墅),苏州,常熟,市区,2001,低层,长江路89号,120.7581149,31.67123468,,50.0,,0,别墅,民用,7.7,12,0.0,52272.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592287,梅园山庄,苏州,常熟,市区,2008,低层,虞山北路,120.728421,31.66594232,,33.0,,0,别墅,民用,7.7,12,0.0,51217.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592291,佳和广场,苏州,常熟,市区,1998,小高层,黄河路777号,120.7347216,31.67720438,2.0,20.0,,351,商住楼,商用,7.6,12,0.0,8000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592199,报慈新村(三区),苏州,常熟,市区,2016,多层,"报慈南路,近湘江西路",120.7373248,31.66163106,2.0,30.0,,294,公寓住宅,民用,8.2,12,0.0,18317.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592198,锦湖花园,苏州,常熟,市区,2012,多层,泰山北路198号,120.7627178,31.6824913,2.0,35.0,14845.0,722,公寓住宅,民用,7.8,12,0.0,24406.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592197,琴枫苑雪梅居,苏州,常熟,市区,2014,多层,李闸路,120.7435158,31.68150885,2.0,30.0,,410,公寓住宅,民用,8.1,12,0.0,18728.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560958,北角弄,上海,上海周边,苏州,,多层,枫林路,120.7370614,31.65928478,,,,0,公寓住宅,民用,6.4,12,,16000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592288,石屋小区,苏州,常熟,市区,2008,低层,中山南路,120.7283029,31.66230943,,30.0,,0,别墅,民用,7.7,12,0.0,22222.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592289,汇丰时代广场,苏州,常熟,市区,2012,高层,黄河路22号,120.7514215,31.67892568,2.0,30.0,,1250,商住楼,商用,7.9,12,0.0,8444.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592196,创富世纪北苑,苏州,常熟,市区,2012,多层|高层,闽江东路,120.7663331,31.6687457,2.0,45.0,,495,公寓住宅,民用,8.1,12,-0.49,17645.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560959,常熟城市花园(商住楼),上海,上海周边,苏州,,高层,李闸路160号,120.7451832,31.66671094,,,,0,商住楼,商用,6.0,12,,15000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592290,时风国际广场,苏州,常熟,市区,2015,高层,海虞南路62号,120.7534231,31.64672935,2.0,30.0,,0,商住楼,商用,7.8,12,0.0,5614.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
560880,佳和大厦,上海,上海周边,苏州,,多层,商城东路118号,120.7436798,31.62209222,,,,0,公寓住宅,民用,6.0,12,,6000.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592271,裕坤国贸广场,苏州,常熟,市区,2005,超高层,珠江路187号,120.7519093,31.66657964,2.0,15.0,,444,公寓住宅,民用,7.9,12,0.0,17410.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592243,颜港北村三区,苏州,常熟,市区,2001,多层,"颜港街,近里颜港",120.7494638,31.64631069,2.0,30.0,,562,公寓住宅,民用,7.9,12,0.0,14936.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
592244,永泰田听枫园,苏州,常熟,市区,2010,多层,枫林路2号,120.7577028,31.65956657,2.0,35.0,,364,公寓住宅,民用,8.2,12,0.0,26579.0,Jiangsu,Suzhou,Changshu,Jiangsu-Suzhou
