id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
331919,阿里山花园,吉林,昌邑,解放北路,2004,多层|高层,辽宁路16号,126.5796179,43.85613256,1.0,20.0,,985,公寓住宅,民用,8.2,12,-0.41,5983.0,Jilin,Jilin,Changyi,Jilin-Jilin
331920,锦东世纪新村,吉林,昌邑,解放北路,2003,多层|高层,上海路78号,126.5776918,43.84605049,1.0,30.0,,600,公寓住宅,民用,8.5,12,-2.62,5739.0,Jilin,Jilin,Changyi,Jilin-Jilin
331915,鸿博花园,吉林,昌邑,解放北路,1996,多层|高层,解放北路159号,126.5801182,43.86821889,1.0,20.0,,1534,公寓住宅,民用,7.9,12,-0.55,6022.0,Jilin,Jilin,Changyi,Jilin-Jilin
331914,鸿博景园,吉林,昌邑,解放北路,1995,多层,解放北路,126.5848162,43.86326184,1.0,20.0,,2420,公寓住宅,民用,7.9,12,-0.96,8220.0,Jilin,Jilin,Changyi,Jilin-Jilin
331909,西山造纸厂宅,吉林,昌邑,十一中,2006,多层,莲山路,126.5554656,43.87037702,1.0,30.0,,1019,公寓住宅,民用,8.4,12,-0.26,6227.0,Jilin,Jilin,Changyi,Jilin-Jilin
331913,德威御园,吉林,昌邑,解放北路,2001,多层|高层,解放北路,126.5779965,43.85980641,1.0,15.0,,1783,公寓住宅,民用,8.3,12,-1.84,6955.0,Jilin,Jilin,Changyi,Jilin-Jilin
331908,西山小区,吉林,昌邑,十一中,2000,多层|高层,运河路,126.5563249,43.86102971,1.0,30.0,,864,公寓住宅,民用,8.5,12,0.07,5507.0,Jilin,Jilin,Changyi,Jilin-Jilin
331916,通潭西区(一二期),吉林,昌邑,解放北路,2000,多层|高层,通谭大路65-10号(旧:解放北路49号),126.5755161,43.88121273,1.0,30.0,,5304,公寓住宅,民用,8.0,12,-0.17,6644.0,Jilin,Jilin,Changyi,Jilin-Jilin
331912,万达江畔人家,吉林,昌邑,解放北路,1995,多层|高层,解放北路290号,126.5852208,43.85976798,1.0,20.0,,2698,公寓住宅,民用,8.0,12,0.22,8145.0,Jilin,Jilin,Changyi,Jilin-Jilin
331911,城际回迁东区,吉林,昌邑,十一中,2010,多层,通江路40-3号,126.5651364,43.87337655,,30.0,,0,公寓住宅,民用,7.9,12,0.0,6438.0,Jilin,Jilin,Changyi,Jilin-Jilin
331910,筑石快乐公馆,吉林,昌邑,十一中,2011,多层|高层,吉林大街345号,126.563174,43.86913623,1.0,30.0,,946,公寓住宅,民用,8.3,12,-3.56,9071.0,Jilin,Jilin,Changyi,Jilin-Jilin
331918,中东凯悦公馆,吉林,昌邑,解放北路,2001,多层|高层,珲春中街,126.52929,43.86749063,1.0,30.0,,810,公寓住宅,民用,8.0,12,-1.83,7212.0,Jilin,Jilin,Changyi,Jilin-Jilin
331921,通潭东区,吉林,昌邑,解放北路,2000,多层|高层,解放北路10号,126.5823888,43.88226421,1.0,30.0,,2227,公寓住宅,民用,7.9,12,0.0,6578.0,Jilin,Jilin,Changyi,Jilin-Jilin
331917,尚都东郡,吉林,昌邑,解放北路,1995,多层|高层,解放北路161号,126.5799679,43.86344261,1.0,40.0,,1682,公寓住宅,民用,8.1,12,0.0,7315.0,Jilin,Jilin,Changyi,Jilin-Jilin
331884,沈铁幸福里,吉林,昌邑,十一中,1998,多层|高层,中兴街,126.5676312,43.86975646,1.0,30.0,,4012,公寓住宅,民用,8.3,12,-0.24,7452.0,Jilin,Jilin,Changyi,Jilin-Jilin
331906,新建北区,吉林,昌邑,十一中,2006,多层,"雾凇东路,近中兴街",126.5647356,43.86656214,,30.0,,120,公寓住宅,民用,8.3,12,0.78,5900.0,Jilin,Jilin,Changyi,Jilin-Jilin
332248,恒利一号楼,吉林,昌邑,造纸厂,1997,多层,中兴街119-5号,126.567935,43.88306512,,20.0,,60,公寓住宅,民用,7.4,12,0.0,4666.0,Jilin,Jilin,Changyi,Jilin-Jilin
331922,锦东花园,吉林,昌邑,解放北路,2000,小高层|高层,维昌街,126.5892132,43.85016672,1.0,30.0,,796,公寓住宅,民用,7.7,12,-1.88,5486.0,Jilin,Jilin,Changyi,Jilin-Jilin
332450,朝阳和平住宅楼,吉林,船营,水门洞,2005,多层,和平路,126.5183352,43.87154385,1.0,30.0,,204,公寓住宅,民用,7.1,12,0.0,4900.0,Jilin,Jilin,Changyi,Jilin-Jilin
331883,卢瓦尔小镇,吉林,昌邑,十一中,2015,多层|高层,雾凇路369号,126.5456531,43.86796878,,50.0,,5515,公寓住宅,民用,8.2,12,-0.47,8103.0,Jilin,Jilin,Changyi,Jilin-Jilin
331885,幸福一区(昌邑),吉林,昌邑,十一中,2005,多层|高层,哈达湾街,126.5545401,43.87650266,1.0,30.0,,1722,公寓住宅,民用,8.1,12,-2.48,5814.0,Jilin,Jilin,Changyi,Jilin-Jilin
331886,筑石红,吉林,昌邑,十一中,2007,多层|高层,幸福路,126.5416809,43.87506887,1.0,30.0,,1980,公寓住宅,民用,7.9,12,0.0,8324.0,Jilin,Jilin,Changyi,Jilin-Jilin
331887,鸿博颐景花园,吉林,昌邑,十一中,2012,多层,雾凇中路,126.5536792,43.86657955,1.0,35.0,,2871,公寓住宅,民用,8.4,12,-0.4,7389.0,Jilin,Jilin,Changyi,Jilin-Jilin
331888,幸福馨苑,吉林,昌邑,十一中,2010,多层|高层,林荫路,126.5525714,43.87125997,1.0,30.0,,1186,公寓住宅,民用,8.4,12,-1.0,7080.0,Jilin,Jilin,Changyi,Jilin-Jilin
331889,朝阳鸿祥苑,吉林,昌邑,十一中,2012,多层,雾凇中路,126.5556738,43.86667043,1.0,30.0,,1154,公寓住宅,民用,8.5,12,0.47,7183.0,Jilin,Jilin,Changyi,Jilin-Jilin
331890,铁成骊景花园,吉林,昌邑,十一中,2005,多层|高层,铁西路,126.5569096,43.87172849,1.0,30.0,,921,公寓住宅,民用,8.3,12,3.43,6250.0,Jilin,Jilin,Changyi,Jilin-Jilin
332513,绣山苑,吉林,船营,柴草市,2012,多层,珲春北街,126.5474952,43.85720371,1.0,30.0,,574,公寓住宅,民用,8.2,12,-0.16,5070.0,Jilin,Jilin,Changyi,Jilin-Jilin
331891,乾丰园,吉林,昌邑,十一中,2000,多层|高层,铁西路,126.559652,43.86839034,1.0,30.0,,3042,公寓住宅,民用,8.1,12,-0.27,6018.0,Jilin,Jilin,Changyi,Jilin-Jilin
