id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
640959,澳达世纪家园,四平,公主岭,公主岭城区,,多层,南环城街,124.8227488,43.49519387,,,,0,公寓住宅,民用,7.8,12,0.0,2300.0,Jilin,Siping,Gongzhuling,Jilin-Siping
118010,金叶小区,长春,长春周边,公主岭,,多层,新风街,124.7779626,43.48366391,,,,0,公寓住宅,民用,7.0,12,0.0,5384.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117979,园丁花园,长春,长春周边,公主岭,,多层,河南大街,124.8227677,43.50233782,,,,0,公寓住宅,民用,7.5,12,0.0,4767.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117978,若仙小区,长春,长春周边,公主岭,,多层,公主大街,124.8037309,43.50088661,,,,0,公寓住宅,民用,7.6,12,0.0,2900.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117977,良园小区,长春,长春周边,公主岭,,多层,工业大街769号,124.8274442,43.51306121,,,,0,公寓住宅,民用,7.3,12,0.0,2250.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117975,实验家园,长春,长春周边,公主岭,,多层,公主大街,124.774004,43.48599212,,,,0,公寓住宅,民用,7.3,12,0.0,4350.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117974,岭平花园,长春,长春周边,公主岭,,多层,"科贸大街,近雄鹰路(旧:铁北街)",124.8075226,43.5111149,,,,0,公寓住宅,民用,7.5,12,0.0,3000.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117972,吉通花园,长春,长春周边,公主岭,,多层,公主西大街1345号,124.7960547,43.49659777,,,,0,公寓住宅,民用,7.4,12,0.0,7647.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117970,金地名苑,长春,长春周边,公主岭,,多层,"国文大街,近岭西四路",124.7850682,43.48295606,,,,0,公寓住宅,民用,7.0,12,0.0,10000.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117969,澜洋豪庭,长春,长春周边,公主岭,,多层|高层,南环城街,124.8201328,43.49627151,,,,0,公寓住宅,民用,7.6,12,0.0,2950.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117968,丰润嘉园,长春,长春周边,公主岭,,多层,公主大街,124.7706223,43.48406799,,,,0,公寓住宅,民用,6.7,12,0.0,7438.0,Jilin,Siping,Gongzhuling,Jilin-Siping
117980,利华富苑,长春,长春周边,公主岭,,多层|高层,怀德大街南100米,124.7864438,43.49064049,,,,0,公寓住宅,民用,7.3,12,0.0,3550.0,Jilin,Siping,Gongzhuling,Jilin-Siping
