id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
694191,大禹城邦(东昌),通化,东昌,万达广场,,多层|高层,"滨江南路,近303国道",125.9179004,41.70235235,,,,0,公寓住宅,民用,7.5,12,-0.52,6984.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694186,丽景人家(三期),通化,东昌,万达广场,2015,多层,新华大街,125.9122802,41.70931066,,40.0,,0,公寓住宅,民用,8.3,12,2.03,7871.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694181,厚德载物花园,通化,东昌,万达广场,2016,多层|高层,303国道,125.9167415,41.69586446,,35.0,,0,公寓住宅,民用,7.6,12,0.27,7079.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694182,江南小镇,通化,东昌,万达广场,,多层,集锡线,125.9330638,41.68590822,,,,0,公寓住宅,民用,6.9,12,2.48,7698.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694183,波尔多小镇,通化,东昌,万达广场,,多层|高层,"名城南路,近江慧路",125.936385,41.70227583,,,,0,公寓住宅,民用,7.5,12,-0.62,7577.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694184,高力御景首府,通化,东昌,万达广场,,多层|高层,"江慧路,近名城南路",125.9354511,41.71018784,,,,0,公寓住宅,民用,7.8,12,-1.29,6711.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694185,碧水豪庭,通化,东昌,万达广场,,高层,滨江西路5299号,125.9231599,41.71011027,,,,0,公寓住宅,民用,8.1,12,1.22,7007.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694190,碧桂园十里江南,通化,东昌,万达广场,,多层,滨江南路,125.9172935,41.69784742,,,,0,公寓住宅,民用,7.5,12,-4.1,6512.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694189,中盛山水城,通化,东昌,万达广场,,多层,江南大街999号,125.9318189,41.69848221,,,,0,公寓住宅,民用,7.5,12,-1.89,7747.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694187,江南嘉安,通化,东昌,万达广场,,多层,"江锦西路,近江锦东路",125.9236687,41.70224641,,,,0,公寓住宅,民用,7.7,12,-2.36,6923.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694188,蓝爵国际,通化,东昌,万达广场,,高层,新华大街2988号,125.9180864,41.71079274,,32.0,,0,公寓住宅,民用,7.9,12,3.33,6200.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694217,红星美凯龙公寓,通化,东昌,万达广场,,多层,江锦东路,125.9224559,41.69830999,,,,0,公寓住宅,民用,7.1,12,0.0,7647.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694193,龙湾会馆,通化,东昌,万达广场,2009,多层,江沿路888号,125.9326033,41.70568031,,34.0,,0,公寓住宅,民用,7.6,12,0.0,7142.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694287,新风委十四组纺织配件楼,通化,东昌,石油化,,多层,建设大街104-4号,125.9594913,41.7361625,,,,0,公寓住宅,民用,7.3,12,0.0,3441.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694288,玉皇尚郡,通化,东昌,石油化,,多层,新胜北路321号,125.9544808,41.75071753,,,,0,公寓住宅,民用,7.1,12,0.0,2873.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694289,治安小区,通化,东昌,石油化,,多层,四浑公路,125.9605633,41.75403679,,,,0,公寓住宅,民用,7.1,12,0.0,2028.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694290,铁北小区,通化,东昌,石油化,,多层,建设大街1571号,125.9700829,41.74562185,,,,0,公寓住宅,民用,7.3,12,0.0,2664.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694291,洞泉小区,通化,东昌,石油化,,多层,"前山路,近站前路",125.9802853,41.75008858,,,,0,公寓住宅,民用,6.9,12,0.0,3095.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694292,和平小区,通化,东昌,石油化,,多层,前山路91号,125.9798013,41.7523656,,,,0,公寓住宅,民用,7.1,12,0.0,4334.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694293,合园小区,通化,东昌,石油化,,多层,建设大街228号,125.9820594,41.75699269,,,,0,公寓住宅,民用,6.9,12,0.0,3824.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
694294,天桥小区A区,通化,东昌,石油化,,多层,建设大街145号,125.9785756,41.75442024,,,,0,公寓住宅,民用,6.9,12,0.0,4111.0,Jilin,Tonghua,Dongchang,Jilin-Tonghua
