id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
488484,泰郡二期泰福里,盘锦,大洼,和谐广场,,多层|小高层,林丰路,122.0878781,41.08914412,,,,0,公寓住宅,民用,7.1,12,0.56,5672.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488385,依云小镇,盘锦,大洼,兴隆三百,,多层,"新田街,一江路",122.0470078,41.08616791,,,,0,公寓住宅,民用,7.3,12,-0.64,4784.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488384,垣景樾府,盘锦,大洼,兴隆三百,,多层,商贸北街,122.0818347,41.07732411,,,,0,公寓住宅,民用,6.7,12,0.0,5282.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488383,昆仑云景(三期),盘锦,大洼,兴隆三百,,多层,环城南街,122.06253,41.08755888,,,,0,公寓住宅,民用,7.5,12,8.94,4043.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488389,紫江嘉苑,盘锦,大洼,兴隆三百,,多层,"紫江路,近霍田公路",122.0883577,41.06793633,,,,0,公寓住宅,民用,6.7,12,0.0,3981.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488356,荷塘月色,盘锦,大洼,兴隆三百,,多层|高层,"向海大道,近霍田公路",122.0701442,41.06442277,,,,0,公寓住宅,民用,6.7,12,0.21,4617.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488355,皇家御品(别墅),盘锦,大洼,兴隆三百,2011,低层,"泰山中路,近御品街",122.0614874,41.06139065,,60.0,,0,别墅,民用,7.7,12,-2.19,8494.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488352,筑邦香水湖(别墅),盘锦,大洼,兴隆三百,,低层,"汇美中街,近向海大道",122.0759024,41.05772575,,,,0,别墅,民用,6.9,12,0.0,8965.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488351,林海景天林溪苑,盘锦,大洼,兴隆三百,,多层,"林海街,近春江路",122.0603225,41.07120972,,40.0,,0,公寓住宅,民用,6.9,12,0.0,5097.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488344,筑景蓝河湾,盘锦,大洼,兴隆三百,2011,多层,"一江路,近新田街",122.0495888,41.08243776,,45.0,,0,公寓住宅,民用,7.6,12,-0.62,4718.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488359,筑邦香水湖,盘锦,大洼,兴隆三百,2013,多层,"汇美中街,近向海大道",122.075089,41.05823674,,40.0,,0,公寓住宅,民用,7.2,12,-2.37,5051.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488483,海棠谷,盘锦,大洼,和谐广场,,多层|高层,昆仑大街,122.0879177,41.08574925,,,,0,公寓住宅,民用,7.2,12,0.0,6875.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488370,总部生态城悦园,盘锦,大洼,兴隆三百,2015,多层,"林丰路,近商贸北街",122.0932744,41.07554731,,,,0,公寓住宅,民用,7.1,12,0.0,7452.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488367,一江花园,盘锦,大洼,兴隆三百,,多层,"一江路,近环城南街",122.047862,41.08837124,,,,0,公寓住宅,民用,7.3,12,0.0,4172.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488475,漫步托斯卡纳,盘锦,大洼,和谐广场,,多层|小高层,"昆仑大街,近中海路",122.0789322,41.08507743,,32.0,,0,公寓住宅,民用,7.3,12,-0.47,5000.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488474,总部生态城璧成康桥,盘锦,大洼,和谐广场,,多层|小高层,"紫江路,近昆仑大街",122.0838361,41.08404281,,,,0,公寓住宅,民用,7.2,12,-1.63,5137.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
488473,纳帕新城,盘锦,大洼,和谐广场,,多层|高层,"锦江路,新田街",122.0544947,41.08188806,,,,0,公寓住宅,民用,7.0,12,-0.32,5122.0,Liaoning,Panjin,Dawa,Liaoning-Panjin
