id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
782368,怡莘花园,咸阳,秦都,秦都城区,2016,高层,统一大道,108.7156872,34.30062218,,40.0,,758,公寓住宅,民用,7.8,12,0.0,10139.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782369,阳光上林城,咸阳,秦都,秦都城区,2007,低层,乘风路,108.7848094,34.32191295,1.0,35.0,83134.0,1140,公寓住宅,民用,7.5,12,0.0,10500.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
781985,泉北小区,咸阳,秦都,秦都城区,2000,多层|高层,"泉北一巷,近玉泉东路",108.6930567,34.34550926,1.0,30.0,,236,公寓住宅,民用,8.2,12,-1.8,6668.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782367,华林大厦,咸阳,秦都,秦都城区,2004,高层,中华东路4号,108.6813724,34.32464593,1.0,30.0,,296,公寓住宅,民用,8.0,12,0.0,7985.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782366,佳美花园,咸阳,秦都,秦都城区,2006,多层,同德路,108.7091572,34.30332268,1.0,30.0,,288,公寓住宅,民用,7.8,12,0.0,6989.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782352,邮政小区(秦都),咸阳,秦都,秦都城区,2006,多层,彩虹北路,108.6744317,34.33720513,1.0,30.0,,420,公寓住宅,民用,7.8,12,0.0,6967.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782418,富锦佳苑,咸阳,渭城,渭城城区,2011,高层|超高层,"乐育北路,近陇海线",108.7101455,34.3442366,1.0,30.0,,2304,公寓住宅,民用,8.6,12,-0.93,8537.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782362,陕中二附院家属院,咸阳,秦都,秦都城区,2003,多层,渭阳西路,108.6973113,34.33020494,2.0,30.0,,648,公寓住宅,民用,8.3,12,0.0,7289.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782410,北槐春天,咸阳,西咸新区(咸阳),沣东新城(咸阳),1992,高层,世纪大道,108.7578342,34.31806462,,20.0,,936,公寓住宅,民用,7.6,12,0.0,16003.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
782361,恒晟城市花园,咸阳,秦都,秦都城区,2013,高层|超高层,劳动路,108.6567211,34.31423453,1.0,30.0,,896,公寓住宅,民用,8.1,12,0.0,7870.0,Shaanxi,Xianyang,Qindu,Shaanxi-Xianyang
