prov,city,prov_city,land_price
Xizang,Lasa,Xizang-Lasa,3.799472454836655
Hainan,Sanya,Hainan-Sanya,8.863658340054513
Hainan,Wenchang,Hainan-Wenchang,16.766043776562736
Yunnan,Zhaotong,Yunnan-Zhaotong,10.08178422311489
Guangdong,Jieyang,Guangdong-Jieyang,24.796674579419975
Zhejiang,Jiaxing,Zhejiang-Jiaxing,76.95993124535788
Chongqing,Changshou,Chongqing-Changshou,29.31894384105215
Beijing,Pinggu,Beijing-Pinggu,26.88465713436494
Guangdong,Huizhou,Guangdong-Huizhou,15.483916151317564
Guangdong,Chaozhou,Guangdong-Chaozhou,15.118486998600572
Hebei,Zhangjiakou,Hebei-Zhangjiakou,12.094564782238853
Zhejiang,Shaoxing,Zhejiang-Shaoxing,26.67493779346624
Guangdong,Heyuan,Guangdong-Heyuan,8.607755076095236
Liaoning,Liaoyang,Liaoning-Liaoyang,20.4076181354292
Hainan,Qionghai,Hainan-Qionghai,13.083198767839647
Hainan,Danzhou,Hainan-Danzhou,17.718214822479357
Hebei,Chengde,Hebei-Chengde,8.971038209136818
Xinjiang,Alaer,Xinjiang-Alaer,37.130464999839774
Heilongjiang,Haerbin,Heilongjiang-Haerbin,10.458617155474158
Anhui,Bozhou,Anhui-Bozhou,30.37393660246029
Henan,Hebi,Henan-Hebi,42.810879141960555
Liaoning,Dandong,Liaoning-Dandong,8.416859828651981
Xizang,Changdu,Xizang-Changdu,0.7537166498496691
Fujian,Nanping,Fujian-Nanping,10.327336091016097
Anhui,Liuan,Anhui-Liuan,33.60367175984483
Qinghai,Haiximengguzuzangzu,Qinghai-Haiximengguzuzangzu,6.06910078977245
Sichuan,Ziyang,Sichuan-Ziyang,32.81034147792491
Heilongjiang,Yichun,Heilongjiang-Yichun,2.005778016350669
Liaoning,Fushun,Liaoning-Fushun,4.744185702264971
Henan,Xinxiang,Henan-Xinxiang,42.47318405983493
Hunan,Zhangjiajie,Hunan-Zhangjiajie,11.72736002373196
Jiangsu,Huaian,Jiangsu-Huaian,39.230244066225566
Xizang,Linzhi,Xizang-Linzhi,2.5948490861884292
Shanghai,Chongming,Shanghai-Chongming,43.56211795496144
Jiangsu,Lianyungang,Jiangsu-Lianyungang,45.170105098030945
Gansu,Jiuquan,Gansu-Jiuquan,11.922597094604578
Gansu,Qingyang,Gansu-Qingyang,8.478692929398779
Chongqing,Bishan,Chongqing-Bishan,36.51059727824891
Guizhou,Guiyang,Guizhou-Guiyang,12.604804503538267
Chongqing,Jiangbei,Chongqing-Jiangbei,30.187321727186074
Liaoning,Anshan,Liaoning-Anshan,21.447106958556674
Neimenggu,Eerduosi,Neimenggu-Eerduosi,4.629548657328049
Xinjiang,Kekedala,Xinjiang-Kekedala,36.245499934287785
Ningxia,Zhongwei,Ningxia-Zhongwei,9.445494288546694
Xinjiang,Wulumuqi,Xinjiang-Wulumuqi,22.509729440324637
Neimenggu,Huhehaote,Neimenggu-Huhehaote,14.063232178008445
Sichuan,Dazhou,Sichuan-Dazhou,21.969427278679035
Neimenggu,Tongliao,Neimenggu-Tongliao,9.866796837002973
Henan,Pingdingshan,Henan-Pingdingshan,34.83278050493322
Shanghai,Yangpu,Shanghai-Yangpu,4.376570027571874
Chongqing,Yongchuan,Chongqing-Yongchuan,32.529514986527396
Fujian,Sanming,Fujian-Sanming,9.657034781268584
Sichuan,Liangshanyizu,Sichuan-Liangshanyizu,7.408869922843497
Shanxi,Changzhi,Shanxi-Changzhi,8.72399463877058
Anhui,Anqing,Anhui-Anqing,29.408967034675488
Jilin,Baishan,Jilin-Baishan,1.89063671747496
Shanghai,Songjiang,Shanghai-Songjiang,98.29837555634602
Henan,Zhumadian,Henan-Zhumadian,38.28324279429741
Heilongjiang,Suihua,Heilongjiang-Suihua,12.04150813963697
Guangdong,Shantou,Guangdong-Shantou,32.52858383111965
Shanghai,Xuhui,Shanghai-Xuhui,40.14035266231205
